stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
9626.HK,254.60000610351562,130,283.20001220703125,3718.0007934570312,2022-02-04 18:34:35.696988,2022-02-10 18:34:35.696988
2269.HK,58.29999923706055,593,64.80000305175781,3854.5022621154785,2022-02-10 18:34:35.696988,2022-02-17 18:34:35.696988
3690.HK,219.39999389648438,157,188.0,-4929.799041748047,2022-02-16 18:34:35.696988,2022-02-18 18:34:35.696988
3690.HK,180.5,189,171.3000030517578,-1738.7994232177734,2022-02-21 18:34:35.696988,2022-02-22 18:34:35.696988
9626.HK,238.8000030517578,140,207.39999389648438,-4396.001281738281,2022-02-25 18:34:35.696988,2022-03-04 18:34:35.696988
0388.HK,368.95721435546875,91,347.6561584472656,-1938.3960876464844,2022-02-28 18:34:35.696988,2022-03-04 18:34:35.696988
3690.HK,171.3000030517578,196,146.1999969482422,-4919.6011962890625,2022-02-22 18:34:35.696988,2022-03-07 18:34:35.696988
0388.HK,347.6561584472656,87,325.4662170410156,-1930.52490234375,2022-03-04 18:34:35.696988,2022-03-09 18:34:35.696988
9626.HK,171.3000030517578,173,127.5999984741211,-7560.100791931152,2022-03-08 18:34:35.696988,2022-03-15 18:34:35.696988
9618.HK,158.13064575195312,168,214.48727416992188,9467.91357421875,2022-03-15 18:34:35.696988,2022-03-16 18:34:35.696988
9626.HK,208.39999389648438,144,190.10000610351562,-2635.1982421875,2022-03-17 18:34:35.696988,2022-03-18 18:34:35.696988
0700.HK,365.28204345703125,81,379.21649169921875,1128.6903076171875,2022-03-16 18:34:35.696988,2022-04-06 18:34:35.696988
2382.HK,121.6731948852539,235,114.34706115722656,-1721.6414260864258,2022-03-25 18:34:35.696988,2022-04-07 18:34:35.696988
0316.HK,176.39736938476562,163,166.29762268066406,-1646.2587127685547,2022-03-29 18:34:35.696988,2022-04-07 18:34:35.696988
9626.HK,210.8000030517578,134,183.5,-3658.200408935547,2022-04-12 18:34:35.696988,2022-04-19 18:34:35.696988
0388.HK,337.13946533203125,84,319.3327941894531,-1495.7603759765625,2022-04-13 18:34:35.696988,2022-04-21 18:34:35.696988
9626.HK,182.1999969482422,135,169.89999389648438,-1660.5004119873047,2022-04-20 18:34:35.696988,2022-04-22 18:34:35.696988
9626.HK,169.89999389648438,146,159.8000030517578,-1474.5986633300781,2022-04-22 18:34:35.696988,2022-04-25 18:34:35.696988
0316.HK,166.297607421875,169,184.05923461914062,3001.7149963378906,2022-04-07 18:34:35.696988,2022-04-27 18:34:35.696988
9626.HK,159.8000030517578,151,180.1999969482422,3080.3990783691406,2022-04-25 18:34:35.696988,2022-04-28 18:34:35.696988
9626.HK,180.1999969482422,152,203.60000610351562,3556.8013916015625,2022-04-28 18:34:35.696988,2022-04-29 18:34:35.696988
0700.HK,375.6333312988281,76,347.56536865234375,-2133.1651611328125,2022-04-29 18:34:35.696988,2022-05-06 18:34:35.696988
9626.HK,179.0,160,163.3000030517578,-2511.99951171875,2022-05-05 18:34:35.696988,2022-05-06 18:34:35.696988
9626.HK,163.3000030517578,166,147.6999969482422,-2589.6010131835938,2022-05-06 18:34:35.696988,2022-05-12 18:34:35.696988
9618.HK,187.5298614501953,140,209.7990264892578,3117.68310546875,2022-05-12 18:34:35.696988,2022-05-17 18:34:35.696988
