Date,Stock,Gain,Total
2022-01-31 18:34:35.696988,,,100000
2022-02-01 18:34:35.696988,,,100000
2022-02-02 18:34:35.696988,,,100000
2022-02-03 18:34:35.696988,,,100000
2022-02-04 18:34:35.696988,9626.HK,3718.0007934570312,103718.00079345703
2022-02-05 18:34:35.696988,,,103718.00079345703
2022-02-06 18:34:35.696988,,,103718.00079345703
2022-02-07 18:34:35.696988,,,103718.00079345703
2022-02-08 18:34:35.696988,,,103718.00079345703
2022-02-09 18:34:35.696988,,,103718.00079345703
2022-02-10 18:34:35.696988,2269.HK,3854.5022621154794,107572.50305557251
2022-02-11 18:34:35.696988,,,107572.50305557251
2022-02-12 18:34:35.696988,,,107572.50305557251
2022-02-13 18:34:35.696988,,,107572.50305557251
2022-02-14 18:34:35.696988,,,107572.50305557251
2022-02-15 18:34:35.696988,,,107572.50305557251
2022-02-16 18:34:35.696988,3690.HK,-4929.799041748047,102642.70401382446
2022-02-17 18:34:35.696988,,,102642.70401382446
2022-02-18 18:34:35.696988,,,102642.70401382446
2022-02-19 18:34:35.696988,,,102642.70401382446
2022-02-20 18:34:35.696988,,,102642.70401382446
2022-02-21 18:34:35.696988,3690.HK,-1738.7994232177734,100903.90459060669
2022-02-22 18:34:35.696988,3690.HK,-4919.601196289063,95984.30339431763
2022-02-23 18:34:35.696988,,,95984.30339431763
2022-02-24 18:34:35.696988,,,95984.30339431763
2022-02-25 18:34:35.696988,9626.HK,-4396.001281738281,91588.30211257935
2022-02-26 18:34:35.696988,,,91588.30211257935
2022-02-27 18:34:35.696988,,,91588.30211257935
2022-02-28 18:34:35.696988,0388.HK,-1938.3960876464844,89649.90602493286
2022-03-01 18:34:35.696988,,,89649.90602493286
2022-03-02 18:34:35.696988,,,89649.90602493286
2022-03-03 18:34:35.696988,,,89649.90602493286
2022-03-04 18:34:35.696988,0388.HK,-1930.52490234375,87719.38112258911
2022-03-05 18:34:35.696988,,,87719.38112258911
2022-03-06 18:34:35.696988,,,87719.38112258911
2022-03-07 18:34:35.696988,,,87719.38112258911
2022-03-08 18:34:35.696988,9626.HK,-7560.100791931152,80159.28033065796
2022-03-09 18:34:35.696988,,,80159.28033065796
2022-03-10 18:34:35.696988,,,80159.28033065796
2022-03-11 18:34:35.696988,,,80159.28033065796
2022-03-12 18:34:35.696988,,,80159.28033065796
2022-03-13 18:34:35.696988,,,80159.28033065796
2022-03-14 18:34:35.696988,,,80159.28033065796
2022-03-15 18:34:35.696988,9618.HK,9467.91357421875,89627.19390487671
2022-03-16 18:34:35.696988,0700.HK,1128.6903076171875,90755.8842124939
2022-03-17 18:34:35.696988,9626.HK,-2635.1982421875,88120.6859703064
2022-03-18 18:34:35.696988,,,88120.6859703064
2022-03-19 18:34:35.696988,,,88120.6859703064
2022-03-20 18:34:35.696988,,,88120.6859703064
2022-03-21 18:34:35.696988,,,88120.6859703064
2022-03-22 18:34:35.696988,,,88120.6859703064
2022-03-23 18:34:35.696988,,,88120.6859703064
2022-03-24 18:34:35.696988,,,88120.6859703064
2022-03-25 18:34:35.696988,2382.HK,-1721.6414260864258,86399.04454421997
2022-03-26 18:34:35.696988,,,86399.04454421997
2022-03-27 18:34:35.696988,,,86399.04454421997
2022-03-28 18:34:35.696988,,,86399.04454421997
2022-03-29 18:34:35.696988,0316.HK,-1646.2587127685547,84752.78583145142
2022-03-30 18:34:35.696988,,,84752.78583145142
2022-03-31 18:34:35.696988,,,84752.78583145142
2022-04-01 18:34:35.696988,,,84752.78583145142
2022-04-02 18:34:35.696988,,,84752.78583145142
2022-04-03 18:34:35.696988,,,84752.78583145142
2022-04-04 18:34:35.696988,,,84752.78583145142
2022-04-05 18:34:35.696988,,,84752.78583145142
2022-04-06 18:34:35.696988,,,84752.78583145142
2022-04-07 18:34:35.696988,0316.HK,3001.7149963378906,87754.5008277893
2022-04-08 18:34:35.696988,,,87754.5008277893
2022-04-09 18:34:35.696988,,,87754.5008277893
2022-04-10 18:34:35.696988,,,87754.5008277893
2022-04-11 18:34:35.696988,,,87754.5008277893
2022-04-12 18:34:35.696988,9626.HK,-3658.200408935547,84096.30041885376
2022-04-13 18:34:35.696988,0388.HK,-1495.7603759765625,82600.5400428772
2022-04-14 18:34:35.696988,,,82600.5400428772
2022-04-15 18:34:35.696988,,,82600.5400428772
2022-04-16 18:34:35.696988,,,82600.5400428772
2022-04-17 18:34:35.696988,,,82600.5400428772
2022-04-18 18:34:35.696988,,,82600.5400428772
2022-04-19 18:34:35.696988,,,82600.5400428772
2022-04-20 18:34:35.696988,9626.HK,-1660.5004119873047,80940.03963088989
2022-04-21 18:34:35.696988,,,80940.03963088989
2022-04-22 18:34:35.696988,9626.HK,-1474.598663330078,79465.44096755981
2022-04-23 18:34:35.696988,,,79465.44096755981
2022-04-24 18:34:35.696988,,,79465.44096755981
2022-04-25 18:34:35.696988,9626.HK,3080.3990783691406,82545.84004592896
2022-04-26 18:34:35.696988,,,82545.84004592896
2022-04-27 18:34:35.696988,,,82545.84004592896
2022-04-28 18:34:35.696988,9626.HK,3556.8013916015625,86102.64143753052
2022-04-29 18:34:35.696988,0700.HK,-2133.1651611328125,83969.4762763977
2022-04-30 18:34:35.696988,,,83969.4762763977
2022-05-01 18:34:35.696988,,,83969.4762763977
2022-05-02 18:34:35.696988,,,83969.4762763977
2022-05-03 18:34:35.696988,,,83969.4762763977
2022-05-04 18:34:35.696988,,,83969.4762763977
2022-05-05 18:34:35.696988,9626.HK,-2511.99951171875,81457.47676467896
2022-05-06 18:34:35.696988,9626.HK,-2589.6010131835938,78867.87575149536
2022-05-07 18:34:35.696988,,,78867.87575149536
2022-05-08 18:34:35.696988,,,78867.87575149536
2022-05-09 18:34:35.696988,,,78867.87575149536
2022-05-10 18:34:35.696988,,,78867.87575149536
2022-05-11 18:34:35.696988,,,78867.87575149536
2022-05-12 18:34:35.696988,9618.HK,3117.68310546875,81985.55885696411
2022-05-13 18:34:35.696988,,,81985.55885696411
2022-05-14 18:34:35.696988,,,81985.55885696411
2022-05-15 18:34:35.696988,,,81985.55885696411
2022-05-16 18:34:35.696988,,,81985.55885696411
2022-05-17 18:34:35.696988,9618.HK,-1455.8726501464844,80529.68620681763
2022-05-18 18:34:35.696988,,,80529.68620681763
2022-05-19 18:34:35.696988,,,80529.68620681763
2022-05-20 18:34:35.696988,0700.HK,-1401.4009399414062,79128.28526687622
2022-05-21 18:34:35.696988,,,79128.28526687622
2022-05-22 18:34:35.696988,,,79128.28526687622
2022-05-23 18:34:35.696988,,,79128.28526687622
2022-05-24 18:34:35.696988,,,79128.28526687622
2022-05-25 18:34:35.696988,0700.HK,2620.8004760742188,81749.08574295044
2022-05-26 18:34:35.696988,,,81749.08574295044
2022-05-27 18:34:35.696988,9626.HK,3557.1005096435547,85306.186252594
2022-05-28 18:34:35.696988,,,85306.186252594
2022-05-29 18:34:35.696988,,,85306.186252594
2022-05-30 18:34:35.696988,,,85306.186252594
2022-05-31 18:34:35.696988,,,85306.186252594
2022-06-01 18:34:35.696988,,,85306.186252594
2022-06-02 18:34:35.696988,,,85306.186252594
2022-06-03 18:34:35.696988,,,85306.186252594
2022-06-04 18:34:35.696988,,,85306.186252594
2022-06-05 18:34:35.696988,,,85306.186252594
2022-06-06 18:34:35.696988,,,85306.186252594
2022-06-07 18:34:35.696988,,,85306.186252594
2022-06-08 18:34:35.696988,,,85306.186252594
2022-06-09 18:34:35.696988,,,85306.186252594
2022-06-10 18:34:35.696988,,,85306.186252594
2022-06-11 18:34:35.696988,,,85306.186252594
2022-06-12 18:34:35.696988,,,85306.186252594
2022-06-13 18:34:35.696988,0316.HK,-1791.2445831298828,83514.94166946411
2022-06-14 18:34:35.696988,,,83514.94166946411
2022-06-15 18:34:35.696988,9626.HK,243.0004119873047,83757.94208145142
2022-06-16 18:34:35.696988,0669.HK,-1617.8067169189453,82140.13536453247
2022-06-17 18:34:35.696988,,,82140.13536453247
2022-06-18 18:34:35.696988,,,82140.13536453247
2022-06-19 18:34:35.696988,,,82140.13536453247
2022-06-20 18:34:35.696988,,,82140.13536453247
2022-06-21 18:34:35.696988,9999.HK,-1189.140380859375,80950.9949836731
2022-06-22 18:34:35.696988,,,80950.9949836731
2022-06-23 18:34:35.696988,,,80950.9949836731
2022-06-24 18:34:35.696988,0316.HK,2070.244384765625,83021.23936843872
2022-06-25 18:34:35.696988,,,83021.23936843872
2022-06-26 18:34:35.696988,,,83021.23936843872
2022-06-27 18:34:35.696988,,,83021.23936843872
2022-06-28 18:34:35.696988,,,83021.23936843872
2022-06-29 18:34:35.696988,,,83021.23936843872
2022-06-30 18:34:35.696988,,,83021.23936843872
2022-07-01 18:34:35.696988,,,83021.23936843872
2022-07-02 18:34:35.696988,,,83021.23936843872
2022-07-03 18:34:35.696988,,,83021.23936843872
2022-07-04 18:34:35.696988,,,83021.23936843872
2022-07-05 18:34:35.696988,,,83021.23936843872
2022-07-06 18:34:35.696988,0700.HK,-1853.2005004882808,81168.03886795044
2022-07-07 18:34:35.696988,,,81168.03886795044
2022-07-08 18:34:35.696988,,,81168.03886795044
2022-07-09 18:34:35.696988,,,81168.03886795044
2022-07-10 18:34:35.696988,,,81168.03886795044
2022-07-11 18:34:35.696988,,,81168.03886795044
2022-07-12 18:34:35.696988,9618.HK,-291.20068359375,80876.83818435669
2022-07-13 18:34:35.696988,,,80876.83818435669
2022-07-14 18:34:35.696988,,,80876.83818435669
2022-07-15 18:34:35.696988,1211.HK,-263.20172119140625,80613.63646316528
2022-07-16 18:34:35.696988,,,80613.63646316528
2022-07-17 18:34:35.696988,,,80613.63646316528
2022-07-18 18:34:35.696988,9626.HK,2822.4017944335938,83436.03825759888
2022-07-19 18:34:35.696988,,,83436.03825759888
2022-07-20 18:34:35.696988,,,83436.03825759888
2022-07-21 18:34:35.696988,,,83436.03825759888
2022-07-22 18:34:35.696988,,,83436.03825759888
2022-07-23 18:34:35.696988,,,83436.03825759888
2022-07-24 18:34:35.696988,,,83436.03825759888
2022-07-25 18:34:35.696988,0388.HK,-765.685546875,82670.35271072388
2022-07-26 18:34:35.696988,,,82670.35271072388
2022-07-27 18:34:35.696988,,,82670.35271072388
2022-07-28 18:34:35.696988,,,82670.35271072388
2022-07-29 18:34:35.696988,,,82670.35271072388
2022-07-30 18:34:35.696988,,,82670.35271072388
2022-07-31 18:34:35.696988,,,82670.35271072388
2022-08-01 18:34:35.696988,,,82670.35271072388
2022-08-02 18:34:35.696988,0700.HK,1548.5989379882812,84218.95164871216
2022-08-03 18:34:35.696988,,,84218.95164871216
2022-08-04 18:34:35.696988,,,84218.95164871216
2022-08-05 18:34:35.696988,,,84218.95164871216
2022-08-06 18:34:35.696988,,,84218.95164871216
2022-08-07 18:34:35.696988,,,84218.95164871216
2022-08-08 18:34:35.696988,,,84218.95164871216
2022-08-09 18:34:35.696988,,,84218.95164871216
2022-08-10 18:34:35.696988,,,84218.95164871216
2022-08-11 18:34:35.696988,9618.HK,3100.0,87318.95164871216
2022-08-12 18:34:35.696988,,,87318.95164871216
2022-08-13 18:34:35.696988,,,87318.95164871216
2022-08-14 18:34:35.696988,,,87318.95164871216
2022-08-15 18:34:35.696988,,,87318.95164871216
2022-08-16 18:34:35.696988,0316.HK,-1881.2144165039065,85437.73723220825
2022-08-17 18:34:35.696988,,,85437.73723220825
2022-08-18 18:34:35.696988,0316.HK,-5586.384704589844,79851.35252761841
2022-08-19 18:34:35.696988,,,79851.35252761841
2022-08-20 18:34:35.696988,,,79851.35252761841
2022-08-21 18:34:35.696988,,,79851.35252761841
2022-08-22 18:34:35.696988,,,79851.35252761841
2022-08-23 18:34:35.696988,2688.HK,2769.138671875,82620.49119949341
2022-08-24 18:34:35.696988,,,82620.49119949341
2022-08-25 18:34:35.696988,1211.HK,-2320.0017700195312,80300.48942947388
2022-08-26 18:34:35.696988,,,80300.48942947388
2022-08-27 18:34:35.696988,,,80300.48942947388
2022-08-28 18:34:35.696988,,,80300.48942947388
2022-08-29 18:34:35.696988,,,80300.48942947388
2022-08-30 18:34:35.696988,0388.HK,-1975.9988403320312,78324.49058914185
2022-08-31 18:34:35.696988,,,78324.49058914185
2022-09-01 18:34:35.696988,1211.HK,-1900.8006591796875,76423.68992996216
2022-09-02 18:34:35.696988,0316.HK,-1302.6005096435547,75121.0894203186
2022-09-03 18:34:35.696988,,,75121.0894203186
2022-09-04 18:34:35.696988,,,75121.0894203186
2022-09-05 18:34:35.696988,,,75121.0894203186
2022-09-06 18:34:35.696988,,,75121.0894203186
2022-09-07 18:34:35.696988,,,75121.0894203186
2022-09-08 18:34:35.696988,0316.HK,-1567.5,73553.5894203186
2022-09-09 18:34:35.696988,,,73553.5894203186
2022-09-10 18:34:35.696988,,,73553.5894203186
2022-09-11 18:34:35.696988,,,73553.5894203186
