STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL
9432.T,6.840785026550293,29329,7.173209190368652,9749.668300628662,4.86,2020-11-06 15:57:52.906585,2020-11-09 15:57:52.906585,1,50.57219833171916,43.45055165972928,548.903787548812
7269.T,4610.37890625,43,4837.412109375,9762.427734375,4.92,2020-11-05 15:57:52.906585,2020-11-11 15:57:52.906585,4,48.54423250870613,34.844301244540155,574.4575593031418
9064.T,2492.915771484375,82,2381.109130859375,-9168.14453125,-4.48,2020-11-12 15:57:52.906585,2020-11-17 15:57:52.906585,3,25.656301406453156,21.679915737267926,239.51425267023143
9613.T,1281.0657958984375,156,1338.4124755859375,8946.08203125,4.48,2020-11-04 15:57:52.906585,2020-11-18 15:57:52.906585,10,19.382228530301308,7.40296774315627,592.2759280613009
6902.T,1004.5150146484375,203,1009.8551635742188,1084.0502319335938,0.53,2020-11-10 15:57:52.906585,2020-11-19 15:57:52.906585,7,48.55452287452496,45.82867105435245,526.926684425442
4751.T,1472.8541259765625,134,1554.9476318359375,11000.52978515625,5.57,2020-11-17 15:57:52.906585,2020-11-19 15:57:52.906585,2,27.130420495512613,26.11682611776168,668.0938948763485
7735.T,2625.393310546875,77,2852.171142578125,17461.89306640625,8.64,2020-11-09 15:57:52.906585,2020-11-24 15:57:52.906585,11,26.304335051523832,24.328349381520034,618.4902327294736
5301.T,1109.6917724609375,186,1159.215087890625,9211.336669921875,4.46,2020-11-11 15:57:52.906585,2020-11-25 15:57:52.906585,10,39.459411663822536,38.01016305666239,449.86305105742014
3659.T,2700.6171875,76,2885.740234375,14069.3515625,6.85,2020-11-20 15:57:52.906585,2020-11-25 15:57:52.906585,3,31.314315524518616,26.224352880857943,439.1928387091104
7974.T,4400.2958984375,47,4769.7421875,17363.9755859375,8.4,2020-11-18 15:57:52.906585,2020-11-26 15:57:52.906585,6,26.95269135546169,25.16595465257021,167.59160031876243
6273.T,60808.640625,3,64310.71484375,10506.22265625,5.76,2020-11-24 15:57:52.906585,2020-11-27 15:57:52.906585,3,65.3129696527806,64.70528464645568,251.6239867024998
4689.T,597.7821655273438,347,640.5853271484375,14852.697082519531,7.16,2020-11-19 15:57:52.906585,2020-11-30 15:57:52.906585,7,9.050267491004742,7.339829730530506,670.4882926879003
6504.T,3336.25732421875,71,3501.41845703125,11726.4404296875,4.95,2020-11-25 15:57:52.906585,2020-11-30 15:57:52.906585,3,60.87715030678902,59.19293945744488,287.68833390084836
6367.T,23495.328125,9,22707.283203125,-7092.404296875,-3.35,2020-12-02 15:57:52.906585,2020-12-04 15:57:52.906585,2,92.35579296973141,92.2979067141902,96.80824031083948
4151.T,2724.9306640625,77,2733.4462890625,655.703125,0.31,2020-11-27 15:57:52.906585,2020-12-07 15:57:52.906585,6,64.72901972952558,60.187148830907894,415.3775026203997
7733.T,2212.52490234375,104,2128.579345703125,-8730.337890625,-3.79,2020-11-26 15:57:52.906585,2020-12-08 15:57:52.906585,8,51.931794003785896,48.11218369902215,401.3438830835894
9983.T,27976.94921875,8,27999.73828125,182.3125,0.08,2020-11-30 15:57:52.906585,2020-12-09 15:57:52.906585,7,73.6300418412973,70.18494745989149,321.04339853485806
7011.T,2365.861083984375,89,2485.50634765625,10648.428466796875,5.06,2020-12-07 15:57:52.906585,2020-12-10 15:57:52.906585,3,66.19525620683119,58.47938270458203,396.1398408081445
7203.T,1339.6182861328125,165,1455.17626953125,19067.067260742188,8.63,2020-12-08 15:57:52.906585,2020-12-11 15:57:52.906585,3,36.887871204094054,36.07219481990161,513.9027223503499
6902.T,1133.8619384765625,196,1136.4332275390625,503.97265625,0.23,2020-12-04 15:57:52.906585,2020-12-14 15:57:52.906585,6,63.45252855346805,60.19213792242006,365.5693762301937
7731.T,606.4140014648438,370,643.9146728515625,13875.248413085938,6.18,2020-12-09 15:57:52.906585,2020-12-14 15:57:52.906585,3,24.639973899026245,24.077138224355814,459.64059228837243
2531.T,1134.1795654296875,203,1147.0784912109375,2618.48193359375,1.14,2020-12-01 15:57:52.906585,2020-12-15 15:57:52.906585,10,74.68143453229916,73.89593213458247,319.5479289958957
9001.T,3063.44189453125,75,2940.904296875,-9190.31982421875,-4.0,2020-12-14 15:57:52.906585,2020-12-18 15:57:52.906585,4,9.423077153806313,5.600527372670745,504.4334588488862
4506.T,1283.228759765625,187,1228.8870849609375,-10161.893188476562,-4.23,2020-12-11 15:57:52.906585,2020-12-22 15:57:52.906585,7,21.528019687243404,20.257181092767922,594.8133145851654
2801.T,6400.291015625,34,7086.38671875,23327.25390625,10.72,2020-12-18 15:57:52.906585,2020-12-29 15:57:52.906585,6,26.545470869708687,26.25571075654549,640.8952958786671
