stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,cup_len,handle_len,cup_depth,handle_depth,rrr
PFE,32.6,6139,31.3,-7980.700000000004,-3.99,2020-08-25 09:43:22.432400,2020-09-01 09:43:22.432400,5,100,18,0.18619631901840492,0.037116564417177936,5.0165289256198315
MCO,276.78,722,274.2,-1862.7599999999884,-0.93,2020-08-20 09:43:22.432400,2020-09-18 09:43:22.432400,21,140,41,0.4302695281450972,0.10026013440277477,4.291531531531532
YUM,91.52,2099,85.03,-13622.50999999999,-7.09,2020-09-01 09:43:22.432400,2020-09-21 09:43:22.432400,14,54,30,0.14608828671328677,0.055944055944056,2.6113281249999987
AVGO,301.6,663,335.36,22382.879999999994,11.19,2020-08-17 09:43:22.432400,2020-10-06 09:43:22.432400,34,132,68,0.5183023872679043,0.062334217506631144,8.314893617021294
AME,99.6,2008,104.65,10140.400000000023,5.07,2020-08-18 09:43:22.432400,2020-10-07 09:43:22.432400,34,151,67,0.4641566265060241,0.13072289156626518,3.5506912442396277
MCHP,51.87,3857,53.25,5322.66000000001,2.66,2020-08-21 09:43:22.432400,2020-10-16 09:43:22.432400,38,142,75,0.5419317524580682,0.1455561981877771,3.7231788079470207
CTSH,66.17,2992,70.52,13015.199999999983,6.57,2020-09-18 09:43:22.432400,2020-10-27 09:43:22.432400,24,174,48,0.45035514583648173,0.061357110473024064,7.339901477832507
NXPI,126.24,1414,127.42,1668.5200000000095,0.93,2020-10-05 09:43:22.432400,2020-10-27 09:43:22.432400,15,200,29,0.6066223067173636,0.11596958174904944,5.2308743169398895
MDLZ,54.52,3768,55.06,2034.7199999999968,0.99,2020-10-16 09:43:22.432400,2020-11-17 09:43:22.432400,21,196,41,0.3182318415260455,0.08987527512839322,3.5408163265306136
XEL,67.06,3224,64.14,-9414.080000000005,-4.35,2020-10-08 09:43:22.432400,2020-11-19 09:43:22.432400,29,167,57,0.3416343572919773,0.09454220101401724,3.6135646687697176
CINF,74.41,2906,73.16,-3632.5,-1.68,2020-10-09 09:43:22.432400,2020-11-19 09:43:22.432400,28,119,55,0.5121623437709985,0.14460421986292155,3.541821561338292
AEE,76.56,2554,69.37,-18363.259999999995,-9.39,2020-11-05 09:43:22.432400,2021-01-07 09:43:22.432400,43,159,85,0.339864158829676,0.09900731452455588,3.432717678100264
MDLZ,54.17,3857,54.19,77.13999999998465,0.04,2020-11-19 09:43:22.432400,2021-01-14 09:43:22.432400,38,196,76,0.3202879822780137,0.11943880376592207,2.6816074188562604
IBM,107.39,1649,99.11,-13653.720000000001,-7.71,2021-01-08 09:43:22.432400,2021-01-22 09:43:22.432400,10,62,28,0.22683676319955304,0.04646615141074583,4.8817635270541135
