STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL
3626.T,853.8898315429688,300,809.9017333984375,-13196.429443359375,-5.15,2003-11-13 10:16:25.520131,2003-11-17 10:16:25.520131,2,14.31383449733212,12.218651253089647,632.1864106357535
8593.T,152.92579650878906,1100,166.06048583984375,14448.158264160156,8.59,2003-11-25 10:16:25.520131,2003-11-27 10:16:25.520131,2,22.647046744633624,20.5633450520155,547.7173590160646
6305.T,961.8460693359375,200,1047.115966796875,17053.9794921875,8.87,2003-11-27 10:16:25.520131,2003-12-02 10:16:25.520131,3,43.81309559245915,36.73313355601359,645.0962170343928
4716.T,2645.62841796875,100,2638.176513671875,-745.1904296875,-0.28,2003-11-20 10:16:25.520131,2003-12-08 10:16:25.520131,12,6.50759637701197,4.501683993915959,643.9324141592388
8905.T,560.90283203125,100,530.3080444335938,-3059.478759765625,-5.45,2003-12-01 10:16:25.520131,2003-12-08 10:16:25.520131,5,24.567996792518304,20.45394574461153,454.9190807529883
1801.T,1172.9840087890625,200,1185.838623046875,2570.9228515625,1.1,2003-11-26 10:16:25.520131,2003-12-09 10:16:25.520131,9,42.237539388038066,33.57879331764731,624.87754048835
6504.T,778.201416015625,300,751.2509765625,-8085.1318359375,-3.46,2003-11-21 10:16:25.520131,2003-12-11 10:16:25.520131,14,8.297779192063544,6.940969844505932,639.5550902794348
5020.T,324.54046630859375,700,320.3256530761719,-2950.3692626953125,-1.3,2003-12-02 10:16:25.520131,2003-12-16 10:16:25.520131,10,46.1613431453959,32.682121199337494,386.6852459239309
8279.T,608.4046630859375,400,611.4988403320312,1237.6708984375,0.51,2003-12-09 10:16:25.520131,2003-12-18 10:16:25.520131,7,37.864266150539706,32.069977291709094,181.9467822710253
7276.T,241.66465759277344,800,244.36703491210938,2161.90185546875,1.12,2003-12-12 10:16:25.520131,2003-12-22 10:16:25.520131,6,20.040107547372052,19.3287833859872,131.445292138319
1332.T,156.71192932128906,1200,157.39927673339844,824.81689453125,0.44,2003-12-11 10:16:25.520131,2003-12-24 10:16:25.520131,9,60.76922844328046,57.95953753336471,108.2479305538136
2802.T,897.4148559570312,100,910.9434814453125,1352.862548828125,1.51,2003-12-15 10:16:25.520131,2003-12-26 10:16:25.520131,7,67.51028761443709,59.54767961956337,166.9603395402747
2281.T,340.0075988769531,100,378.6448059082031,3863.720703125,11.36,2003-12-29 10:16:25.520131,2004-01-07 10:16:25.520131,6,30.92186969266835,21.79588184045385,371.1317409990388
1973.T,170.7874298095703,700,177.16802978515625,4466.419982910156,3.74,2003-12-19 10:16:25.520131,2004-01-08 10:16:25.520131,11,36.694224921110035,32.04299978052821,497.1583473903172
9433.T,607.4967651367188,500,620.8147583007812,6658.99658203125,2.19,2003-12-26 10:16:25.520131,2004-01-08 10:16:25.520131,8,46.999930274961365,36.16754833743028,483.63232148685904
