STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,CUP LEN,HANDLE LEN,CUP DEPTH,HANDLE DEPTH,RRR,THRESHOLD,1000000
1878.T,8800.976563,28,8534.118164,-7472.035156,-3.03,2020-10-26,2020-12-07,30,60,39,0.240829427,0.071504561,3.368028868,0.06,992527.9648
6954.T,4453.689063,56,4938.957813,27175.05,10.9,2020-11-06,2020-12-22,32,57,55,0.156588058,0.059491477,2.632109076,0.09,1019703.015
8604.T,500.3678894,484,502.8127136,1183.294922,0.49,2020-12-07,2021-01-26,34,210,97,0.376750156,0.129307731,2.913593443,0.06,1020886.31
1801.T,3152.412598,77,3079.630127,-5604.250244,-2.31,2021-01-26,2021-01-29,3,87,43,0.15255639,0.12121218,1.258589603,0.06,1015282.06
4063.T,2813.378516,89,3559.291406,66386.24727,26.51,2020-11-05,2021-02-03,62,50,49,0.099567838,0.026992675,3.688698359,0.09,1081668.307
3407.T,854.4783325,293,1054.05603,58476.26544,23.36,2020-10-27,2021-02-18,78,98,42,0.245085766,0.085557779,2.864564381,0.03,1140144.572
8058.T,2276.981201,121,2798.205566,63068.14819,22.89,2020-12-22,2021-04-08,70,56,27,0.117589425,0.053396241,2.202204198,0.03,1203212.72
1928.T,1873.182861,164,2099.404297,37100.31543,12.08,2021-02-18,2021-04-19,39,142,33,0.20853377,0.058974459,3.536001418,0.06,1240313.036
8282.T,1305.998657,243,1371.585571,15937.62012,5.02,2021-02-03,2021-04-22,51,92,34,0.149068389,0.060041502,2.482755845,0.06,1256250.656
7951.T,5969.828613,57,5844.046387,-7169.586914,-2.11,2021-04-08,2021-05-06,20,38,18,0.128954644,0.085432583,1.509431641,0.06,1249081.069
6849.T,3140.73999,109,2982.262451,-17274.05176,-5.05,2021-04-19,2021-05-27,27,62,17,0.116110617,0.048929682,2.373009864,0.06,1231807.017
5423.T,682.9862061,349,1052.93689,129112.7886,54.17,2021-01-29,2021-06-03,83,162,99,0.261725899,0.200814077,1.303324462,0.03,1360919.806
5857.T,2075.306152,161,1936.234497,-22390.5365,-6.7,2021-05-07,2021-06-21,29,66,27,0.192056266,0.0985731,1.948363856,0.03,1338529.269
2914.T,1768.327759,189,1835.333984,12664.17664,3.79,2021-04-22,2021-06-30,47,49,20,0.123350181,0.062635,1.969349085,0.03,1351193.446
7974.T,5668.632813,57,5336.575195,-18927.28418,-5.86,2021-05-27,2021-07-08,28,56,42,0.178170882,0.096139574,1.853252253,0.03,1332266.162
8058.T,2763.524658,125,2757.135986,-798.5839844,-0.23,2021-06-30,2021-07-21,14,27,25,0.102047585,0.06671069,1.529703645,0.03,1331467.578
4507.T,5550.302734,55,5452.143555,-5398.754883,-1.77,2021-07-12,2021-08-03,16,29,28,0.106456103,0.10233505,1.0402702,0.03,1326068.823
2871.T,2790.508545,112,2502.327148,-32276.31641,-10.33,2021-06-22,2021-08-04,30,58,37,0.089287555,0.047716397,1.871213281,0.03,1293792.507
2331.T,834.7218018,360,797.1432495,-13528.27881,-4.5,2021-08-03,2021-08-31,20,78,47,0.117816097,0.073754815,1.597402106,0.03,1280264.228
9503.T,967.9521484,289,976.5946045,2497.6698,0.89,2021-08-04,2021-09-06,23,34,20,0.065789456,0.037124012,1.772153696,0.03,1282761.898
3088.T,1565.376831,220,1556.05896,-2049.931641,-0.6,2021-07-21,2021-09-22,44,66,46,0.209325461,0.108134851,1.935781661,0.03,1280711.966
1860.T,736.4898071,390,744.7341309,3215.286255,1.12,2021-08-31,2021-09-27,18,70,28,0.136815783,0.049751138,2.750003085,0.06,1283927.252
6586.T,5114.155273,72,6107.490723,71520.15234,19.42,2021-06-03,2021-09-29,81,146,35,0.207946991,0.123809564,1.679571304,0.06,1355447.405
4921.T,3703.728271,76,3521.015381,-13886.17969,-4.93,2021-09-06,2021-10-19,28,56,23,0.10732976,0.053664841,2.000001443,0.09,1341561.225
3391.T,13396.6709,25,13243.86719,-3820.092773,-1.14,2021-09-24,2021-11-17,36,69,29,0.145610348,0.060670942,2.400001445,0.06,1337741.132
