STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL,1000000,
2412.T,205.82901,1000,207.353714,1524.703979,0.74,2013-11-05,2013-11-07,2,10.41141291,8.440833178,676.4351912,1001524.704,0.152470398
4751.T,383.9562988,600,425.2172241,24756.55518,10.75,2013-11-06,2013-11-22,12,67.35192488,52.53423029,368.717863,1026281.259,2.628125916
5105.T,856.5593872,300,853.605835,-886.0656738,-0.34,2013-11-11,2013-11-25,10,27.09081965,16.90622913,539.3937238,1025395.193,2.539519348
9432.T,0.004633895,36959200,0.004477403,-5783.836147,-3.38,2013-11-12,2013-11-26,10,49.32660151,29.38932498,635.7355842,1019611.357,1.961135733
9022.T,1740.245972,100,1705.716919,-3452.905273,-1.98,2013-11-14,2013-11-28,10,26.29036667,18.16788224,595.9802646,1016158.452,1.615845206
8308.T,352.5487061,400,341.783844,-4305.944824,-3.05,2013-11-15,2013-11-29,10,47.56753259,36.35800091,618.1128554,1011852.507,1.185250724
2331.T,202.4948578,1400,205.5816498,4321.508789,1.52,2013-11-25,2013-12-04,7,37.45444739,22.97490107,454.720809,1016174.016,1.617401603
4205.T,959.4284668,100,909.0206299,-5040.783691,-5.25,2013-11-28,2013-12-05,5,27.94331806,20.60196727,96.85486966,1011133.232,1.113323233
1719.T,247.5683746,300,231.5491638,-4805.763245,-6.47,2013-12-02,2013-12-09,5,13.78944671,10.46846742,499.9076127,1006327.469,0.632746909
3092.T,802.6262817,400,740.6170044,-24803.71094,-7.73,2013-12-06,2013-12-13,5,33.36171907,24.3863084,344.0909958,981523.7582,-1.847624185
4739.T,786.4291992,200,788.4405518,402.2705078,0.26,2013-12-03,2013-12-16,9,28.6400937,26.94026184,509.6583482,981926.0287,-1.807397134
4552.T,421.4272156,300,390.7566528,-9201.168823,-7.28,2013-12-09,2013-12-16,5,42.79783537,31.20472706,489.2379755,972724.8598,-2.727514016
6954.T,3419.883594,100,3694.390625,27450.70312,8.03,2013-12-18,2013-12-26,4,74.28567428,64.03680087,393.6459821,1000175.563,0.017556296
5334.T,1736.075806,200,1812.873779,15359.59473,4.42,2013-12-17,2014-01-14,17,38.19212969,33.7921533,493.0502921,1015535.158,1.553515769
