STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL
9432.T,0.00463389465585351,979554300,0.004486097022891045,-144775.8068982046,-3.19,2013-11-12 08:47:19.898886,2013-12-03 08:47:19.898886,15,49.32654999407664,29.389382902612034,635.73545393391
9022.T,1740.24609375,2700,1664.2825927734375,-205101.45263671875,-4.37,2013-11-14 08:47:19.898886,2013-12-05 08:47:19.898886,15,26.29033807271071,18.16787835959501,595.9801806889644
8308.T,352.54876708984375,12700,341.11102294921875,-145259.3505859375,-3.24,2013-11-15 08:47:19.898886,2013-12-06 08:47:19.898886,15,47.56761542035708,36.358055753818576,618.1128544033289
2811.T,1537.4224853515625,2800,1543.76416015625,17756.689453125,0.41,2013-11-18 08:47:19.898886,2013-12-09 08:47:19.898886,15,45.07951244617696,35.033652054725565,571.5516870273723
5105.T,856.5592651367188,5300,909.7252197265625,281779.5593261719,6.21,2013-11-11 08:47:19.898886,2013-12-10 08:47:19.898886,21,27.09088539118764,16.906260092723187,539.3918120479461
3092.T,802.6261596679688,1900,740.6170043945312,-117817.39501953125,-7.73,2013-12-06 08:47:19.898886,2013-12-13 08:47:19.898886,5,33.36167485073528,24.38629862218349,344.0910796865419
4739.T,786.4291381835938,5700,788.4404907226562,11464.70947265625,0.26,2013-12-03 08:47:19.898886,2013-12-16 08:47:19.898886,9,28.640156877661333,26.940330305571877,509.65764405161326
4552.T,421.4271545410156,13900,382.093994140625,-546730.9295654297,-9.33,2013-12-09 08:47:19.898886,2013-12-20 08:47:19.898886,9,42.79797465569543,31.204847246700673,489.237010635558
6954.T,3419.883984375,1300,3393.1957031250004,-34694.76562499977,-0.78,2013-12-18 08:47:19.898886,2014-01-10 08:47:19.898886,14,74.28585723109526,64.03702212387267,393.6442480864706
5334.T,1736.075927734375,2400,1807.704833984375,171909.375,4.13,2013-12-17 08:47:19.898886,2014-01-24 08:47:19.898886,25,38.19199583695336,33.791996472870174,493.05010418341124
4812.T,453.22967529296875,8800,448.6974182128906,-39883.8623046875,-1.0,2013-12-19 08:47:19.898886,2014-01-27 08:47:19.898886,24,23.731991182482687,18.32442891183303,571.5403466435188
8111.T,522.670166015625,8700,514.8357543945312,-68159.38110351562,-1.5,2013-12-27 08:47:19.898886,2014-01-27 08:47:19.898886,20,18.939241658556774,11.5229373887373,597.3569130480921
6670.T,109.23699188232422,27100,96.80657958984375,-336864.1731262207,-11.38,2014-01-10 08:47:19.898886,2014-01-27 08:47:19.898886,11,11.748252668160305,7.412598143801375,107.22390743130637
9682.T,719.0513305664062,6500,744.5751953125,165905.12084960938,3.55,2013-12-26 08:47:19.898886,2014-01-30 08:47:19.898886,24,37.77612566547206,29.445160928542975,609.3567217740173
3880.T,761.1351318359375,6700,857.990234375,648929.1870117188,12.73,2014-02-05 08:47:19.898886,2014-02-13 08:47:19.898886,6,10.070024863827726,9.865391404816569,632.2607604790601
7282.T,1755.0272216796875,800,1693.0758056640625,-49561.1328125,-3.53,2014-01-29 08:47:19.898886,2014-02-20 08:47:19.898886,14,12.306356684915531,9.100056750334025,227.22758542713584
6506.T,1256.250244140625,4100,1264.2916259765625,32969.66552734375,0.64,2014-02-07 08:47:19.898886,2014-03-06 08:47:19.898886,19,11.282479545201937,6.650468335444586,693.9592825404916
5857.T,593.2784423828125,10000,582.1354370117188,-111430.0537109375,-1.88,2014-02-17 08:47:19.898886,2014-03-10 08:47:19.898886,15,14.002452760126847,11.002493964899696,559.5433514319413
7735.T,917.0718994140625,5600,954.2755737304688,208340.576171875,4.06,2014-02-06 08:47:19.898886,2014-03-12 08:47:19.898886,24,13.029767694542466,7.246732933480549,629.3140909879139
9613.T,723.248291015625,1800,726.7850341796875,6366.1376953125,0.49,2014-02-21 08:47:19.898886,2014-03-13 08:47:19.898886,14,87.92152279322059,81.2863185950504,67.88660847158279
