stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,wave_1_max,slope,wave_depth,wave_length
6837.HK,5.499,36372,5.467,-1163.9040000000011,-0.58,2018-09-05 15:29:11.157181,2018-09-06 15:29:11.157181,1,6.527,-0.013161676646706585,-1.7839999999999998,167
3900.HK,6.293,31781,5.642,-20689.430999999993,-10.34,2018-08-29 15:29:11.157181,2018-09-12 15:29:11.157181,10,8.28,0.003913978494623645,0.6389999999999993,93
0083.HK,9.992,17951,10.664,12063.071999999978,6.73,2018-09-12 15:29:11.157181,2018-09-20 15:29:11.157181,6,10.508,0.012711864406779662,0.9529999999999994,59
0884.HK,3.128,61201,3.286,9669.757999999994,5.05,2018-09-20 15:29:11.157181,2018-09-21 15:29:11.157181,1,4.114,-0.008859649122807015,-0.27200000000000024,57
0884.HK,2.773,72523,2.726,-3408.581000000011,-1.69,2018-10-03 15:29:11.157181,2018-10-04 15:29:11.157181,1,4.114,-0.008859649122807015,-0.27200000000000024,57
1997.HK,41.153,4846,42.547,6755.323999999992,3.39,2018-09-07 15:29:11.157181,2018-10-10 15:29:11.157181,21,47.367,0.0669523809523809,3.414999999999999,21
2007.HK,7.893,25047,6.494,-35040.753,-17.72,2018-10-05 15:29:11.157181,2018-10-11 15:29:11.157181,4,9.374,0.008714285714285742,0.9690000000000012,49
0016.HK,84.478,2360,77.962,-15377.759999999978,-7.71,2018-09-11 15:29:11.157181,2018-10-16 15:29:11.157181,23,94.403,0.11709090909090922,6.061000000000007,33
2601.HK,23.541,8495,23.259,-2395.59,-1.2,2018-09-04 15:29:11.157181,2018-10-29 15:29:11.157181,36,25.674,0.06036111111111106,3.099,36
0388.HK,181.568,895,216.617,31368.85499999998,19.3,2018-10-12 15:29:11.157181,2018-12-04 15:29:11.157181,36,210.294,0.09279629629629674,10.16500000000002,54
0179.HK,16.73,11007,13.861,-31579.083,-17.15,2018-10-16 15:29:11.157181,2018-12-24 15:29:11.157181,48,21.238,0.04024999999999997,2.7010000000000005,48
3799.HK,4.839,41330,4.958,4918.26999999999,2.46,2018-08-30 15:29:11.157181,2018-12-31 15:29:11.157181,82,5.901,0.012524390243902441,1.4909999999999997,82
0083.HK,11.08,18494,11.515,8044.890000000009,3.93,2019-01-03 15:29:11.157181,2019-01-04 15:29:11.157181,1,11.434,0.010475000000000002,1.8789999999999996,160
2018.HK,48.086,4031,42.496,-22533.289999999986,-11.63,2018-12-07 15:29:11.157181,2019-01-09 15:29:11.157181,20,57.609,0.3458500000000001,11.133000000000003,20
0001.HK,66.424,3104,62.732,-11459.968000000023,-5.56,2018-10-10 15:29:11.157181,2019-02-04 15:29:11.157181,79,73.452,0.10599999999999994,10.064999999999998,79
0425.HK,21.413,9227,25.279,35671.581999999995,18.05,2018-10-30 15:29:11.157181,2019-02-11 15:29:11.157181,68,34.183,0.04988235294117646,5.172999999999998,68
1193.HK,26.027,6581,30.692,30700.364999999994,17.92,2019-01-09 15:29:11.157181,2019-02-20 15:29:11.157181,27,29.384,0.02294736842105263,4.969999999999999,76
2007.HK,7.291,20931,8.512,25556.751,16.75,2018-12-28 15:29:11.157181,2019-02-27 15:29:11.157181,39,8.105,0.03317948717948719,1.8310000000000004,39
1066.HK,5.597,38049,6.741,43528.05599999997,20.44,2019-01-04 15:29:11.157181,2019-03-15 15:29:11.157181,47,7.095,0.01397872340425532,1.0910000000000002,47
1238.HK,2.854,66605,3.096,16118.41,8.48,2019-02-28 15:29:11.157181,2019-03-18 15:29:11.157181,12,3.08,0.00042487046632124273,0.18900000000000006,193
0836.HK,12.298,15456,9.927,-36646.17600000001,-19.28,2019-02-27 15:29:11.157181,2019-03-22 15:29:11.157181,17,13.401,0.025799999999999972,1.4819999999999993,30
0558.HK,0.571,361166,0.782,76206.02600000003,36.95,2019-03-19 15:29:11.157181,2019-04-09 15:29:11.157181,14,0.724,-0.00032142857142857174,0.039999999999999925,84
1882.HK,15.044,14224,17.874,40253.91999999998,18.81,2019-02-12 15:29:11.157181,2019-04-25 15:29:11.157181,49,16.355,0.02048201438848922,3.83,139
0867.HK,6.122,25062,5.168,-23909.147999999994,-15.58,2019-03-26 15:29:11.157181,2019-06-17 15:29:11.157181,53,7.543,0.033490566037735855,2.407,53
0316.HK,24.286,8811,20.652,-32019.174000000003,-14.96,2019-02-19 15:29:11.157181,2019-06-25 15:29:11.157181,84,25.787,0.04745238095238096,5.087,84
0303.HK,48.905,5775,44.943,-22880.550000000017,-8.1,2019-04-10 15:29:11.157181,2019-08-23 15:29:11.157181,91,55.034,0.1354395604395604,13.219999999999999,91
0004.HK,20.225,12681,16.414,-48327.291,-18.84,2019-03-15 15:29:11.157181,2019-10-18 15:29:11.157181,146,22.803,0.037452054794520545,6.179000000000002,146
0316.HK,20.533,8862,17.34,-28296.366000000013,-15.55,2019-06-26 15:29:11.157181,2019-10-25 15:29:11.157181,84,25.787,0.04745238095238096,5.087,84
0960.HK,22.555,11272,29.908,82883.01600000002,32.6,2019-04-25 15:29:11.157181,2020-01-06 15:29:11.157181,173,24.271,0.06486127167630058,11.63,173
2669.HK,4.682,72005,4.99,22177.539999999986,6.58,2020-01-07 15:29:11.157181,2020-01-09 15:29:11.157181,2,4.942,0.012380952380952371,0.375,21
0839.HK,10.314,20181,9.612,-14167.062,-6.81,2019-10-24 15:29:11.157181,2020-01-22 15:29:11.157181,61,10.877,0.02909836065573771,2.1530000000000005,61
2607.HK,11.636,13206,11.455,-2390.285999999989,-1.56,2019-10-25 15:29:11.157181,2020-01-30 15:29:11.157181,64,12.129,0.017984374999999997,1.4139999999999997,64
0522.HK,63.704,2033,84.469,42215.24499999999,32.6,2019-06-18 15:29:11.157181,2020-02-21 15:29:11.157181,170,82.197,0.16455294117647062,29.32,170
0293.HK,10.36,18724,7.735,-49150.499999999985,-25.34,2020-01-22 15:29:11.157181,2020-03-17 15:29:11.157181,37,11.74,0.014006993006993007,2.6129999999999995,143
0012.HK,30.436,11805,25.624,-56805.66000000001,-15.81,2020-01-09 15:29:11.157181,2020-03-18 15:29:11.157181,47,32.601,0.03314285714285713,4.523999999999997,84
0670.HK,3.513,43063,2.414,-47326.23699999999,-31.28,2020-01-30 15:29:11.157181,2020-03-23 15:29:11.157181,37,4.416,0.005419580419580422,0.9220000000000002,143
0268.HK,8.432,35877,11.928,125425.99200000001,41.46,2020-03-18 15:29:11.157181,2020-04-21 15:29:11.157181,22,11.229,0.018307692307692306,4.576,221
0460.HK,0.643,267071,0.547,-25638.81599999999,-14.93,2020-02-26 15:29:11.157181,2020-06-10 15:29:11.157181,71,0.807,0.0029859154929577475,0.26,71
1299.HK,65.204,6563,69.716,29612.256,6.92,2020-04-23 15:29:11.157181,2020-06-10 15:29:11.157181,32,69.558,0.27209375000000025,13.341000000000008,32
0019.HK,40.548,2563,35.579,-12735.547000000002,-12.25,2020-03-24 15:29:11.157181,2020-06-29 15:29:11.157181,64,64.969,0.10395312499999987,7.662999999999997,64
3888.HK,13.783,18832,38.473,464962.07999999996,179.13,2019-08-23 15:29:11.157181,2020-07-06 15:29:11.157181,213,21.78,0.054000000000000006,11.933000000000002,213
1907.HK,1.727,174775,2.042,55054.12499999995,18.24,2020-06-10 15:29:11.157181,2020-08-26 15:29:11.157181,53,2.063,0.0004905660377358537,0.5330000000000001,53
2688.HK,88.802,3398,79.067,-33079.53000000005,-10.96,2020-06-16 15:29:11.157181,2020-10-07 15:29:11.157181,77,93.15,0.39044155844155853,37.069,77
0981.HK,18.96,14171,21.55,36702.89,13.66,2020-10-07 15:29:11.157181,2020-10-28 15:29:11.157181,14,21.45,0.039285714285714333,3.6899999999999977,14
0027.HK,52.409,1741,52.211,-344.7180000000007,-0.38,2020-06-30 15:29:11.157181,2020-10-29 15:29:11.157181,83,56.632,0.19299999999999998,20.247999999999998,83
1910.HK,7.83,92535,7.8,-2776.050000000023,-0.38,2020-07-09 15:29:11.157181,2020-10-30 15:29:11.157181,78,9.95,0.05371794871794871,4.749999999999999,78
0001.HK,44.0,3291,46.189,7203.999,4.98,2020-03-17 15:29:11.157181,2020-11-05 15:29:11.157181,158,62.976,0.05323417721518988,10.374000000000002,158
2669.HK,5.681,16001,5.284,-6352.397000000004,-6.99,2020-10-29 15:29:11.157181,2020-11-06 15:29:11.157181,6,6.329,0.009647058823529394,0.3769999999999998,17
6886.HK,10.727,7895,10.554,-1365.8350000000003,-1.61,2020-11-06 15:29:11.157181,2020-12-07 15:29:11.157181,21,12.859,0.03633333333333333,1.2129999999999992,21
6185.HK,159.036,955,196.45,35730.36999999999,23.53,2020-11-05 15:29:11.157181,2021-01-07 15:29:11.157181,43,192.501,0.8540232558139538,53.209,43
0522.HK,73.403,4862,102.87,143268.554,40.14,2020-08-28 15:29:11.157181,2021-02-03 15:29:11.157181,108,92.433,0.30311111111111116,34.732000000000006,108
1128.HK,12.92,14520,14.92,29040.0,15.48,2021-01-07 15:29:11.157181,2021-02-17 15:29:11.157181,27,13.98,0.011872509960159365,3.960000000000001,251
1995.HK,19.755,10966,16.287,-38030.087999999996,-17.56,2021-02-25 15:29:11.157181,2021-03-08 15:29:11.157181,7,23.957,0.1093157894736843,3.1880000000000024,19
1995.HK,17.214,10376,18.084,9027.12000000001,5.05,2021-03-10 15:29:11.157181,2021-04-09 15:29:11.157181,19,23.957,0.1093157894736843,3.1880000000000024,19
1109.HK,27.48,26265,28.277,20933.205000000016,2.9,2020-10-30 15:29:11.157181,2021-07-07 15:29:11.157181,168,33.328,0.049494047619047625,10.623000000000005,168
3633.HK,6.459,47280,6.539,3782.4000000000033,1.24,2020-10-28 15:29:11.157181,2021-07-19 15:29:11.157181,178,7.332,0.010342696629213484,2.149,178
2500.HK,63.95,11613,42.4,-250260.15000000005,-33.7,2021-07-07 15:29:11.157181,2021-08-06 15:29:11.157181,22,75.0,0.1423913043478261,19.9,92
0270.HK,10.188,18417,9.198,-18232.830000000005,-9.72,2021-04-09 15:29:11.157181,2021-08-17 15:29:11.157181,89,11.995,0.020674157303370785,2.036999999999999,89
0200.HK,12.32,25098,10.34,-49694.04000000001,-16.07,2021-07-21 15:29:11.157181,2021-08-19 15:29:11.157181,21,14.94,0.04857142857142855,1.5399999999999991,21
9888.HK,139.4,1215,157.1,21505.499999999985,12.7,2021-08-18 15:29:11.157181,2021-11-01 15:29:11.157181,50,200.0,0.4319999999999999,29.400000000000006,50
0345.HK,21.112,23323,18.303,-65514.30699999994,-13.31,2021-08-06 15:29:11.157181,2021-11-17 15:29:11.157181,70,36.024,0.06662857142857145,6.777000000000001,70
3900.HK,9.136,54746,10.298,63614.85200000004,12.72,2021-02-03 15:29:11.157181,2021-11-22 15:29:11.157181,197,13.635,0.03934517766497462,8.251999999999999,197
