stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
3633.HK,6.983185291290283,6907,6.973486423492432,-66.99007987976074,2020-07-22 11:52:07.413136,2020-08-05 11:52:07.413136
2313.HK,89.56912231445312,502,105.00212860107422,7747.369155883789,2020-07-30 11:52:07.413136,2020-08-13 11:52:07.413136
0683.HK,14.378779411315918,2531,15.127347946166992,1894.6269617080688,2020-07-31 11:52:07.413136,2020-08-14 11:52:07.413136
2588.HK,41.90245819091797,1149,45.040523529052734,3605.6370735168457,2020-08-05 11:52:07.413136,2020-08-19 11:52:07.413136
0023.HK,15.358841896057129,3433,15.030587196350098,-1126.8983840942383,2020-08-13 11:52:07.413136,2020-08-27 11:52:07.413136
0973.HK,12.612557411193848,3036,12.955496788024902,1041.163948059082,2020-08-14 11:52:07.413136,2020-08-28 11:52:07.413136
6160.HK,139.5,370,138.5,-370.0,2020-08-19 11:52:07.413136,2020-09-02 11:52:07.413136
0303.HK,36.978153228759766,1399,35.396854400634766,-2212.237060546875,2020-08-27 11:52:07.413136,2020-09-10 11:52:07.413136
0006.HK,38.97620391845703,1009,37.301963806152344,-1689.3082733154297,2020-08-28 11:52:07.413136,2020-09-11 11:52:07.413136
3899.HK,2.9881467819213867,17153,3.054974317550659,1146.2927186489105,2020-09-02 11:52:07.413136,2020-09-16 11:52:07.413136
2196.HK,29.719310760498047,1666,31.690980911254883,3284.8024711608887,2020-09-10 11:52:07.413136,2020-09-24 11:52:07.413136
0189.HK,2.9554922580718994,12738,2.7565650939941406,-2533.9342160224915,2020-09-11 11:52:07.413136,2020-09-25 11:52:07.413136
0973.HK,12.860236167907715,4074,12.860236167907715,0.0,2020-09-16 11:52:07.413136,2020-09-30 11:52:07.413136
2688.HK,81.88377380371094,536,80.72298431396484,-622.1831665039062,2020-09-25 11:52:07.413136,2020-10-09 11:52:07.413136
0558.HK,0.42774078249931335,102937,0.4451998174190521,1797.1806775331497,2020-09-28 11:52:07.413136,2020-10-12 11:52:07.413136
0467.HK,1.0262278318405151,51053,1.0262277126312256,-0.006085991859436035,2020-09-30 11:52:07.413136,2020-10-14 11:52:07.413136
1238.HK,5.160455703735352,8895,4.742501735687256,-3717.7005457878113,2020-10-12 11:52:07.413136,2020-10-20 11:52:07.413136
6185.HK,172.75772094726562,250,168.3153839111328,-1110.5842590332031,2020-10-09 11:52:07.413136,2020-10-23 11:52:07.413136
0179.HK,15.784523963928223,3319,15.504985809326172,-927.7871351242065,2020-10-14 11:52:07.413136,2020-10-28 11:52:07.413136
1913.HK,32.79496765136719,1283,29.898405075073242,-3716.289785385132,2020-10-23 11:52:07.413136,2020-10-30 11:52:07.413136
3633.HK,6.527194499969482,6464,6.400735855102539,-817.4286804199219,2020-10-20 11:52:07.413136,2020-11-03 11:52:07.413136
9997.HK,21.340438842773438,1940,19.788406372070312,-3010.9429931640625,2020-11-03 11:52:07.413136,2020-11-09 11:52:07.413136
3759.HK,70.51165771484375,729,71.89683532714844,1009.7944793701172,2020-10-28 11:52:07.413136,2020-11-11 11:52:07.413136
2500.HK,74.55000305175781,515,68.1500015258789,-3296.0007858276367,2020-10-30 11:52:07.413136,2020-11-11 11:52:07.413136
3311.HK,5.280242443084717,8294,4.843194961547852,-3624.8718118667603,2020-11-12 11:52:07.413136,2020-11-16 11:52:07.413136
1913.HK,33.67866516113281,1139,32.45130920410156,-1397.9584350585938,2020-11-09 11:52:07.413136,2020-11-23 11:52:07.413136
0168.HK,62.94453811645508,695,77.30543518066406,9980.823459625244,2020-11-11 11:52:07.413136,2020-11-23 11:52:07.413136
0512.HK,6.134921073913574,6547,6.480550765991211,2262.8375940322876,2020-11-16 11:52:07.413136,2020-11-30 11:52:07.413136
