Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,STOCHk,STOCHd,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,MFI,MFI_larger_than_3days_average,profit_after_10_days,profit_after_20_days,k_larger_d,d_larger_k_1_days_before
2000-07-25 00:00:00+08:00,6.808402225623982,7.094069175630188,6.784596532942842,7.0464582443237305,25721300,0.0,0.0,85.71422374037184,84.7365610904351,4.635925680520145,6.127563095092773,7.619200509665401,48.686154395283104,0.8080155875193812,81.44831276740018,True,0.1790543558350154,0.13513501106023917,True,True
2000-08-07 00:00:00+08:00,8.284351134083302,8.379573926244198,8.141517853953806,8.212934494018555,12781000,0.0,0.0,90.09563960078538,88.40310484222834,5.943838559071551,7.234523439407349,8.525208319743147,35.68126888096807,0.8790278593627951,79.35766578338931,True,-0.011594300479326351,-0.04637692432634057,True,True
2000-08-29 00:00:00+08:00,7.570181946100213,7.665404726045818,7.522571010183276,7.546376705169678,6751000,0.0,0.0,41.9047530766337,38.7381327795448,7.281962490494116,7.81061897277832,8.339275455062523,13.536865237612664,0.25008131323112576,41.20817689816451,True,0.05678259228671509,-0.0410095706903066,True,True
2000-08-31 00:00:00+08:00,7.4987671470941395,7.713018000255896,7.474961446292169,7.689211845397949,10184000,0.0,0.0,40.98490710044657,40.322650906695166,7.240718785199321,7.777291345596313,8.313863905993305,13.798443096793902,0.4179239615484655,60.04291912476002,True,0.04024689825569424,-0.0464397641106859,True,True
2000-09-12 00:00:00+08:00,7.974879536861292,7.974879536861292,7.760628678596348,7.903462886810303,10893600,0.0,0.0,74.46645479422568,72.5506613771414,7.445123489287479,7.7999063491821286,8.154689209076778,9.097105632091369,0.645943546510286,67.38627170774174,True,-0.08433769603692991,-0.04337961178858357,True,True
2000-09-15 00:00:00+08:00,7.974877733838114,8.04629436774267,7.90346109993356,7.998682975769043,6325000,0.0,0.0,75.70554832700658,72.71149775815717,7.449357864390471,7.795145106315613,8.140932348240755,8.871861580741724,0.7943108431650772,73.20071301205992,True,-0.06250019820279745,-0.12057513618689178,True,True
2000-09-27 00:00:00+08:00,7.046458084750938,7.236902713775635,6.998846700466858,7.236902713775635,8237500,0.0,0.0,21.527751708079624,17.006183570223627,6.976980189240975,7.635647320747376,8.294314452253776,17.25242415837326,0.19730946945857583,42.526668785847896,True,0.021587508985279388,-0.0842079348073568,True,True
2000-10-27 00:00:00+08:00,6.579646587371825,6.579646587371825,6.579646587371825,6.579646587371826,0,0.0,0.0,21.486592249611657,21.119042782275354,6.223773054205559,7.040012502670288,7.856251951135018,23.18857951332128,0.21799579390314472,11.520237229108506,True,0.23272711975925034,0.21818192538017694,True,True
2000-11-01 00:00:00+08:00,6.555722025223048,6.794981956481934,6.555722025223048,6.794981956481934,6590200,0.0,0.0,34.9702343288301,24.933111271500255,6.144784112842302,6.8966658353805546,7.648547557918807,21.80420917832577,0.43238040249512266,23.54843264700221,True,0.17605670938985316,0.1866196488296477,True,True
2000-11-16 00:00:00+08:00,7.704166779546039,7.775944546666814,7.704166779546039,7.752018928527832,3125800,0.0,0.0,68.69915465557108,67.75064913281075,6.0094673458645325,7.228041076660157,8.44661480745578,33.71795256478226,0.7149963677312996,80.88150707780193,True,0.033950848420834685,0.12345655885512183,True,True
2000-12-06 00:00:00+08:00,8.1348363539547,8.2066141392429,8.015206407573013,8.158761978149414,19723000,0.0,0.0,48.14856970455734,38.17676161721517,7.581583437723083,7.91112802028656,8.240672602850037,8.33116546005635,0.8757214819563225,53.99663118891108,True,0.03519040842725594,0.035190791750675375,True,True
2000-12-20 00:00:00+08:00,8.302316605928375,8.445872144421259,8.254464455529464,8.42194652557373,5944000,0.0,0.0,62.58484990706677,61.22425565639327,7.617444917437015,8.175509834289551,8.733574751142086,13.65211291195349,0.7207957209298097,72.5873840221847,True,0.002841237025123211,0.036931647578542004,True,True
2000-12-28 00:00:00+08:00,8.445870937906612,8.541575225032831,8.398018794343503,8.517648696899414,5544700,0.0,0.0,46.11661139228304,46.02498430460961,7.828038705876047,8.311887645721436,8.795736585566825,11.64233590415413,0.712629432694146,74.2702423847216,True,0.05056238698767254,0.03932596472535891,True,True
