Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI_14,STOCHk,STOCHd,STOCHk_10days_avg,STOCHk_20days_avg,STOCHk_30days_avg,MACD,MACDh,MACDs,stoch_1,stoch_2,stoch_3,rsi_1,condition_3,condition_4,condition_5,condition_6,profit_after_14_days
2012-10-30 00:00:00+08:00,9.48398300292997,9.586697523041195,8.884814560796602,9.27855396270752,54273500,0.0,0.0,,,,,,,,,,False,False,False,False,False,False,False,False,0.02398539206679333
2012-10-31 00:00:00+08:00,9.329910460416984,9.62093533116839,9.329910460416984,9.535340309143066,18960500,0.0,0.0,,,,,,,,,,False,False,False,False,False,False,False,False,-0.003590485588486254
2012-11-01 00:00:00+08:00,9.689412734225373,9.757889085850094,9.329911480044343,9.518221855163574,11896000,0.0,0.0,,,,,,,,,,False,False,False,False,False,False,False,False,-0.0035970620776090054
2012-11-02 00:00:00+08:00,9.586698206788293,9.672294054470443,9.449745503538853,9.518221855163574,3956500,0.0,0.0,,,,,,,,,,False,False,False,False,False,False,False,False,-0.003597321933840737
2012-11-05 00:00:00+08:00,9.535341351221005,9.569579527033364,9.398387831669064,9.518221855163574,2178500,0.0,0.0,,,,,,,,,,False,False,False,False,False,False,False,False,-0.0053955693460701545
2012-11-06 00:00:00+08:00,9.501103807181776,9.518222488075008,9.415507953807955,9.449746131896973,4879000,0.0,0.0,,,,,,,,,,False,False,False,False,False,False,False,False,0.050724677256569865
2012-11-07 00:00:00+08:00,9.50110149383545,9.518220170560593,9.329909828769878,9.50110149383545,3072000,0.0,0.0,,,,,,,,,,False,False,False,False,False,False,False,False,0.03243240968169703
2012-11-08 00:00:00+08:00,9.261433935515578,9.483982457782165,9.261433935515578,9.329910278320312,2546500,0.0,0.0,,,,,,,,,,False,False,False,False,False,False,False,False,0.05504604437679451
2012-11-09 00:00:00+08:00,9.32990957899942,9.432624901809918,9.32990957899942,9.415505409240723,2122000,0.0,0.0,,,,,,,,,,False,False,False,False,False,False,False,False,0.02181833560703785
2012-11-12 00:00:00+08:00,9.415507953807955,9.48398430998599,9.381269775718938,9.449746131896973,1233000,0.0,0.0,,,,,,,,,,False,False,False,False,False,False,False,False,0.023550677390398376
2012-11-13 00:00:00+08:00,9.39838583206437,9.449743493007283,9.39838583206437,9.432624816894531,813500,0.0,0.0,,,,,,,,,,False,False,False,False,False,False,False,False,0.023593652188918027
2012-11-14 00:00:00+08:00,9.432625154330164,9.552458340313235,9.415505661302664,9.50110149383545,933500,0.0,0.0,,,,,,,,,,False,False,False,False,False,False,False,False,0.027027198834311813
2012-11-15 00:00:00+08:00,9.449746131896973,9.518222488075008,9.364150278523152,9.449746131896973,1532500,0.0,0.0,,,,,,,,,,False,False,False,False,False,False,False,False,0.05434777672360575
2012-11-16 00:00:00+08:00,9.415505661302664,9.569577833340734,9.398386168275165,9.50110149383545,879000,0.0,0.0,,,,,,,,,,False,False,False,False,False,False,False,False,0.05945949193751886
2012-11-19 00:00:00+08:00,9.41550786475174,9.501103717315958,9.41550786475174,9.466865539550781,321000,0.0,0.0,60.37749334914193,,,,,,,,,False,False,False,False,False,False,False,False,0.06690771987366684
2012-11-20 00:00:00+08:00,9.48398430998599,9.501103807181776,9.39838845661217,9.449746131896973,1179500,0.0,0.0,59.17506936020928,,,,,,,,,False,False,False,False,False,False,False,False,0.05797086703087976
2012-11-21 00:00:00+08:00,9.449746042516917,9.483984220282096,9.381269686986563,9.466865539550781,599000,0.0,0.0,60.0322588562946,,,,,,,,,False,False,False,False,False,False,False,False,0.06148259069562199
2012-11-22 00:00:00+08:00,9.432624901809918,9.483981746912832,9.364147747835474,9.415505409240723,1159500,0.0,0.0,56.2185043066723,,,,,,,,,False,False,False,False,False,False,False,False,0.050909235500168445
2012-11-23 00:00:00+08:00,9.415507953807955,9.466865629092759,9.415507953807955,9.449746131896973,965500,0.0,0.0,58.12831356808198,,,,,,,,,False,False,False,False,False,False,False,False,0.05072471154576647
2012-11-26 00:00:00+08:00,9.518222500679135,9.929081454593966,9.449746144410422,9.757889747619629,4094000,0.0,0.0,70.5701076662995,,,,,,,,,False,False,False,False,False,False,False,False,0.01754372188033965
2012-11-27 00:00:00+08:00,9.809245109910904,9.809245109910904,9.48398208618164,9.48398208618164,1182000,0.0,0.0,54.94210320859544,,,,,,,,,False,False,False,False,False,False,False,False,0.04693161022411055
2012-11-28 00:00:00+08:00,9.501103175408645,9.843484933532244,9.501103175408645,9.518221855163574,666000,0.0,0.0,56.24649169734985,,,,,,,,,False,False,False,False,False,False,False,False,0.04676273672532779
2012-11-29 00:00:00+08:00,9.620936066169417,9.620936066169417,9.535341037604978,9.552459716796875,282500,0.0,0.0,57.56924038230646,,,,,,,,,False,False,False,False,False,False,False,False,0.037634302088414
2012-11-30 00:00:00+08:00,9.586698206788293,9.672294054470443,9.466864999596284,9.518221855163574,1043500,0.0,0.0,55.75403632513941,47.49052660465972,,,,,,,,False,False,False,False,False,False,False,False,0.05035978776835408
2012-12-03 00:00:00+08:00,9.449745824207683,9.655174886052897,9.449745824207683,9.586698532104492,1742000,0.0,0.0,58.56783675217324,40.51282538124671,,,,,,,,False,False,False,False,False,False,False,False,0.026785766564199537
2012-12-04 00:00:00+08:00,9.723651475251767,9.757889653054317,9.620936941844123,9.672294616699219,1693000,0.0,0.0,61.8350690929353,46.15390170180346,,,,,,,,False,False,False,False,False,False,False,False,0.03185821269207857
2012-12-05 00:00:00+08:00,9.74077027679071,9.963318824768066,9.68941260560267,9.963318824768066,2842000,0.0,0.0,70.38578588443612,58.461581658363095,,,,,,,,False,False,False,False,False,False,False,False,0.008590856914976555
2012-12-06 00:00:00+08:00,10.066032161505706,10.066032161505706,9.911959982448229,9.980436325073242,2415000,0.0,0.0,70.80018051555403,67.4180482645223,52.007376722119055,,,,,,,False,False,False,False,False,False,False,True,0.012006955742333571
2012-12-07 00:00:00+08:00,10.031795573718664,10.100271927152715,9.809247016906738,9.809247016906738,1054000,0.0,0.0,61.52752122146191,71.81877669244435,56.87302673967598,,,,,,,False,False,False,False,False,False,True,True,0.029668221921122416
2012-12-10 00:00:00+08:00,9.946198441777597,9.997556108384742,9.809245752561765,9.843483924865723,374000,0.0,0.0,62.58298103838332,75.09841663561465,63.79014499054957,,,,,,,False,False,False,False,False,False,True,True,0.03652184977408692
2012-12-11 00:00:00+08:00,9.980436614081555,10.04891295868947,9.809245752561765,9.843483924865723,481500,0.0,0.0,62.58298103838332,75.81394656118519,69.7221539624259,,,,,,,False,False,False,False,False,False,True,True,0.03304362394467766
