Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,STOCHk,STOCHd,profit_after_14_days,volume_avg_3_days,vloume_than_3days_average,condition_1,condition_2,condition_3,condition_4,condition_5,condition_6,condition_7
2000-01-03 00:00:00+08:00,54.542076640658905,54.78776167057178,52.82228143126876,53.06796646118164,3908164,0.0,0.0,,,-0.15740755364133047,,False,False,False,False,False,False,False,False
2000-01-04 00:00:00+08:00,52.085220336914055,52.33090533850328,51.593850333735624,52.08522033691406,6895378,0.0,0.0,,,-0.11792449138600307,,False,False,False,False,False,False,False,False
2000-01-05 00:00:00+08:00,49.62838312405259,50.11975325399371,48.89132792914092,49.38269805908203,14657098,0.0,0.0,,,-0.08457740392659055,,False,False,False,False,False,False,False,False
2000-01-06 00:00:00+08:00,49.62837144517407,50.119741459482725,47.294363877207964,47.66289138793945,10632084,0.0,0.0,,,-0.05154640943011797,8486880.0,True,False,False,False,False,False,False,True
2000-01-07 00:00:00+08:00,48.399957799199804,49.62838312405259,47.908587669258694,49.38269805908203,8368286,0.0,0.0,,,-0.06965194236676345,10728186.666666666,False,False,False,False,False,False,False,False
2000-01-10 00:00:00+08:00,50.611138572692866,50.611138572692866,48.89134260177612,49.137027740478516,6201139,0.0,0.0,,,-0.045000681347758226,11219156.0,False,False,False,False,False,False,False,False
2000-01-11 00:00:00+08:00,49.13700648716518,49.13700648716518,47.90858132498605,48.154266357421875,8366294,0.0,0.0,,,-0.053571121359146025,8400503.0,False,False,False,False,False,False,False,False
2000-01-12 00:00:00+08:00,47.04869509610263,47.66290782581676,47.04869509610263,47.29438018798828,7369722,0.0,0.0,,,-0.03376619966965459,7645239.666666667,False,False,False,False,False,False,False,False
2000-01-13 00:00:00+08:00,47.662904488023855,47.785747025364124,46.92584926398225,47.540061950683594,5281865,0.0,0.0,,,-0.033591721731771156,7312385.0,False,False,False,False,False,False,False,False
2000-01-14 00:00:00+08:00,48.03143210004466,48.2771171747252,47.17153433866279,47.540061950683594,5930363,0.0,0.0,,,-0.049095886313134045,7005960.333333333,False,False,False,False,False,False,False,False
2000-01-17 00:00:00+08:00,48.39996140237917,48.39996140237917,47.17153598607513,47.41722106933594,4628898,0.0,0.0,,,-0.04663243744860441,6193983.333333333,False,False,False,False,False,False,False,False
2000-01-18 00:00:00+08:00,47.417193730672196,47.417193730672196,46.680138905843094,47.1715087890625,3157976,0.0,0.0,,,-0.041666428861074384,5280375.333333333,False,False,False,False,False,False,False,False
2000-01-19 00:00:00+08:00,46.434471682632896,47.17152678870643,45.697416576559355,45.82025909423828,13908521,0.0,0.0,,,-0.03485269069263962,4572412.333333333,True,False,False,False,False,False,False,True
2000-01-20 00:00:00+08:00,45.57458180286845,46.065951957077274,44.83752657155521,44.96036911010742,10790069,0.0,0.0,,,-2.306963575285921e-07,7231798.333333333,True,False,False,False,False,False,False,True
2000-01-21 00:00:00+08:00,44.1004552156227,44.714667683806866,43.97761272198587,44.4689826965332,15114204,0.0,0.0,,,0.002762367442349852,9285522.0,True,False,False,False,False,False,False,True
2000-01-24 00:00:00+08:00,45.697412208084145,45.94309721995557,45.0831996784056,45.57456970214844,11414778,0.0,0.0,10.396983217078708,,-0.013476812405082726,13270931.333333334,False,False,False,True,False,False,False,False
2000-01-25 00:00:00+08:00,44.96035267108053,45.20603765835419,44.1004552156227,44.4689826965332,13997737,0.0,0.0,12.45458433939075,,-0.0165744921146065,12439683.666666666,True,False,True,True,False,False,False,True
2000-01-26 00:00:00+08:00,44.71467046868312,45.20604047383348,44.46898546610793,44.8375129699707,7499739,0.0,0.0,14.814782108575097,12.555449888348186,-0.035615931107421867,13508906.333333334,False,True,True,True,False,False,True,False
