Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,STOCHk,STOCHd,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,profit_after_10_days,profit_after_20_days,BBP_yesterday_smaller_than_0.5,BBP_larger_than_0.9,STOCHk_larger_than_k_3days,STOCHk_larger_than_k_2days,STOCHk_larger_than_k_1days
2000-01-04 00:00:00+08:00,0.8965010929036551,0.8965010929036551,0.8540352206294048,0.8563945293426514,11552164,0.0,0.0,,,,,,,,-0.06887052141603942,-0.10743782439134875,False,False,False,False,True
2000-01-05 00:00:00+08:00,0.8021326661109924,0.8304431461186335,0.7643851807682355,0.8021326661109924,24275586,0.0,0.0,,,,,,,,-0.02352927202747429,-0.035294135967067514,False,False,False,False,True
2000-01-06 00:00:00+08:00,0.8068508593711802,0.8068508593711802,0.7172007468696974,0.7431521415710449,28379175,0.0,0.0,,,,,,,,0.05396866212631988,-0.015872834492327473,False,False,False,False,True
2000-01-07 00:00:00+08:00,0.7455113930841526,0.7691036382102034,0.7384337731461076,0.7525891661643982,15080315,0.0,0.0,,,,,,,,0.05642629399430758,-0.04075254505167177,False,False,False,False,True
2000-01-10 00:00:00+08:00,0.7643853720904547,0.7879774701921851,0.7596669830985565,0.7761814594268799,16124084,0.0,0.0,,,,,,,,0.024316005374115,-0.10638333135842405,False,False,False,False,True
2000-01-11 00:00:00+08:00,0.7879773629015994,0.8021327576632626,0.7785405096316002,0.7832589745521545,14817875,0.0,0.0,,,,,,,,0.02409658431818515,-0.14457838368801715,False,False,False,False,True
2000-01-12 00:00:00+08:00,0.7785405096316002,0.7950549837113213,0.7738221212821553,0.7832589745521545,9674408,0.0,0.0,,,,,,,,0.024096629871662605,-0.1355421495826074,False,False,False,False,True
2000-01-13 00:00:00+08:00,0.7856181868271088,0.7856181868271088,0.7431523140566381,0.7525891661643982,27607342,0.0,0.0,,,,,,,,0.021943580468484634,-0.0783697086629683,False,False,False,False,True
2000-01-14 00:00:00+08:00,0.7549483396228285,0.769103734411713,0.75023002783542,0.7573076486587524,22493790,0.0,0.0,,,,,,,,0.034267750330400956,-0.155763405093112,False,False,False,False,True
2000-01-17 00:00:00+08:00,0.7643853425979614,0.7738221967887728,0.7549484118360328,0.7643853425979614,13960803,0.0,0.0,,,,,,,,-0.015432118138779663,-0.11728401286363997,False,False,False,False,True
2000-01-18 00:00:00+08:00,0.764385244428579,0.7974141915689793,0.7596668562247106,0.7926958799362183,15283049,0.0,0.0,,,,,,,,-0.03571422075395717,-0.12499996041593335,False,False,False,False,True
