STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL,2270000,TOTAL GAIN%
6326.T,2236.5,100,2341.5,10500,4.69,2023-08-29,2023-09-08,8,58.96581972,49.6023503,396.9255659,3227356.31,42.17428677
8410.T,304.5988159,100,311.8746033,727.5787354,2.39,2023-08-31,2023-09-08,6,82.48752217,80.69251836,6.046547089,3228083.888,42.20633869
8593.T,898.4147339,300,992.6691895,28276.33667,10.49,2023-08-24,2023-09-11,12,46.09219631,36.27439906,653.0397593,3256360.225,43.45199229
3402.T,777.644104,100,799.0997925,2145.568848,2.76,2023-08-30,2023-09-13,10,37.26069847,36.85423945,289.628243,3258505.794,43.54651074
4528.T,2845.937988,400,2857.769287,4732.519531,0.42,2023-09-12,2023-09-20,6,74.62484525,64.05572458,477.1934157,3263238.313,43.75499178
9143.T,2106.661133,200,1969.473877,-27437.45117,-6.51,2023-08-10,2023-09-21,30,35.82959428,20.57713113,439.5789749,3235800.862,42.54629349
4921.T,2429.642578,200,2281.233398,-29681.83594,-6.11,2023-09-15,2023-09-21,4,8.179828826,6.032058194,448.5753153,3206119.026,41.23872362
2531.T,1277.5,500,1213,-32250,-5.05,2023-09-14,2023-09-22,6,33.19490326,23.47742575,514.080408,3173869.026,39.81801878
7453.T,1919,100,1931.5,1250,0.65,2023-09-05,2023-09-25,14,55.28960087,43.63258444,589.107186,3175119.026,39.87308486
1332.T,753.6430664,300,705.7999878,-14352.92358,-6.35,2023-09-19,2023-10-03,9,39.18600354,28.8881943,489.6044245,3160766.103,39.24079747
9418.T,3330,300,3160,-51000,-5.11,2023-09-25,2023-10-03,5,15.77747253,14.10179124,404.6080845,3109766.103,36.99410144
6544.T,2202,300,2087,-34500,-5.22,2023-09-27,2023-10-13,11,28.13253012,25.28378935,680.4996703,3075266.103,35.47427765
6367.T,23305,100,22015,-129000,-5.54,2023-10-05,2023-10-20,11,11.13567572,9.143941768,283.7387058,2946266.103,29.79145827
4751.T,787.2000122,100,789.7000122,250,0.32,2023-10-06,2023-10-31,16,12.78966017,12.70991699,0.229362528,2946516.103,29.80247148
2327.T,4095,100,4470,37500,9.16,2023-10-25,2023-11-01,5,18.13730526,17.22267541,678.7863449,2984016.103,31.45445386
