STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,CUP LEN,HANDLE LEN,CUP DEPTH,HANDLE DEPTH,RRR,THRESHOLD,1000000
8750.T,1504.001953,221,1449.253296,-12099.45325,-3.64,2020-10-26,2020-12-16,37,83,53,0.226534227,0.108604121,2.085871372,0.06,987900.5468
6954.T,4453.688672,75,4938.957422,36395.15625,10.9,2020-11-06,2020-12-22,32,57,55,0.156587982,0.059491659,2.632099784,0.08,1024295.703
4528.T,3034.124268,122,2961.012695,-8919.611816,-2.41,2020-12-24,2021-02-01,25,49,23,0.130367596,0.076923105,1.694778135,0.04,1015376.091
3407.T,854.4783936,390,1054.056152,77835.32593,23.36,2020-10-27,2021-02-18,78,98,42,0.245085674,0.085557843,2.86456115,0.04,1093211.417
5019.T,2019.371704,158,2518.901611,78925.72534,24.74,2020-12-16,2021-04-02,72,69,19,0.127485278,0.062001606,2.056160893,0.06,1172137.142
9744.T,1637.237305,221,1773.252686,30059.39917,8.31,2021-02-01,2021-04-08,43,78,24,0.143510159,0.071298104,2.012818736,0.04,1202196.542
1808.T,1249.83728,329,1329.378418,26169.0343,6.36,2021-03-10,2021-04-21,27,151,24,0.237992318,0.067632785,3.518889784,0.04,1228365.576
3038.T,3032.857422,130,2807.133301,-29344.13574,-7.44,2021-04-15,2021-05-11,18,36,28,0.1003279,0.086885212,1.154717793,0.06,1199021.44
4812.T,4063.979004,97,3546.396729,-50205.48071,-12.74,2021-04-14,2021-05-13,21,41,22,0.149764283,0.097877347,1.530122007,0.06,1148815.959
9435.T,20910.02539,17,19079.23828,-31123.38086,-8.76,2021-05-24,2021-06-16,16,62,36,0.087985183,0.081777744,1.075906207,0.04,1117692.579
7951.T,5989.180176,59,6085.935547,5708.566895,1.62,2021-05-21,2021-06-18,19,127,35,0.151032223,0.087237441,1.731277548,0.04,1123401.146
2914.T,1768.327759,248,1835.333984,16617.54395,3.79,2021-04-22,2021-06-30,47,49,20,0.123350111,0.062635,1.96934798,0.04,1140018.689
4974.T,2844.468262,114,2710.757813,-15242.99121,-4.7,2021-06-16,2021-07-08,15,69,15,0.118302603,0.073385199,1.61207716,0.06,1124775.698
9682.T,2537.125488,179,2415.994873,-21682.38013,-4.77,2021-07-07,2021-08-04,20,85,21,0.078666415,0.059679208,1.318154463,0.04,1103093.318
9503.T,976.5946045,443,976.5946045,0,0,2021-08-06,2021-09-06,21,34,20,0.065207187,0.036795543,1.772149075,0.04,1103093.318
3003.T,1197.331543,259,1163.04248,-8880.867188,-2.86,2021-07-14,2021-09-29,54,85,21,0.163187552,0.072992037,2.235689778,0.04,1094212.451
9434.T,1265.488525,284,1343.757813,22228.47754,6.18,2021-06-24,2021-10-04,69,266,42,0.196728175,0.053663572,3.665953756,0.04,1116440.928
5019.T,2468.688232,175,2873.719971,70880.5542,16.41,2021-09-06,2021-11-02,38,55,24,0.10428977,0.06878685,1.516129452,0.08,1187321.483
6055.T,1354.227417,252,1489.650146,34126.52783,10,2021-10-13,2021-11-18,25,62,28,0.164492699,0.096376831,1.706766005,0.04,1221448.01
4503.T,1837.834961,186,1727.762329,-20473.50952,-5.99,2021-10-12,2021-11-29,33,71,34,0.145966588,0.057404569,2.54276952,0.04,1200974.501
8876.T,2354.407227,160,2049.206055,-48832.1875,-12.96,2021-11-18,2021-11-29,7,46,20,0.178600851,0.101646057,1.757085876,0.06,1152142.313
9759.T,2085.895996,241,2010.856812,-18084.44348,-3.6,2021-11-02,2021-11-30,20,259,45,0.217601882,0.14253192,1.526688776,0.06,1134057.87
7459.T,2077.172607,182,1924.649658,-27759.17676,-7.34,2021-12-23,2022-01-19,18,172,96,0.15351404,0.134422921,1.142022794,0.06,1106298.693
6326.T,2433.624512,155,2473.650879,6204.086914,1.64,2021-12-08,2022-01-24,32,51,32,0.126519217,0.116357901,1.08732811,0.04,1112502.78
8303.T,1978.266235,191,2122.751953,27596.77209,7.3,2021-12-14,2022-02-24,48,174,88,0.319696109,0.145072601,2.20369737,0.04,1140099.552
1861.T,2713.083984,129,2529.594727,-23670.11426,-6.76,2022-01-21,2022-03-07,28,78,32,0.112045736,0.046769824,2.395684358,0.04,1116429.438
8174.T,1533.950439,250,1408.539063,-31352.84424,-8.18,2022-02-04,2022-03-07,21,85,56,0.224039529,0.136058637,1.646639525,0.04,1085076.594
9715.T,2977.485352,136,2707.722412,-36687.75977,-9.06,2022-03-02,2022-03-08,4,37,19,0.156856697,0.081664135,1.9207538,0.04,1048388.834
2809.T,2389.281006,146,2215.638672,-25351.78076,-7.27,2022-03-10,2022-04-06,18,41,20,0.12505075,0.058871329,2.124136706,0.04,1023037.053
5076.T,966.7860107,361,950.4910278,-5882.488831,-1.69,2022-03-15,2022-04-06,15,29,24,0.076279046,0.075348866,1.012344971,0.04,1017154.564
1942.T,825.6456299,424,776.2844238,-20929.15137,-5.98,2022-03-23,2022-04-08,11,51,26,0.076049877,0.063564139,1.196427396,0.08,996225.413
5714.T,5925.509277,56,5527.824219,-22270.36328,-6.71,2022-04-15,2022-05-06,13,21,20,0.173595649,0.098742078,1.758071661,0.04,973955.0497
8308.T,519.7984619,638,490.402771,-18754.45081,-5.66,2022-04-14,2022-05-12,16,42,20,0.17864458,0.075430544,2.368332131,0.04,955200.5989
8830.T,3405.460693,97,3142.976807,-25460.93701,-7.71,2022-04-18,2022-05-19,21,41,23,0.175917382,0.084122349,2.091208625,0.04,929739.6619
6988.T,8645.458984,36,8645.458984,0,0,2022-05-13,2022-06-22,27,72,46,0.193842884,0.092991584,2.084520736,0.04,929739.6619
2811.T,3274.882324,95,3106.939453,-15954.57275,-5.13,2022-06-24,2022-07-29,24,56,31,0.049773806,0.049773755,1.000001023,0.04,913785.0892
9509.T,489.8278503,636,478.4143677,-7258.974976,-2.33,2022-05-10,2022-09-02,81,161,66,0.193876923,0.146565536,1.322800219,0.04,906526.1142
1893.T,619.1114502,495,693.2507935,36698.97491,11.98,2022-05-19,2022-09-06,76,67,30,0.161869445,0.05909805,2.738998052,0.04,943225.0891
6856.T,6323.614258,46,5795.84668,-24277.30859,-8.35,2022-08-01,2022-09-20,35,106,55,0.187676515,0.182958886,1.025785187,0.06,918947.7805
7276.T,2348.411621,138,2047.143311,-41575.02686,-12.83,2022-09-07,2022-09-26,12,24,18,0.1072555,0.079916008,1.342102826,0.04,877372.7537
5947.T,3566.702148,77,3066.513672,-38514.5127,-14.02,2022-10-06,2022-11-04,21,212,49,0.28458821,0.090520015,3.1439258,0.06,838858.241
5110.T,1218.419189,269,1108.820679,-29481.99939,-9,2022-09-09,2022-11-11,43,161,50,0.215156977,0.115072975,1.869743756,0.04,809376.2416
6501.T,6923.66748,34,7040.447266,3970.512695,1.69,2022-11-04,2022-12-07,23,268,74,0.378997996,0.153576662,2.467809838,0.06,813346.7543
8892.T,776.623291,353,779.4820557,1009.143921,0.37,2022-10-03,2022-12-20,55,112,63,0.14110434,0.082208625,1.716417718,0.04,814355.8982
9787.T,2946.260986,93,2844.162842,-9495.127441,-3.47,2022-12-28,2023-01-10,8,142,33,0.070645169,0.048184817,1.466129243,0.04,804860.7708
7956.T,2084.365479,116,1960.936768,-14317.73047,-5.92,2022-12-08,2023-01-12,22,133,86,0.277569533,0.175000079,1.586110903,0.04,790543.0403
3148.T,3127.58667,95,3191.770264,6097.441406,2.05,2022-11-14,2023-01-13,41,45,36,0.108031541,0.074015777,1.459574499,0.06,796640.4817
6268.T,3382.387207,93,3481.143066,9184.294922,2.92,2023-01-13,2023-02-20,23,89,56,0.178368171,0.080814097,2.207141791,0.04,805824.7766
5332.T,4890.303711,54,4231.430664,-35579.14453,-13.47,2023-01-11,2023-03-14,41,189,97,0.194550162,0.192614839,1.010047631,0.04,770245.6321
1860.T,684.5997925,474,669.4938354,-7160.223633,-2.21,2023-02-20,2023-04-12,34,68,15,0.094366159,0.049295716,1.914287239,0.06,763085.4084
6702.T,18100.49219,12,17852.27344,-2978.625,-1.37,2023-01-12,2023-04-19,63,125,48,0.221384889,0.103241615,2.144337721,0.04,760106.7834
1808.T,1551.755737,141,1601.717529,7044.612671,3.22,2023-04-19,2023-05-25,25,170,40,0.124795412,0.073207286,1.704685678,0.06,767151.3961
6981.T,2524.873291,90,2681.740479,14118.04688,6.21,2023-03-23,2023-06-23,60,83,44,0.176851707,0.082581686,2.141536664,0.04,781269.443
6971.T,6955,45,7713,34110,10.9,2023-04-12,2023-06-27,51,105,33,0.115061189,0.064757363,1.776804746,0.06,815379.443
6954.T,4766,47,4943,8319,3.71,2023-05-25,2023-06-27,21,205,75,0.24956443,0.097126189,2.569486491,0.06,823698.443
8905.T,1812.503174,151,1708.002075,-15779.66589,-5.77,2023-06-27,2023-07-13,12,111,39,0.086695398,0.067446285,1.285399149,0.04,807918.7771
4061.T,2657.062988,103,2656.08374,-100.8625488,-0.04,2023-06-29,2023-07-21,16,32,16,0.093220296,0.045320525,2.056911212,0.06,807817.9146
1820.T,3470.166748,79,3452.541748,-1392.375,-0.51,2023-07-04,2023-08-04,23,35,19,0.110045191,0.028498848,3.861390929,0.06,806425.5396
4348.T,2294.401367,113,2845.892578,62318.50684,24.04,2023-07-18,2023-09-15,43,33,23,0.086184539,0.080987428,1.064171825,0.04,868744.0464
5714.T,4958,64,4432,-33664,-10.61,2023-09-20,2023-10-03,8,40,36,0.081081081,0.08007261,1.012594458,0.06,835080.0464
9434.T,1564.687378,176,1668.5,18271.02148,6.63,2023-08-08,2023-10-04,40,55,35,0.043654545,0.020579949,2.121217343,0.04,853351.0679
2269.T,3310.220947,82,3644,27369.88232,10.08,2023-07-21,2023-10-17,61,132,72,0.10729142,0.088007195,1.219121011,0.04,880720.9502
