STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL
0960.HK,36.86410140991211,5500,39.92548751831055,16837.623596191406,8.3,2020-11-03 13:12:12.305237,2020-11-05 13:12:12.305237,2,35.618691400874965,28.65030183510827,357.4339092169013
2338.HK,13.8093900680542,14500,15.365887641906738,22569.214820861816,11.27,2020-11-04 13:12:12.305237,2020-11-09 13:12:12.305237,3,30.21273183922482,22.407054321432557,444.3718200856107
3900.HK,11.915144920349121,35800,10.855634689331055,-37930.46627044678,-8.89,2020-11-09 13:12:12.305237,2020-11-10 13:12:12.305237,1,37.51613939719543,33.5467974338374,623.6169213792033
1109.HK,30.419723510742188,6800,33.36217498779297,20008.670043945312,9.67,2020-11-05 13:12:12.305237,2020-11-11 13:12:12.305237,4,24.02985776008573,15.495932401677209,433.24930961244934
0268.HK,23.799999237060547,8600,22.299999237060547,-12900.0,-6.3,2020-11-06 13:12:12.305237,2020-11-11 13:12:12.305237,3,54.67478728920203,35.640913562993155,646.7929249078468
0512.HK,5.782987117767334,34600,5.792299747467041,322.2169876098633,0.16,2020-11-02 13:12:12.305237,2020-11-12 13:12:12.305237,8,4.959711977718465,4.10714663144945,273.00083069059525
0168.HK,62.46636962890625,3300,67.53904724121094,16739.83612060547,8.12,2020-11-11 13:12:12.305237,2020-11-16 13:12:12.305237,3,33.48317632924807,24.33300993653332,424.471830402734
3868.HK,3.5423972606658936,55000,3.9272499084472656,21166.895627975464,10.86,2020-11-10 13:12:12.305237,2020-11-23 13:12:12.305237,9,33.28547812546965,22.720442508750047,726.9423980513195
1882.HK,20.76937484741211,13400,19.72637176513672,-13976.241302490234,-5.02,2020-11-17 13:12:12.305237,2020-11-26 13:12:12.305237,7,83.47583683580164,76.99303746042534,25.89215117154393
0008.HK,3.66107177734375,113500,3.630242109298706,-3499.167323112488,-0.84,2020-11-16 13:12:12.305237,2020-11-30 13:12:12.305237,10,33.869964141888545,31.809818701702028,446.6113831668939
0772.HK,60.79999923706055,2200,57.349998474121094,-7590.001678466797,-5.67,2020-11-18 13:12:12.305237,2020-12-01 13:12:12.305237,9,23.6325819775059,18.534995591787283,635.0334207735605
0941.HK,36.54507827758789,3700,34.66604995727539,-6952.40478515625,-5.14,2020-11-26 13:12:12.305237,2020-12-09 13:12:12.305237,9,12.3110861034903,8.514202500426913,242.67557801441396
6837.HK,5.805422782897949,22200,5.6261372566223145,-3980.138683319092,-3.09,2020-11-27 13:12:12.305237,2020-12-11 13:12:12.305237,10,53.84460932446435,47.71603377445441,452.6935232963114
3998.HK,2.8265419006347656,77300,3.1798598766326904,27311.479544639587,12.5,2020-11-23 13:12:12.305237,2020-12-14 13:12:12.305237,15,24.44441547540573,17.844432098847534,525.6814036155135
3360.HK,6.959650039672852,13000,6.633023738861084,-4246.1419105529785,-4.69,2020-12-01 13:12:12.305237,2020-12-15 13:12:12.305237,10,74.19122564087743,68.49277472589436,424.90033581001916
1919.HK,4.742141819000245,48300,4.490087175369263,-12174.239287376413,-5.32,2020-12-18 13:12:12.305237,2020-12-22 13:12:12.305237,2,58.83824302227039,47.74498715412478,621.7790810272519
3899.HK,4.236073017120361,54000,4.024269104003906,-11437.411308288574,-5.0,2020-12-17 13:12:12.305237,2020-12-24 13:12:12.305237,5,33.71150781699097,20.785922232479567,564.3764445930916
2777.HK,9.1039457321167,8600,8.794411659240723,-2661.9930267333984,-3.4,2020-12-11 13:12:12.305237,2020-12-28 13:12:12.305237,10,20.165196845275577,16.245516738951256,463.89345399667025
0551.HK,14.382874488830566,10400,14.50432300567627,1263.0645751953125,0.84,2020-12-23 13:12:12.305237,2020-12-29 13:12:12.305237,3,50.676544252385256,48.83268988919391,445.8053018735131
9987.HK,448.5661926269531,600,445.57568359375,-1794.305419921875,-0.67,2020-12-16 13:12:12.305237,2020-12-31 13:12:12.305237,10,25.288125543093035,23.46218130371426,638.8779954371983
