stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
9626.HK,254.60000610351562,130,283.20001220703125,3718.0007934570312,2022-02-04 18:34:35.696988,2022-02-10 18:34:35.696988
2269.HK,58.29999923706055,593,64.80000305175781,3854.5022621154785,2022-02-10 18:34:35.696988,2022-02-17 18:34:35.696988
3690.HK,219.39999389648438,157,188.0,-4929.799041748047,2022-02-16 18:34:35.696988,2022-02-18 18:34:35.696988
0388.HK,424.2616882324219,78,385.568115234375,-3018.0986938476562,2022-02-18 18:34:35.696988,2022-02-24 18:34:35.696988
2382.HK,193.64749145507812,188,184.83631896972656,-1656.5004272460938,2022-02-17 18:34:35.696988,2022-02-28 18:34:35.696988
3690.HK,180.5,183,174.1999969482422,-1152.9005584716797,2022-02-21 18:34:35.696988,2022-03-03 18:34:35.696988
9626.HK,238.8000030517578,126,207.39999389648438,-3956.401153564453,2022-02-25 18:34:35.696988,2022-03-04 18:34:35.696988
0388.HK,368.95721435546875,94,332.21783447265625,-3453.501708984375,2022-02-28 18:34:35.696988,2022-03-07 18:34:35.696988
9626.HK,171.3000030517578,174,185.1999969482422,2418.5989379882812,2022-03-08 18:34:35.696988,2022-03-10 18:34:35.696988
9626.HK,185.1999969482422,168,166.1999969482422,-3192.0,2022-03-10 18:34:35.696988,2022-03-11 18:34:35.696988
9626.HK,166.1999969482422,177,127.5999984741211,-6832.199729919434,2022-03-11 18:34:35.696988,2022-03-15 18:34:35.696988
9618.HK,158.13064575195312,165,214.48727416992188,9298.843688964844,2022-03-15 18:34:35.696988,2022-03-16 18:34:35.696988
0388.HK,332.21783447265625,89,378.4905090332031,4118.268035888672,2022-03-07 18:34:35.696988,2022-03-17 18:34:35.696988
9626.HK,208.39999389648438,154,190.10000610351562,-2818.1981201171875,2022-03-17 18:34:35.696988,2022-03-18 18:34:35.696988
2382.HK,136.22645568847656,226,121.6731948852539,-3289.0369415283203,2022-03-21 18:34:35.696988,2022-03-25 18:34:35.696988
0700.HK,365.28204345703125,84,364.6848449707031,-50.1646728515625,2022-03-16 18:34:35.696988,2022-03-28 18:34:35.696988
0316.HK,176.39736938476562,169,191.19873046875,2501.4300231933594,2022-03-29 18:34:35.696988,2022-04-01 18:34:35.696988
2382.HK,121.6731948852539,240,125.53426361083984,926.656494140625,2022-03-25 18:34:35.696988,2022-04-04 18:34:35.696988
0700.HK,364.6848449707031,82,372.64739990234375,652.9295043945312,2022-03-28 18:34:35.696988,2022-04-07 18:34:35.696988
2382.HK,125.53426361083984,249,114.34706115722656,-2785.613410949707,2022-04-04 18:34:35.696988,2022-04-07 18:34:35.696988
0316.HK,166.297607421875,181,177.79043579101562,2080.201934814453,2022-04-07 18:34:35.696988,2022-04-19 18:34:35.696988
9626.HK,210.8000030517578,142,183.5,-3876.6004333496094,2022-04-12 18:34:35.696988,2022-04-19 18:34:35.696988
0388.HK,337.13946533203125,89,319.9263610839844,-1531.9662780761719,2022-04-13 18:34:35.696988,2022-04-25 18:34:35.696988
9626.HK,182.1999969482422,160,159.8000030517578,-3583.9990234375,2022-04-20 18:34:35.696988,2022-04-25 18:34:35.696988
9626.HK,159.8000030517578,174,180.1999969482422,3549.5989379882812,2022-04-25 18:34:35.696988,2022-04-28 18:34:35.696988
