Date,Stock,Gain,Total
2022-01-30,,,100000
2022-01-31,9626.HK,3918.2008361816406,103918.20083618164
2022-02-01,,,103918.20083618164
2022-02-02,,,103918.20083618164
2022-02-03,,,103918.20083618164
2022-02-04,9868.HK,4392.000732421875,108310.20156860352
2022-02-05,,,108310.20156860352
2022-02-06,,,108310.20156860352
2022-02-07,0388.HK,-608.93701171875,107701.26455688477
2022-02-08,,,107701.26455688477
2022-02-09,2269.HK,-2006.3995361328125,105694.86502075195
2022-02-10,2269.HK,4075.5023918151855,109770.36741256714
2022-02-11,,,109770.36741256714
2022-02-12,,,109770.36741256714
2022-02-13,,,109770.36741256714
2022-02-14,2382.HK,-1634.71875,108135.64866256714
2022-02-15,,,108135.64866256714
2022-02-16,,,108135.64866256714
2022-02-17,,,108135.64866256714
2022-02-18,,,108135.64866256714
2022-02-19,,,108135.64866256714
2022-02-20,,,108135.64866256714
2022-02-21,3690.HK,-1858.3993835449216,106277.24927902222
2022-02-22,3690.HK,-1352.0,104925.24927902222
2022-02-23,9626.HK,-3060.2013092041016,101865.04796981812
2022-02-24,9626.HK,3404.0,105269.04796981812
2022-02-25,0388.HK,-2278.427703857422,102990.6202659607
2022-02-26,,,102990.6202659607
2022-02-27,,,102990.6202659607
2022-02-28,,,102990.6202659607
2022-03-01,0700.HK,-2379.6080322265625,100611.01223373413
2022-03-02,0388.HK,-2069.717163085937,98541.2950706482
2022-03-03,,,98541.2950706482
2022-03-04,2382.HK,-2078.5418243408203,96462.75324630737
2022-03-05,,,96462.75324630737
2022-03-06,,,96462.75324630737
2022-03-07,0388.HK,4442.1767578125,100904.93000411987
2022-03-08,9626.HK,-8215.600860595703,92689.32914352417
2022-03-09,1211.HK,-1852.2726440429688,90837.0564994812
2022-03-10,,,90837.0564994812
2022-03-11,,,90837.0564994812
2022-03-12,,,90837.0564994812
2022-03-13,,,90837.0564994812
2022-03-14,9618.HK,-3058.395874023437,87778.66062545776
2022-03-15,9618.HK,9129.773803710938,96908.4344291687
2022-03-16,0700.HK,-48.97027587890625,96859.4641532898
2022-03-17,9961.HK,4974.201141357422,101833.66529464722
2022-03-18,,,101833.66529464722
2022-03-19,,,101833.66529464722
2022-03-20,,,101833.66529464722
2022-03-21,,,101833.66529464722
2022-03-22,,,101833.66529464722
2022-03-23,,,101833.66529464722
2022-03-24,,,101833.66529464722
2022-03-25,,,101833.66529464722
2022-03-26,,,101833.66529464722
2022-03-27,,,101833.66529464722
2022-03-28,2382.HK,-2549.889923095703,99283.77537155151
2022-03-29,0316.HK,-1939.154296875,97344.62107467651
2022-03-30,,,97344.62107467651
2022-03-31,,,97344.62107467651
2022-04-01,,,97344.62107467651
2022-04-02,,,97344.62107467651
2022-04-03,,,97344.62107467651
2022-04-04,,,97344.62107467651
2022-04-05,,,97344.62107467651
2022-04-06,,,97344.62107467651
2022-04-07,0316.HK,2241.101531982422,99585.72260665894
2022-04-08,0388.HK,-2220.6876220703125,97365.03498458862
2022-04-09,,,97365.03498458862
2022-04-10,,,97365.03498458862
2022-04-11,,,97365.03498458862
2022-04-12,9626.HK,-4204.200469970703,93160.83451461792
2022-04-13,,,93160.83451461792
2022-04-14,,,93160.83451461792
2022-04-15,,,93160.83451461792
2022-04-16,,,93160.83451461792
2022-04-17,,,93160.83451461792
2022-04-18,,,93160.83451461792
2022-04-19,0388.HK,632.3341674804688,93793.16868209839
2022-04-20,9626.HK,-2103.300521850586,91689.8681602478
2022-04-21,0700.HK,-1845.321350097656,89844.54681015015
2022-04-22,9626.HK,-1727.0984344482422,88117.4483757019
2022-04-23,,,88117.4483757019
2022-04-24,,,88117.4483757019
2022-04-25,9626.HK,3610.7989196777344,91728.24729537964
2022-04-26,0700.HK,3519.4482421875,95247.69553756714
2022-04-27,,,95247.69553756714
2022-04-28,9626.HK,4141.801620483398,99389.49715805054
2022-04-29,0700.HK,-2469.980712890625,96919.51644515991
2022-04-30,,,96919.51644515991
2022-05-01,,,96919.51644515991
2022-05-02,,,96919.51644515991
2022-05-03,,,96919.51644515991
2022-05-04,,,96919.51644515991
2022-05-05,,,96919.51644515991
2022-05-06,,,96919.51644515991
2022-05-07,,,96919.51644515991
2022-05-08,,,96919.51644515991
2022-05-09,,,96919.51644515991
2022-05-10,9626.HK,4201.599365234375,101121.11581039429
2022-05-11,9618.HK,-2500.0071716308594,98621.10863876343
