STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL,22700000,,
8595.T,846.7424927,5300,938.0355835,483853.3813,10.78,2008-09-03,2008-09-19,11,17.53081373,14.08029162,393.8648744,21220441.39,-6.517879327,
9613.T,711.0248413,6300,663.7283936,-297967.6208,-6.65,2008-08-29,2008-09-22,15,24.02442476,19.73813745,684.8955282,20922473.77,-7.830512018,
8282.T,282.8525085,4700,261.5886841,-99939.97498,-7.52,2008-09-12,2008-09-22,5,24.45022086,11.26165236,611.7458771,20822533.8,-8.270776225,
2371.T,319.000946,5500,323.1437988,22785.69031,1.3,2008-09-17,2008-09-26,7,43.06438129,33.31350277,662.1769464,20845319.49,-8.170398735,
3880.T,772.3739014,3600,778.503479,22066.47949,0.79,2008-09-22,2008-09-29,5,34.01645384,27.92478567,532.8328416,20867385.97,-8.073189574,
7956.T,381.1741333,18600,345.4768982,-663968.573,-9.37,2008-10-01,2008-10-08,4,68.20275386,50.97594748,619.2319586,20203417.39,-10.99816126,
4507.T,1587.873779,4300,1453.949463,-575874.5605,-8.43,2008-09-19,2008-10-09,12,3.473923129,1.823461219,539.7546154,19627542.83,-13.5350536,
4502.T,2850.099121,1200,2500.274414,-419789.6484,-12.27,2008-09-24,2008-10-09,9,13.71450213,5.092384489,695.0829392,19207753.18,-15.3843472,
9107.T,1007.503174,1300,886.5148926,-157284.7656,-12.01,2008-10-09,2008-10-16,5,2.562742483,1.739857884,131.4629135,19050468.42,-16.07723163,
8194.T,1447.574707,1100,1310.859619,-150386.5967,-9.44,2008-10-17,2008-10-24,5,58.59982428,34.1876073,641.7235334,18900081.82,-16.73972765,
4704.T,1584.085815,1200,1367.796997,-259546.582,-13.65,2008-10-20,2008-10-24,4,5.979773567,4.688195985,593.3110184,18640535.24,-17.88310467,
9432.T,1.62E-05,1.4498E+11,1.49E-05,-185498.7762,-7.92,2008-10-21,2008-10-24,3,52.57990199,47.28890761,513.6114181,18455036.46,-18.70027989,
2412.T,70.51089478,21200,64.39995575,-129551.9073,-8.67,2008-10-15,2008-10-27,8,7.566206473,4.878661177,598.0663049,18325484.56,-19.27099314,
2281.T,633.6504517,2000,710.9249878,154549.0723,12.2,2008-10-29,2008-11-04,4,92.5462132,88.50567035,60.98669511,18480033.63,-18.59016022,
8308.T,609.0009766,2400,756.3790894,353707.4707,24.2,2008-10-30,2008-11-05,4,15.4555612,7.918465893,561.0864812,18833741.1,-17.03197753,-43.99881958
3038.T,26.88941193,178800,27.09808731,37311.15875,0.78,2008-11-10,2008-11-14,4,35.90067191,33.95131312,286.5681044,18871052.26,-16.8676112,
6845.T,685.614624,10500,692.409729,71348.60229,0.99,2008-11-14,2008-11-19,3,89.29164594,84.40859188,97.89176243,18942400.86,-16.55330017,
8194.T,1443.553711,3000,1405.755981,-113393.1885,-2.62,2008-11-04,2008-11-26,16,61.35672418,43.97983716,376.4181225,18829007.67,-17.05282964,
2371.T,332.4651794,21900,334.5366821,45365.90881,0.62,2008-11-05,2008-11-27,16,55.2933499,48.39137705,292.0174804,18874373.58,-16.85297982,
3088.T,160.2094574,100,161.4558563,124.6398926,0.78,2008-11-25,2008-12-01,4,68.27720999,61.88226072,210.7918549,18874498.22,-16.85243074,
7564.T,300.6246338,100,289.8881226,-1073.651123,-3.57,2008-11-17,2008-12-09,16,43.68447264,34.07740113,13.61791779,18873424.57,-16.85716048,
2175.T,244.4486389,100,225.2875671,-1916.107178,-7.84,2008-12-03,2008-12-12,7,56.00945551,47.63063286,505.4824737,18871508.46,-16.86560149,
1959.T,533.673584,13600,532.9292603,-10122.80273,-0.14,2008-11-21,2008-12-18,19,78.16171624,76.29404991,325.967634,18861385.66,-16.91019533,
9433.T,663.3171387,8800,670.9414673,67094.0918,1.15,2008-11-27,2008-12-18,15,69.45923964,66.77392094,383.9139277,18928479.75,-16.61462664,
7729.T,624.5082397,9100,605.8551025,-169743.5486,-2.99,2008-11-28,2008-12-19,15,26.27123661,17.15889535,411.0078932,18758736.2,-17.36239558,
3092.T,89.07576752,300,90.01013947,280.3115845,1.05,2008-12-17,2008-12-29,6,56.29537111,46.01494995,96.12406891,18759016.51,-17.36116073,
1719.T,59.96447754,800,57.82287979,-1713.278198,-3.57,2008-12-09,2009-01-07,18,56.32340251,40.1556482,574.5360033,18757303.24,-17.36870821,
4507.T,1769.020874,3600,1474.805054,-1059176.953,-16.63,2008-12-22,2009-01-07,9,58.02461773,31.98707556,563.4639625,17698126.28,-22.03468598,
9759.T,215.984314,19100,199.6777649,-311455.0873,-7.55,2008-12-30,2009-01-08,6,5.634879079,4.003571529,661.710628,17386671.2,-23.40673482,
1721.T,573.2414551,7200,512.0488281,-440586.9141,-10.67,2009-01-05,2009-01-15,8,23.82460253,13.28886131,629.7506925,16946084.28,-25.34764633,
8697.T,312.2249451,6800,281.6573792,-207859.4482,-9.79,2009-01-07,2009-01-15,6,36.47066184,23.47600851,450.0530027,16738224.83,-26.26332672,
3349.T,650.0464478,2000,731.9927979,163892.7002,12.61,2009-01-14,2009-01-19,3,79.32127769,66.83599565,220.8550903,16902117.53,-25.54133245,
9302.T,1503.053711,2600,1387.171997,-301292.4561,-7.71,2009-01-22,2009-01-23,1,29.47028769,25.32144202,617.231535,16600825.08,-26.86861199,
8601.T,299.5293579,12700,267.0502625,-412484.5123,-10.84,2009-01-28,2009-02-03,4,20.18869023,12.74409257,659.8656186,16188340.57,-28.68572438,
2371.T,354.215271,3700,341.7867126,-45985.66589,-3.51,2009-01-16,2009-02-06,12,28.89739969,17.12367257,734.8509016,16142354.9,-28.88830441,
8279.T,1258.962036,3100,1128.080078,-405734.0698,-10.4,2009-01-27,2009-02-12,11,43.3702111,30.90374138,610.1372937,15736620.83,-30.67567916,
4205.T,238.443512,15900,220.2838135,-288739.2059,-7.62,2009-01-29,2009-02-13,11,24.10959384,14.6310392,654.7429076,15447881.62,-31.94765804,
6506.T,326.0218811,3100,297.4530334,-88563.42773,-8.76,2009-02-06,2009-02-16,6,27.56122843,13.8982042,419.6105534,15359318.2,-32.3378053,
7988.T,286.595459,8400,332.538269,385919.6045,16.03,2009-02-04,2009-02-19,11,3.140493957,0.727272298,276.7528896,15745237.8,-30.63771894,
1414.T,777.4454956,1800,797.1278076,35428.16162,2.53,2009-02-13,2009-02-20,5,88.38221118,82.10436273,146.3006029,15780665.96,-30.48164774,
4694.T,759.2349243,5800,768.6958008,54873.0835,1.25,2009-02-19,2009-02-23,2,34.42473175,29.58751807,478.0623421,15835539.05,-30.2399161,
1942.T,443.1071167,2900,445.2511292,6217.636108,0.48,2009-02-16,2009-02-27,9,18.5246156,8.219165287,752.6031917,15841756.68,-30.21252563,
3038.T,44.71632385,82100,45.16347885,36711.4254,1,2009-02-27,2009-03-04,3,22.52131639,19.85608606,613.2631592,15878468.11,-30.05080129,
7947.T,875.069519,12500,911.9350586,460819.2444,4.21,2009-02-25,2009-03-10,9,78.30944566,69.20667057,339.8516423,16339287.35,-28.02076056,
8053.T,447.300415,8300,404.5436401,-354881.2317,-9.56,2009-03-04,2009-03-12,6,29.32213318,27.88688953,610.1936856,15984406.12,-29.58411401,
3769.T,89.74407196,13400,80.42146301,-124922.9599,-10.39,2009-03-05,2009-03-12,5,4.72425451,1.695308047,618.9479761,15859483.16,-30.13443542,
5713.T,1231.398193,700,1392.848145,113014.9658,13.11,2009-03-16,2009-03-23,5,13.68852436,7.757087417,517.7162246,15972498.13,-29.63657213,
4849.T,249.0776672,3000,251.4611969,7150.588989,0.96,2009-03-13,2009-03-26,9,8.567690109,5.617350887,589.1108145,15979648.72,-29.60507174,
2201.T,726.9485474,15700,774.3319092,743918.7805,6.52,2009-03-11,2009-03-27,12,29.99998908,22.57142235,631.7651252,16723567.5,-26.3278965,
8308.T,950.041748,1600,869.8838501,-128252.6367,-8.44,2009-03-23,2009-03-27,4,35.02921336,20.91985183,515.5317198,16595314.86,-26.89288608,
6201.T,1599.588257,600,1647.233398,28587.08496,2.98,2009-03-17,2009-04-01,11,52.53145459,35.41210254,600.4363321,16623901.94,-26.76695179,
1959.T,452.5433044,2800,491.2761841,108452.063,8.56,2009-03-18,2009-04-02,11,14.80930085,9.311071711,385.6344932,16732354.01,-26.2891894,
7701.T,556.0413818,1400,560.3251343,5997.253418,0.77,2009-03-26,2009-04-02,5,68.29256439,58.06271439,327.9367772,16738351.26,-26.26276978,
7947.T,827.0719604,8300,742.7967529,-699484.2224,-10.19,2009-03-27,2009-04-03,5,38.19267788,24.6395343,584.9184421,16038867.04,-29.34419807,
9715.T,356.2651978,6100,423.2430115,408564.6637,18.8,2009-04-10,2009-04-14,1,22.93334415,18.773334,444.1290895,16447431.7,-27.54435374,
9602.T,1227.832031,1700,1232.22644,7470.495605,0.36,2009-04-13,2009-04-14,1,51.36263237,51.07259103,296.0699921,16454902.2,-27.51144407,
6856.T,1427.056152,5200,1299.306519,-664298.0957,-8.95,2009-04-02,2009-04-15,7,62.36882145,51.64965672,415.5421084,15790604.1,-30.43786739,
4732.T,312.8728027,6900,316.9805908,28343.73779,1.31,2009-04-09,2009-04-17,4,55.49617167,51.12532088,522.3482018,15818947.84,-30.31300511,
6981.T,194.5161743,11100,198.1087799,39877.92206,1.85,2009-04-07,2009-05-01,15,53.03481657,52.28570085,564.2528981,15858825.76,-30.13733145,
6005.T,590.8766479,5600,592.2539063,7712.646484,0.23,2009-04-27,2009-05-08,8,23.75719244,13.64660548,620.4491967,15866538.41,-30.10335503,
2784.T,653.1563721,5200,727.3788452,385956.8604,11.36,2009-04-20,2009-05-15,18,12.51475986,9.994296657,542.834924,16252495.27,-28.40310455,
3436.T,1182.835449,2900,1193.331543,30438.67188,0.89,2009-04-23,2009-05-15,15,47.79172948,39.88856395,672.305358,16282933.94,-28.26901348,
5947.T,1115.751872,3100,1241.117106,388632.2266,11.24,2009-04-17,2009-05-18,20,34.47086882,24.54849404,616.7100626,16671566.17,-26.55697724,
4543.T,824.4620361,2700,835.3676758,29445.22705,1.32,2009-05-01,2009-05-21,14,41.6960551,23.46379778,729.1802357,16701011.39,-26.42726258,
4021.T,648.8186646,5100,730.0140991,414096.7163,12.51,2009-05-08,2009-05-26,12,31.84265668,20.1532837,631.9783276,17115108.11,-24.60304797,
4967.T,1349.120361,5300,1420.569092,378678.2715,5.3,2009-05-15,2009-05-28,8,36.29643495,25.59909816,182.8276477,17493786.38,-22.93486176,
2670.T,285.9946289,7800,329.9380188,342758.4412,15.37,2009-05-25,2009-06-03,6,12.92444793,5.40153332,506.0862078,17836544.82,-21.42491268,
4848.T,52.02384949,72100,53.70451355,121175.8789,3.23,2009-05-26,2009-06-04,6,47.31012732,40.24109947,593.716602,17957720.7,-20.89109823,
2175.T,319.9315186,12400,301.3511353,-230396.7529,-5.81,2009-05-19,2009-06-09,14,52.15774133,47.17150504,358.1691148,17727323.95,-21.9060619,
2412.T,63.92987442,100,64.68199158,75.2117157,1.18,2009-05-29,2009-06-09,7,88.52267789,84.21938202,194.4450563,17727399.16,-21.90573057,
7729.T,1017.717102,3900,1023.68634,23280.0293,0.59,2009-06-05,2009-06-12,5,69.00010949,56.02890038,521.5044666,17750679.19,-21.80317538,
7267.T,271.4187012,27700,272.3933105,26996.67969,0.36,2009-05-28,2009-06-15,12,26.00005063,20.40008148,434.3782374,17777675.87,-21.68424727,
2811.T,1317.858765,4400,1323.940063,26757.71484,0.46,2009-06-12,2009-06-19,5,68.7992505,50.34097404,448.2516163,17804433.58,-21.56637188,
6645.T,1237.983643,2000,1142.881104,-190205.0781,-7.68,2009-06-03,2009-06-22,13,39.37499279,34.76895361,588.4139804,17614228.51,-22.40427971,
2802.T,597.1004028,3200,613.2163086,51570.89844,2.7,2009-06-10,2009-06-22,8,27.05916881,20.05902563,428.0759253,17665799.4,-22.17709513,
3064.T,15.20055103,8400,18.02856255,23755.29671,18.6,2009-06-17,2009-06-22,3,11.90942698,2.405865088,457.9610865,17689554.7,-22.07244625,
3382.T,1772.817627,4200,1636.162842,-573950.0977,-7.71,2009-06-15,2009-06-29,10,41.26100038,25.20148877,589.8042028,17115604.6,-24.60086078,
9697.T,338.530426,9800,310.7376709,-272369.0002,-8.21,2009-06-25,2009-07-13,11,14.96295293,10.66688944,691.5005604,16843235.6,-25.80072422,
6845.T,703.0237427,2300,685.1749268,-41052.27661,-2.54,2009-06-26,2009-07-17,14,33.36694953,24.32178863,727.6090756,16802183.33,-25.98157125,
2897.T,2393.144775,1500,2376.752686,-24588.13477,-0.68,2009-06-30,2009-07-22,15,36.41024773,27.98136009,615.8305639,16777595.19,-26.08988902,
2412.T,73.70738983,37900,83.39087677,367004.155,13.14,2009-07-15,2009-07-24,7,64.4578325,62.14456011,388.9421035,17144599.35,-24.47313063,
8595.T,633.5766602,1600,736.8259277,165198.8281,16.3,2009-07-17,2009-07-29,8,12.5240844,7.185055595,744.6123263,17309798.17,-23.74538249,
2875.T,1648.421631,3200,1863.953735,689702.7344,13.08,2009-06-22,2009-07-30,27,28.62148253,20.43128828,595.5821809,17999500.91,-20.70704445,
7516.T,674.8033447,3200,676.2897949,4756.640625,0.22,2009-07-14,2009-07-30,12,13.308157,11.70602297,628.4593868,18004257.55,-20.68609009,
2146.T,138.6047363,58800,158.8483276,1190323.169,14.61,2009-07-31,2009-08-04,2,59.20751826,54.7016449,594.3832132,19194580.72,-15.44237569,
4348.T,97.60877991,70100,101.6758041,285098.3986,4.17,2009-07-24,2009-08-06,9,29.31030133,25.06890336,693.1326764,19479679.12,-14.18643561,
2317.T,19.81992531,92900,20.13595772,29359.41086,1.59,2009-07-22,2009-08-10,13,37.12233073,26.92867753,583.9268194,19509038.53,-14.05709899,
4536.T,432.6993103,16500,434.1760559,24366.30249,0.34,2009-08-06,2009-08-12,4,64.25523512,59.65950101,180.854292,19533404.83,-13.94975845,
3391.T,1239.74707,7500,1251.783569,90273.74268,0.97,2009-08-04,2009-08-17,9,35.24993992,27.28177684,338.7062045,19623678.57,-13.55207677,
4704.T,2177.002441,800,2242.378174,52300.58594,3,2009-08-10,2009-08-17,5,73.97593395,65.20486231,352.2565459,19675979.16,-13.32167771,
1414.T,719.2332153,1600,789.2105713,111963.7695,9.73,2009-07-29,2009-08-18,14,21.70974404,13.15334307,461.7604067,19787942.93,-12.82844525,
4021.T,963.1715698,100,966.1514282,297.9858398,0.31,2009-08-11,2009-08-21,8,74.05002574,71.66187148,263.0305743,19788240.91,-12.82713253,
7956.T,435.2966919,16600,451.3729248,266865.4663,3.69,2009-08-13,2009-09-04,16,49.30325371,42.12674483,430.8323862,20055106.38,-11.65151374,
9989.T,903.8406372,10500,905.8138428,20718.65845,0.22,2009-08-24,2009-09-04,9,67.06631622,43.97986362,456.9646578,20075825.04,-11.56024212,
7282.T,2018.682983,1500,1803.92981,-322129.7607,-10.64,2009-08-26,2009-09-14,13,20.87996552,14.35624908,654.0185835,19753695.28,-12.97931595,
4751.T,97.77487183,300,115.3105698,5260.709381,17.93,2009-09-08,2009-09-15,5,33.67083485,26.68638075,455.6355009,19758955.99,-12.95614102,
6465.T,509.8077698,33300,519.7960815,332610.7819,1.96,2009-09-07,2009-09-18,9,36.6792575,27.53456124,697.9064666,20091566.77,-11.49089529,
2782.T,184.9984436,100,204.0790558,1908.061218,10.31,2009-08-28,2009-09-24,19,66.54771451,59.15959842,361.7242296,20093474.83,-11.48248973,
3402.T,419.5534363,2200,426.1383972,14486.91406,1.57,2009-09-17,2009-09-30,9,24.53271856,17.38142186,620.0979367,20107961.75,-11.41867073,
4206.T,688.6320801,20900,621.2580566,-1408117.09,-9.78,2009-09-24,2009-10-08,9,32.72158474,19.84295101,608.3752619,18699844.66,-17.62182971,
4208.T,1516.413574,600,1542.115356,15421.06934,1.69,2009-09-30,2009-10-19,12,7.676453373,5.803907429,556.8755943,18715265.72,-17.55389549,
5714.T,2217.648682,2000,2225.295898,15294.43359,0.34,2009-10-09,2009-10-22,9,38.72001182,22.82977899,569.7241803,18730560.16,-17.48651913,
4912.T,377.4352417,12600,376.6200256,-10271.72241,-0.22,2009-09-29,2009-10-23,17,40.64507061,32.67616433,553.9490777,18720288.44,-17.531769,
5344.T,2024.87561,2000,1860.576538,-328598.1445,-8.11,2009-10-13,2009-10-26,8,44.71910319,34.18955159,538.2383899,18391690.29,-18.97933792,
7202.T,268.1154785,16200,277.8399658,157536.6943,3.63,2009-10-08,2009-10-28,13,28.9632538,13.06633248,678.6622968,18549226.99,-18.28534368,-1.510661703
4922.T,1728.169189,600,1607.364868,-72482.59277,-6.99,2009-10-19,2009-11-10,15,11.8151813,9.438048423,491.4526191,18476744.39,-18.60465025,
2264.T,1717.578125,1700,1681.460938,-61399.21875,-2.1,2009-10-26,2009-11-17,16,34.34779897,25.39126726,532.9270166,18415345.17,-18.87513139,
7947.T,891.5142822,5500,824.1555786,-370472.8699,-7.56,2009-10-30,2009-11-19,14,26.22218636,16.92774623,532.5785356,18044872.3,-20.50717047,
5713.T,2097.260742,1700,1893.856445,-345787.3047,-9.7,2009-11-10,2009-11-27,13,44.46592211,37.98496029,525.4702912,17699085,-22.03046256,
5423.T,843.9419556,1500,847.2164917,4911.804199,0.39,2009-11-20,2009-12-11,15,7.426221029,7.325947903,563.3369215,17703996.8,-22.00882465,
8698.T,228.3636322,7300,247.0642853,136514.7675,8.19,2009-11-30,2009-12-11,9,13.34183548,9.77797683,580.7025067,17840511.57,-21.40743801,
2784.T,707.9185181,2100,713.5518799,11830.05981,0.8,2009-11-25,2009-12-16,15,33.04342152,19.92588961,568.3143116,17852341.63,-21.35532321,
3092.T,158.8414154,65300,163.5132141,305068.4555,2.94,2009-12-11,2009-12-21,6,73.53417015,66.25451372,43.29062906,18157410.09,-20.01140931,
2503.T,995.9504395,2300,992.4777832,-7987.109375,-0.35,2009-12-01,2009-12-22,15,24.66758278,13.8655829,671.762207,18149422.98,-20.04659481,
6479.T,390.8134155,3800,409.6182861,71458.5083,4.81,2009-12-16,2009-12-24,6,85.01716513,81.160001,199.6870683,18220881.49,-19.73179962,
8697.T,334.490448,11000,331.5171204,-32706.604,-0.89,2009-12-03,2009-12-25,15,44.89794526,30.94710697,502.848662,18188174.88,-19.87588158,
2371.T,351.5071411,12400,359.8268738,103164.6851,2.37,2009-12-22,2010-01-06,9,59.7510057,52.62586122,400.9695557,18291339.57,-19.4214116,
9433.T,538.6638184,6300,554.1172485,97356.61011,2.87,2009-12-24,2010-01-07,8,58.97449441,49.74803399,386.7529855,18388696.18,-18.99252786,
3941.T,410.102417,8500,418.1869812,68718.79578,1.97,2009-12-28,2010-01-18,14,30.46473564,23.78193733,490.8233936,18457414.97,-18.68980188,
9532.T,1212.769409,3600,1216.501099,13434.08203,0.31,2010-01-06,2010-01-18,8,55.3593238,46.16274453,548.3047212,18470849.05,-18.63062091,
2670.T,378.4568787,9100,391.3135071,116995.3186,3.4,2010-01-04,2010-01-21,13,33.97553666,28.34290833,402.892742,18587844.37,-18.11522303,
6323.T,227.5258179,50500,203.434845,-1216594.131,-10.59,2010-01-21,2010-01-26,3,56.6416954,49.69993822,395.0107292,17371250.24,-23.47466854,
8766.T,611.1356812,5900,563.137146,-283191.3574,-7.85,2010-01-08,2010-01-27,13,62.44587162,39.79730087,582.5282571,17088058.88,-24.72220756,
2181.T,3.516555309,986400,3.6189785,101030.2357,2.91,2009-12-29,2010-01-29,22,15.5148453,11.06124501,408.390498,17189089.12,-24.27714044,
6952.T,487.2903748,7600,440.7473755,-353726.7944,-9.55,2010-02-04,2010-02-08,2,23.20512629,13.93495456,664.9876411,16835362.33,-25.83540826,
5101.T,503.1499634,7400,509.8945313,49909.80225,1.34,2010-02-02,2010-02-15,8,15.3399795,8.834793927,686.0063981,16885272.13,-25.61554129,
6367.T,2946.997314,800,2883.117676,-51103.71094,-2.17,2010-01-28,2010-02-25,18,17.88025939,17.27120184,584.2742112,16834168.42,-25.84066777,
4063.T,913.7962891,4100,890.5564453,-95283.35937,-2.54,2010-02-03,2010-02-25,14,13.45105737,6.218567328,619.6660349,16738885.06,-26.26041825,
7177.T,243.5299835,14400,233.0928802,-150294.2871,-4.29,2010-02-12,2010-03-05,13,24.28576001,21.20706564,573.5016062,16588590.77,-26.92250762,
8591.T,469.3983154,7500,468.7344055,-4979.324341,-0.14,2010-02-18,2010-03-11,15,39.67837309,23.76641583,592.1882997,16583611.45,-26.94444297,
9107.T,723.9474487,5100,810.4569092,441198.2483,11.95,2010-02-17,2010-03-15,18,25.91967088,16.23330465,708.6979823,17024809.69,-25.00083835,
4689.T,271.026825,7400,282.8460388,87462.18262,4.36,2010-02-26,2010-03-15,11,44.59468641,34.68877382,545.167508,17112271.88,-24.61554239,
8697.T,360.5063477,7400,359.0196533,-11001.53809,-0.41,2010-03-01,2010-03-23,16,31.74315397,23.82220953,620.9159458,17101270.34,-24.66400732,
7013.T,1302.096802,8100,1326.061768,194116.2231,1.84,2010-03-17,2010-03-26,7,82.28061922,74.56639587,283.1819117,17295386.56,-23.80886977,
5019.T,1104.585693,2000,1208.94104,208710.6934,9.45,2010-03-11,2010-03-29,12,61.37003491,56.64879954,473.4807383,17504097.26,-22.8894394,
9715.T,501.6213074,3200,549.1287231,152023.7305,9.47,2010-03-05,2010-04-02,19,6.162504841,3.796939185,489.9386605,17656120.99,-22.21973134,
4686.T,217.778717,200,342.1546631,24875.18921,57.11,2010-03-19,2010-04-02,9,36.2347867,24.19386762,324.9512899,17680996.17,-22.11014901,
4552.T,323.0426331,7500,296.1037598,-202041.5497,-8.34,2010-03-29,2010-04-02,3,47.27359343,37.73546635,649.109503,17478954.63,-23.00019989,
7701.T,629.5413208,17100,654.2037354,421727.2888,3.92,2010-03-26,2010-04-06,4,79.18979288,69.45305268,432.5694975,17900681.91,-21.14237042,
2811.T,1388.225708,1000,1389.102661,876.953125,0.06,2010-04-02,2010-04-06,0,37.70997499,33.07782827,548.2556654,17901558.87,-21.13850719,
4921.T,689.3702393,3800,690.8041992,5449.047852,0.21,2010-03-24,2010-04-07,7,53.48846445,47.46343966,478.4200352,17907007.92,-21.11450258,
2670.T,458.8468323,3000,501.7931824,128839.0503,9.36,2010-04-05,2010-04-19,9,68.57145767,52.89708634,344.9559658,18035846.97,-20.54692967,
2267.T,1059.137695,11800,1025.660156,-395034.9609,-3.16,2010-04-07,2010-04-28,15,14.15114882,8.903996209,394.0592436,17640812,-22.28717179,
8876.T,133.3052673,200,135.0681152,352.5695801,1.32,2010-04-21,2010-04-30,7,78.39705937,74.85631982,79.76804183,17641164.57,-22.28561862,
4523.T,2295.768799,1700,2138.851563,-266759.3018,-6.84,2010-04-09,2010-05-06,19,14.4927564,11.36401812,524.8673382,17374405.27,-23.46076973,
8411.T,1106.933716,100,1013.718201,-9321.551514,-8.42,2010-04-12,2010-05-06,18,69.32268787,61.9120005,395.9077987,17365083.72,-23.50183383,
1414.T,736.5577393,2000,757.7088623,42302.24609,2.87,2010-04-20,2010-05-06,12,38.63010194,28.15953599,398.7933183,17407385.97,-23.31548032,
4182.T,786.6412354,7800,716.2576294,-548992.1265,-8.95,2010-04-30,2010-05-18,12,41.71428459,30.24333763,664.0496639,16858393.84,-25.73394784,
6762.T,1593.72168,1800,1423.620117,-306182.8125,-10.67,2010-05-10,2010-05-21,8,22.71364033,19.62095843,687.9631077,16552211.03,-27.0827708,
6383.T,209.9471029,13400,191.5306803,-246780.0618,-8.77,2010-05-13,2010-05-21,5,18.66676497,12.10423594,683.8577784,16305430.97,-28.16990764,
8273.T,930.0982666,1200,941.0773926,13174.95117,1.18,2010-05-27,2010-06-09,9,14.80371733,12.70673225,702.2504419,16318605.92,-28.11186821,
6501.T,1457.645996,900,1339.458496,-106368.75,-8.11,2010-05-28,2010-06-09,8,18.71575152,15.33152122,651.0661691,16212237.17,-28.58045301,
3774.T,257.0629883,8000,271.583313,116162.5977,5.65,2010-06-03,2010-06-17,9,38.4049257,22.98337081,614.3704107,16328399.76,-28.0687235,
9682.T,398.2347107,3900,399.6802063,5637.432861,0.36,2010-05-31,2010-06-21,14,34.80474829,24.37633334,718.794391,16334037.2,-28.043889,
4553.T,1490.467651,2900,1561.317017,205463.1592,4.75,2010-06-11,2010-06-28,10,70.26308867,65.7893485,29.2572752,16539500.36,-27.13876495,
4612.T,103.1776276,39400,95.25414276,-312185.3012,-7.68,2010-06-14,2010-06-28,9,65.58615048,54.64770708,62.95069556,16227315.06,-28.51403059,
8876.T,122.3923874,34300,113.6620331,-299451.1528,-7.13,2010-06-10,2010-07-01,13,27.36221871,24.08661629,14.71113196,15927863.9,-29.83319867,
6727.T,258.2470093,11500,265.1746521,79667.89246,2.68,2010-07-08,2010-07-14,4,26.56564255,20.43284498,550.8474659,16007531.8,-29.48223879,
8766.T,535.3672485,4000,544.0168457,34598.38867,1.62,2010-07-02,2010-07-16,10,13.79590372,10.26748939,36.89112289,16042130.18,-29.32982298,
4527.T,473.9768066,4900,467.4541931,-31960.80627,-1.38,2010-07-05,2010-07-27,16,70.4647948,61.97613374,359.7268654,16010169.38,-29.47061948,
8194.T,1126.38269,2300,1120.644043,-13198.88916,-0.51,2010-07-06,2010-07-28,16,12.9787113,8.794118494,434.7756702,15996970.49,-29.52876437,
3391.T,1360.41626,4800,1364.501343,19608.39844,0.3,2010-07-23,2010-08-02,6,73.69864502,66.32791436,410.0777353,16016578.89,-29.44238376,
5019.T,1133.276855,4000,1143.365723,40355.46875,0.89,2010-07-14,2010-08-04,15,32.42098697,29.15194853,520.403341,16056934.36,-29.26460636,
4516.T,877.534668,1900,907.1526489,56274.16382,3.38,2010-07-28,2010-08-10,9,44.4280116,35.89301056,616.4187869,16113208.52,-29.01670256,
3254.T,166.8093567,56600,167.1061707,16799.67041,0.18,2010-08-05,2010-08-11,4,30.66675212,29.30252093,17.42593003,16130008.19,-28.9426952,
9697.T,265.0882874,100,244.4244537,-2066.383362,-7.8,2010-07-26,2010-08-12,13,7.121028382,4.412371769,410.1114035,16127941.81,-28.95179821,
3141.T,191.5105133,25600,194.0666504,65437.10938,1.33,2010-08-03,2010-08-16,9,67.25658822,58.2070398,382.116211,16193378.92,-28.663529,
3092.T,226.4092865,14500,208.7107697,-256628.4943,-7.82,2010-08-19,2010-08-24,3,19.71711476,17.9950339,509.6513021,15936750.42,-29.79405101,
7747.T,80.5279541,34900,82.81243134,79728.25546,2.84,2010-08-13,2010-08-27,10,30.71192606,15.05661394,366.6071658,16016478.68,-29.44282521,
9735.T,2980.648193,1200,2861.72876,-142703.3203,-3.99,2010-08-18,2010-09-08,15,21.56327189,15.88311005,557.8893003,15873775.36,-30.0714742,
2317.T,28.58345413,105800,28.85917854,29171.64268,0.96,2010-09-01,2010-09-10,7,48.42205214,35.49232926,635.1182949,15902947,-29.94296476,
3088.T,145.1073761,22000,135.3855286,-213880.6458,-6.7,2010-08-26,2010-09-21,18,6.104329438,3.26848864,460.7334854,15689066.35,-30.88517025,
4182.T,643.1137085,4800,701.0767212,278222.4609,9.01,2010-08-30,2010-09-22,17,27.33900102,22.36051985,522.4949211,15967288.81,-29.65952064,
6849.T,725.1187744,4300,716.0649414,-38931.48193,-1.25,2010-08-27,2010-09-24,19,60.35632346,50.56864094,295.0049473,15928357.33,-29.83102497,
8570.T,662.3536377,5100,688.0205688,130901.3489,3.88,2010-09-09,2010-09-27,11,54.85714816,50.09003664,437.9497948,16059258.68,-29.25436704,
3141.T,188.956604,16400,190.444458,24400.80566,0.79,2010-09-10,2010-09-28,11,45.54470154,40.40889268,395.1417973,16083659.49,-29.1468745,
4521.T,1198.630981,2800,1210.751709,33938.03711,1.01,2010-09-27,2010-10-05,5,19.4593849,14.45730416,356.9462013,16117597.52,-28.99736773,
