stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
9618.HK,267.6207275390625,186,240.66331481933594,-5014.078765869141,2022-01-01,2022-01-06
3690.HK,202.1999969482422,222,227.0,5505.600677490234,2022-01-07,2022-01-13
2382.HK,215.42788696289062,234,196.02352905273438,-4540.6197509765625,2022-01-14,2022-01-29
1211.HK,219.71408081054688,209,233.50869750976562,2883.0748901367188,2022-01-30,2022-02-14
2269.HK,56.0,872,64.80000305175781,7673.6026611328125,2022-02-15,2022-02-18
0388.HK,424.2616882324219,133,385.568115234375,-5146.245208740234,2022-02-19,2022-02-25
0388.HK,381.0733642578125,134,347.6561584472656,-4477.905578613281,2022-02-26,2022-03-05
0388.HK,347.6561584472656,134,318.9371032714844,-3848.3533935546875,2022-03-06,2022-03-16
0700.HK,365.28204345703125,117,372.4483337402344,838.4559631347656,2022-03-17,2022-04-01
0316.HK,191.19873046875,229,173.35003662109375,-4087.3508911132812,2022-04-02,2022-04-07
0316.HK,166.29762268066406,239,177.61630249023438,2705.1644744873047,2022-04-08,2022-04-23
0388.HK,331.9953308105469,127,324.0812683105469,-1005.0859375,2022-04-24,2022-05-09
0669.HK,92.76596069335938,447,105.51457214355469,5698.629318237305,2022-05-10,2022-05-19
0700.HK,352.20001220703125,133,359.0,904.3983764648438,2022-05-21,2022-06-05
0316.HK,213.93125915527344,224,196.66407775878906,-3867.8486328125,2022-06-11,2022-06-24
0316.HK,197.20936584472656,224,202.8439178466797,1262.1396484375,2022-06-25,2022-07-10
0700.HK,352.6000061035156,128,326.3999938964844,-3353.6015625,2022-07-11,2022-07-26
0700.HK,329.3999938964844,127,299.6000061035156,-3784.5984497070312,2022-07-27,2022-08-02
0700.HK,295.0,129,303.20001220703125,1057.8015747070312,2022-08-03,2022-08-18
0316.HK,200.48104858398438,196,160.0,-7934.2855224609375,2022-08-19,2022-09-02
0316.HK,150.0,209,142.39999389648438,-1588.4012756347656,2022-09-03,2022-09-18
0700.HK,293.20001220703125,101,266.3999938964844,-2706.8018493652344,2022-09-19,2022-10-01
0388.HK,269.6000061035156,100,246.60000610351562,-2300.0,2022-10-02,2022-10-15
0700.HK,249.1999969482422,99,206.1999969482422,-4257.0,2022-10-16,2022-10-25
0700.HK,206.39999389648438,99,238.60000610351562,3187.8012084960938,2022-10-26,2022-11-05
0316.HK,121.5999984741211,195,123.0999984741211,292.5,2022-11-06,2022-11-21
1211.HK,184.39999389648438,130,199.6999969482422,1989.0003967285156,2022-11-22,2022-12-07
0316.HK,136.8000030517578,190,142.5,1082.9994201660156,2022-12-09,2022-12-24
1211.HK,194.10000610351562,139,202.39999389648438,1153.6983032226562,2022-12-25,2023-01-09
0316.HK,139.8000030517578,202,133.0,-1373.6006164550781,2023-01-10,2023-01-25
