STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,CUP LEN,HANDLE LEN,CUP DEPTH,HANDLE DEPTH,RRR,1000000
8766.T,1429.376831,233,1435.05127,1322.144165,0.4,2020-10-20,2020-11-04,10,97,35,0.148817216,0.088851064,1.674906404,1001322.144
1414.T,4912.540527,67,4931.507813,1270.808105,0.39,2020-10-22,2020-12-02,28,39,22,0.070463251,0.057914985,1.216666996,1002592.952
8795.T,1013.988342,333,1080.626953,22190.65741,6.57,2020-10-26,2020-12-14,35,97,39,0.242819538,0.132716092,1.829616394,1024783.61
9435.T,24007.80859,14,21171.24219,-39711.92969,-11.82,2020-12-03,2021-01-07,23,224,97,0.461801486,0.110613856,4.174897261,985071.68
8035.T,9327.797526,35,13222.14453,136302.1452,41.75,2020-11-06,2021-02-02,60,47,16,0.115057063,0.07716153,1.491119521,1121373.825
1721.T,2869.218262,103,2945.910889,7899.340576,2.67,2021-01-07,2021-02-24,32,127,40,0.191663669,0.069182369,2.770412067,1129273.166
2282.T,4402.901855,82,4500.113281,7971.336914,2.21,2020-12-14,2021-04-02,74,222,106,0.421731337,0.166137617,2.538445798,1137244.503
9744.T,1628.257935,285,1773.252563,41323.46924,8.9,2021-02-02,2021-04-08,42,78,24,0.144301501,0.071691216,2.01281983,1178567.972
1802.T,840.8790283,361,910.2848511,25055.50201,8.25,2021-03-01,2021-04-21,34,50,42,0.14407677,0.080042653,1.799999928,1203623.474
2282.T,4609.292969,109,4618.787109,1034.861328,0.21,2021-04-08,2021-04-22,10,95,23,0.127363056,0.065019776,1.958835653,1204658.335
8279.T,6863.783203,48,6465.742188,-19105.96875,-5.8,2021-04-21,2021-05-11,14,91,22,0.114359911,0.054738308,2.089211674,1185552.366
9434.T,1258.088013,402,1229.791992,-11375.00024,-2.25,2021-04-22,2021-05-25,22,43,18,0.048726527,0.035294219,1.38058097,1174177.366
2914.T,1824.344116,170,1835.333984,1868.277588,0.6,2021-05-11,2021-06-30,34,49,38,0.119562521,0.061642316,1.939617618,1176045.644
2871.T,2776.242188,112,2502.326904,-30678.51172,-9.87,2021-06-30,2021-08-04,24,58,48,0.089746467,0.047961685,1.871211717,1145367.132
3107.T,1695.228394,292,1966.019653,79071.04785,15.97,2021-05-25,2021-08-10,53,74,62,0.202230581,0.126226525,1.602124292,1224438.18
6055.T,1323.806274,433,1182.495728,-61187.4668,-10.67,2021-08-10,2021-08-17,5,100,23,0.208302471,0.091919963,2.26612876,1163250.713
9503.T,967.9520874,291,976.5944824,2514.936951,0.89,2021-08-04,2021-09-06,23,34,20,0.065789524,0.037124078,1.772152408,1165765.65
4578.T,4437.989746,83,4586.975098,12365.78418,3.36,2021-04-02,2021-09-30,123,181,49,0.20346132,0.112369174,1.810650666,1178131.434
8053.T,1366.619141,375,1399.096436,12178.9856,2.38,2021-08-17,2021-10-05,33,417,136,0.340138947,0.11875789,2.864137672,1190310.42
9532.T,1972.242676,144,1852.568481,-17233.08398,-6.07,2021-09-06,2021-10-12,24,55,24,0.09620844,0.052606649,1.828826614,1173077.336
8830.T,3961.874512,96,3964.782715,279.1875,0.07,2021-09-30,2021-11-05,24,490,103,0.493781731,0.207846995,2.375698192,1173356.523
4503.T,1837.834961,145,1837.834961,0,0,2021-10-12,2021-11-22,28,71,34,0.145966587,0.057404436,2.542775375,1173356.523
6201.T,9652.555664,27,9242.010742,-11084.71289,-4.25,2021-11-22,2021-11-26,4,41,32,0.145040623,0.041543111,3.491327934,1162271.811
7203.T,1946.582275,196,1924.581543,-4312.143555,-1.13,2021-11-05,2021-11-29,16,18,17,0.132678121,0.065847633,2.014926199,1157959.667
4062.T,6914.338379,54,6874.827148,-2133.606445,-0.57,2021-11-29,2022-01-05,26,51,22,0.213429617,0.069999936,3.048997313,1155826.061
6594.T,13430.26758,28,12128.50391,-36449.38281,-9.69,2022-01-05,2022-01-11,4,61,48,0.204644631,0.070958279,2.884013444,1119376.678
1861.T,2655.572266,127,2655.572266,0,0,2022-01-11,2022-01-28,13,78,21,0.11447231,0.047782809,2.395679793,1119376.678
2269.T,3456.708008,98,3283.872803,-16937.8501,-5,2022-01-28,2022-02-17,11,57,20,0.116666648,0.048611123,2.399999007,1102438.828
8303.T,1914.930054,133,2142.544434,30272.71252,11.89,2021-11-26,2022-02-22,58,174,73,0.330269974,0.149870804,2.203697885,1132711.54
4204.T,1862.345459,173,1693.041138,-29289.64758,-9.09,2022-02-17,2022-03-02,9,110,42,0.157415626,0.088383831,1.781045524,1103421.893
9715.T,2977.485352,98,2707.722412,-26436.76807,-9.06,2022-03-02,2022-03-08,4,37,19,0.156856697,0.081664135,1.9207538,1076985.124
9509.T,476.4370422,562,430.7513123,-25675.38025,-9.59,2022-03-08,2022-03-09,1,58,22,0.078277968,0.035224963,2.222229947,1051309.744
2809.T,2342.717773,103,2343.687744,99.90698242,0.04,2022-03-09,2022-03-28,13,41,20,0.127536123,0.060041336,2.124138672,1051409.651
7459.T,2039.995361,118,1816.379028,-26386.72729,-10.96,2022-03-28,2022-05-13,29,103,85,0.136872607,0.094859803,1.442893646,1025022.924
2811.T,2988.391846,95,3215.608398,21585.57251,7.6,2022-02-22,2022-06-14,74,51,43,0.093066336,0.079338804,1.173024187,1046608.496
9022.T,3240.136963,162,2882.533203,-57931.80908,-11.04,2021-10-05,2022-07-05,183,366,116,0.364271499,0.184091676,1.978750517,988676.6874
4208.T,1938.599487,157,1888.07605,-7932.179688,-2.61,2022-06-14,2022-07-13,20,40,32,0.080598438,0.079633147,1.012121719,980744.5077
4521.T,3637.245361,128,3552.548828,-10841.15625,-2.33,2022-07-05,2022-08-02,20,34,22,0.115135907,0.038809856,2.966666702,969903.3514
5110.T,1190.772705,251,1204.595947,3469.633789,1.16,2022-07-13,2022-08-04,16,121,31,0.220152333,0.097845485,2.249999913,973372.9852
3167.T,836.0717773,258,837.9676514,489.135498,0.23,2022-05-13,2022-08-05,58,168,70,0.110804713,0.062845292,1.763134687,973862.1207
6506.T,4547.48877,67,4606.355957,3944.101563,1.29,2022-08-04,2022-08-25,15,29,24,0.151024639,0.115426102,1.308409761,977806.2223
6971.T,7277.26123,29,7412.421387,3919.644531,1.86,2022-08-05,2022-09-05,21,175,56,0.176095798,0.09299838,1.893536192,981725.8668
8309.T,4001.704346,113,4019.469482,2007.460449,0.44,2022-08-02,2022-09-08,27,91,35,0.113238491,0.051401842,2.203004552,983733.3273
8053.T,1804.596191,174,1710.056519,-16449.90308,-5.24,2022-08-25,2022-09-26,21,41,35,0.12044167,0.039804779,3.025809315,967283.4242
5857.T,1948.887329,233,1871.131958,-18117.00146,-3.99,2022-09-08,2022-10-18,26,52,19,0.065707456,0.053237382,1.234235302,949166.4227
8088.T,5361.192383,55,5489.07373,7033.474121,2.39,2022-09-30,2022-12-06,46,84,30,0.165137629,0.099082584,1.666666547,956199.8968
5401.T,2016.910645,106,2113.458984,10234.12402,4.79,2022-09-05,2022-12-22,76,261,91,0.265211845,0.191561337,1.384474811,966434.0209
7956.T,2014.886597,149,2042.397095,4099.064209,1.37,2022-12-06,2023-01-06,20,133,81,0.287140901,0.181034508,1.586111422,970533.0851
7186.T,444.9310913,990,529.8637695,84083.35144,19.09,2022-10-18,2023-02-03,72,84,26,0.116798284,0.065248726,1.790046981,1054616.437
6183.T,1294.828125,174,1419.700317,21727.76147,9.64,2022-12-22,2023-02-20,36,35,24,0.115726956,0.060089061,1.925923871,1076344.198
2433.T,1310.449341,232,1437.392944,29450.91602,9.69,2023-01-11,2023-03-16,43,116,46,0.289008638,0.090909176,3.179092044,1105795.114
9502.T,1338.891113,392,1345.682495,2662.22168,0.51,2023-02-03,2023-03-20,31,160,28,0.17540865,0.086956471,2.017200641,1108457.336
1959.T,3306.365967,74,3306.365967,0,0,2023-02-20,2023-03-29,27,327,81,0.28853213,0.113069099,2.551821259,1108457.336
8113.T,5208.528809,82,5255.354004,3839.666016,0.9,2023-03-22,2023-04-11,11,57,39,0.10967865,0.067521065,1.624361958,1112297.002
