stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,cup_len,handle_len,cup_depth,handle_depth,rrr,,
CNY=X,6.7518,32284,6.8479,3102.4924,1.42,2022-08-03,2022-08-23,14,32,49,0.026422584,0.004828342,5.472392638,,
CNY=X,6.8585,31885,6.9531,3016.321,1.38,2022-08-25,2022-09-07,9,32,71,0.026011519,0.005511409,4.71957672,,
CNY=X,6.9653,31540,6.9255,-1255.292,-0.57,2022-09-08,2022-09-12,1,32,85,0.02561268,0.005426902,4.71957672,,
MYR=X,4.47,48922,4.5245,2666.249,1.22,2022-08-26,2022-09-15,13,83,71,0.018903803,0.006935123,2.725806452,,
CNY=X,6.979,32032,7.0766,3126.3232,1.4,2022-09-19,2022-09-23,4,32,94,0.025562401,0.005416249,4.71957672,,
IDR=X,14892.2998,14,15780,12427.8028,5.96,2022-09-09,2022-11-04,38,93,54,0.083741237,0.031727806,2.639364233,,
HKD=X,7.8497,27650,7.8356,-389.865,-0.18,2022-06-21,2022-11-14,101,133,306,0.003885499,0.00154146,2.520661157,,
EURUSD=X,1.0733,207094,1.0861,2650.8032,1.19,2023-01-10,2023-02-01,13,127,25,0.077238424,0.022454113,3.439834025,,
GBPUSD=X,1.2155,182866,1.2223,1243.4888,0.56,2023-01-11,2023-02-03,14,134,27,0.157383793,0.04911559,3.204355109,,
EURSEK=X,11.3127,19726,11.1153,-3893.9124,-1.74,2023-02-01,2023-02-15,10,56,19,0.203532313,0.021763151,9.352152721,,
NZDUSD=X,0.6445,344878,0.6245,-6897.56,-3.1,2023-01-19,2023-02-17,18,123,36,0.147556245,0.049650892,2.971875,,
EURGBP=X,0.8958,249251,0.8872,-2143.5586,-0.96,2023-02-06,2023-02-21,11,109,21,0.076802858,0.019423979,3.954022989,,
GBPJPY=X,161.891,1370,163.786,2596.15,1.17,2023-02-15,2023-03-02,11,42,21,0.08575523,0.030847916,2.779935923,,
GBPJPY=X,163.786,1349,161.37,-3259.184,-1.48,2023-03-02,2023-03-28,18,42,35,0.084763044,0.030491007,2.779935923,,
EURSEK=X,11.3104,19539,11.2723,-744.4359,-0.34,2023-03-09,2023-03-30,15,108,30,0.21016056,0.041377847,5.079059829,,
EURUSD=X,1.0835,203964,1.1069,4772.7576,2.16,2023-03-24,2023-05-04,25,357,49,0.180341486,0.046792801,3.854043393,,
HKD=X,7.8497,28024,7.8383,-319.4736,-0.15,2023-04-10,2023-05-17,26,132,52,0.011363492,0.00347784,3.267399267,,
CNY=X,6.8851,31950,7.0069,3891.51,1.77,2023-04-20,2023-05-22,21,127,41,0.09231529,0.023717884,3.892222903,,
EURGBP=X,0.8827,249215,0.8584,-6055.9245,-2.75,2023-04-18,2023-06-09,36,130,72,0.077942676,0.029455081,2.646153846,,
CNY=X,7.0069,31728,7.1653,5025.7152,2.26,2023-05-22,2023-07-13,36,127,71,0.090710585,0.023305599,3.892222903,,
EURSEK=X,11.6055,19156,11.5115,-1800.664,-0.81,2023-05-26,2023-07-18,36,143,72,0.204816682,0.02948602,6.946230275,,
