stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,cup_len,handle_len,cup_depth,handle_depth,rrr
1972.HK,25.176,7944,25.443,2121.048000000024,1.06,2018-08-29 16:34:31.956500,2018-09-18 16:34:31.956500,14,47,27,0.12154432793136316,0.04540038131553864,2.6771653543307057
0001.HK,71.943,2785,69.243,-7519.500000000008,-3.75,2018-09-21 16:34:31.956500,2018-10-02 16:34:31.956500,5,57,43,0.12461254048343832,0.03449953435358547,3.612006446414184
0144.HK,10.612,18744,10.325,-5379.528000000015,-2.7,2018-12-06 16:34:31.956500,2018-12-18 16:34:31.956500,8,60,15,0.14210327930644545,0.05135695439125518,2.766972477064219
3360.HK,5.935,33335,6.534,19967.665000000008,10.09,2019-01-11 16:34:31.956500,2019-02-22 16:34:31.956500,27,94,69,0.14877843302443136,0.05560235888795284,2.6757575757575753
0700.HK,329.14,601,329.14,0.0,0.0,2019-01-22 16:34:31.956500,2019-02-28 16:34:31.956500,24,74,48,0.24717141641854526,0.09350732211217108,2.6433375572667908
3990.HK,10.346,19123,10.346,0.0,0.0,2019-01-29 16:34:31.956500,2019-03-06 16:34:31.956500,23,60,45,0.2355499710032864,0.08090083123912621,2.911589008363204
0636.HK,5.396,37900,5.92,19859.600000000002,9.71,2019-02-22 16:34:31.956500,2019-03-19 16:34:31.956500,17,55,22,0.1441808747220164,0.05003706449221638,2.881481481481488
0883.HK,9.035,22779,9.373,7699.3019999999815,3.74,2019-03-19 16:34:31.956500,2019-04-04 16:34:31.956500,12,80,22,0.2075262866629772,0.07636967349197579,2.7173913043478195
1548.HK,15.34,13417,19.2,51789.619999999995,25.16,2019-04-03 16:34:31.956500,2019-04-08 16:34:31.956500,2,110,28,0.3996088657105607,0.1421121251629726,2.811926605504588
0011.HK,159.764,1288,166.225,8321.76799999998,4.04,2019-03-20 16:34:31.956500,2019-04-11 16:34:31.956500,15,90,15,0.10979945419493753,0.030989459452692856,3.543122601494632
3988.HK,2.546,86163,2.403,-12321.308999999983,-5.62,2019-04-11 16:34:31.956500,2019-05-09 16:34:31.956500,17,156,68,0.12097407698350365,0.04320502749410853,2.7999999999999945
6158.HK,4.989,43971,4.594,-17368.54499999998,-7.92,2019-05-03 16:34:31.956500,2019-05-14 16:34:31.956500,6,35,31,0.1767889356584487,0.06995389857686897,2.5272206303724993
1038.HK,51.524,4142,47.832,-15292.264000000001,-7.17,2019-06-12 16:34:31.956500,2019-08-01 16:34:31.956500,35,417,84,0.16799937893020725,0.06672618585513537,2.5177428737638192
0012.HK,33.573,6357,30.41,-20107.191000000003,-9.42,2019-06-26 16:34:31.956500,2019-08-05 16:34:31.956500,27,436,76,0.2610431001102075,0.09251481845530629,2.821635544108178
2688.HK,79.042,2588,70.878,-21128.432000000004,-10.33,2019-08-27 16:34:31.956500,2019-09-10 16:34:31.956500,10,128,49,0.2239948381872928,0.07511196579033928,2.982145864914941
0291.HK,37.496,5692,39.818,13216.823999999975,6.19,2019-07-25 16:34:31.956500,2019-09-23 16:34:31.956500,42,272,83,0.38481438020055475,0.14052165564326857,2.738470297969255
0762.HK,6.738,30390,6.336,-12216.780000000004,-5.97,2019-10-15 16:34:31.956500,2019-10-29 16:34:31.956500,10,81,34,0.21475215197387934,0.05609973285841497,3.828042328042325
0914.HK,36.689,5581,37.629,5246.139999999988,2.56,2019-10-16 16:34:31.956500,2019-11-11 16:34:31.956500,18,76,28,0.18888495189293794,0.07042982910409104,2.681888544891645
0200.HK,20.464,10007,19.665,-7995.592999999995,-3.9,2019-10-24 16:34:31.956500,2019-11-21 16:34:31.956500,20,58,40,0.2820562939796716,0.11121970289288506,2.5360281195079084
