stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,cup_len,handle_len,cup_depth,handle_depth,rrr
CDNS,47.06,4249,45.57,-6331.010000000008,-3.17,2018-08-30 16:36:46.646272,2018-09-24 16:36:46.646272,17,182,34,0.22333191670208238,0.07267318317042078,3.073099415204676
MDLZ,38.04,5257,38.13,473.13000000001796,0.24,2018-09-07 16:36:46.646272,2018-10-04 16:36:46.646272,17,149,33,0.18822292323869622,0.06335436382755004,2.9709543568464705
WBA,57.2,3496,58.87,5838.3199999999815,2.92,2018-09-17 16:36:46.646272,2018-10-05 16:36:46.646272,12,61,23,0.13828671328671335,0.04999999999999999,2.7657342657342676
JPM,101.3,1974,93.6,-15199.800000000005,-7.6,2018-09-21 16:36:46.646272,2018-10-11 16:36:46.646272,12,160,44,0.13484698914116497,0.047680157946693114,2.8281573498964754
JNJ,127.33,1546,114.52,-19804.260000000002,-10.06,2018-11-15 16:36:46.646272,2018-12-17 16:36:46.646272,22,246,53,0.1902144035184167,0.07547317992617607,2.5202913631633717
DXCM,37.26,5179,35.38,-9736.519999999977,-5.05,2019-02-13 16:36:46.646272,2019-03-04 16:36:46.646272,13,71,25,0.3158883521202362,0.10681696188942577,2.9572864321608012
CTAS,195.72,976,185.57,-9906.400000000005,-5.19,2019-03-20 16:36:46.646272,2019-03-22 16:36:46.646272,2,178,14,0.23768649090537508,0.048436541998773855,4.9071729957805825
MMM,175.31,1089,179.85,4944.059999999991,2.59,2019-03-21 16:36:46.646272,2019-04-04 16:36:46.646272,10,85,20,0.16616279733044334,0.06485653984370546,2.562005277044856
MMM,177.28,1072,159.52,-19038.71999999999,-10.02,2019-04-09 16:36:46.646272,2019-04-25 16:36:46.646272,10,85,37,0.16431633574007234,0.06413583032490977,2.562005277044856
CTSH,69.57,2731,62.46,-19417.409999999978,-10.22,2019-04-05 16:36:46.646272,2019-05-02 16:36:46.646272,16,65,55,0.17148196061520782,0.06037084950409664,2.84047619047619
AXP,109.99,1685,110.23,404.4000000000153,0.22,2019-04-29 16:36:46.646272,2019-05-29 16:36:46.646272,20,104,39,0.21674697699790893,0.05173197563414854,4.189806678383131
CTAS,204.89,904,213.08,7403.760000000024,4.0,2019-04-25 16:36:46.646272,2019-06-03 16:36:46.646272,25,178,50,0.22704866025672318,0.08253209038996534,2.7510348905972806
