STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,CUP LEN,HANDLE LEN,CUP DEPTH,HANDLE DEPTH,RRR
5423.T,690.5297241210938,482,632.9081420898438,-27773.6025390625,-8.34,2020-10-14 16:47:36.221093,2020-10-28 16:47:36.221093,9,125,29,0.2596121105826639,0.07775643985789325,3.33878597138871
6954.T,3983.125,83,4362.517578125,31489.583984375,9.52,2020-10-15 16:47:36.221093,2020-11-02 16:47:36.221093,11,57,33,0.17508727867741297,0.06651976591008221,2.6321090623512777
4088.T,1376.57568359375,242,1608.9365234375,56231.3232421875,16.88,2020-10-13 16:47:36.221093,2020-11-13 16:47:36.221093,22,83,39,0.17361976536042728,0.076983162917378,2.255295298099979
3407.T,842.9730224609375,365,867.0708618164062,8795.711364746094,2.86,2020-10-28 16:47:36.221093,2020-11-30 16:47:36.221093,23,98,42,0.2484308141040456,0.08672558660255324,2.8645619342139073
8572.T,434.81689453125,834,461.7607116699219,22471.143493652344,6.2,2020-11-02 16:47:36.221093,2020-12-08 16:47:36.221093,26,117,24,0.2080331214949191,0.05769233994007599,3.605905423683619
3405.T,981.0339965820312,393,959.0769653320312,-8629.11328125,-2.24,2020-12-08 16:47:36.221093,2020-12-28 16:47:36.221093,13,59,25,0.17278435382003662,0.09310664475426371,1.8557682351895102
5393.T,2206.8486328125,143,2280.19921875,10489.1337890625,3.32,2020-11-30 16:47:36.221093,2021-01-13 16:47:36.221093,30,117,59,0.17583830737452896,0.1493638764227991,1.1772478833957791
6113.T,912.23583984375,427,1106.75,83057.54638671875,21.32,2020-11-13 16:47:36.221093,2021-01-21 16:47:36.221093,47,97,59,0.3141796909506361,0.1493835163087815,2.1031750939723133
9613.T,1435.610107421875,227,1653.3331298828125,49423.12609863281,15.17,2021-01-13 16:47:36.221093,2021-02-05 16:47:36.221093,17,57,48,0.1882193532846774,0.06973611992282568,2.699022450531699
8020.T,1149.520751953125,328,1264.7347412109375,37790.1884765625,10.02,2020-12-29 16:47:36.221093,2021-02-08 16:47:36.221093,28,71,48,0.10731295484182721,0.1040243397695355,1.031613899973579
7186.T,357.4725646972656,1055,382.87677001953125,26801.436614990234,7.11,2021-02-05 16:47:36.221093,2021-02-16 16:47:36.221093,5,52,20,0.13197985589753106,0.05583764149223787,2.3636359339403312
3738.T,1694.466552734375,244,1671.53271484375,-5595.8564453125,-1.35,2021-02-08 16:47:36.221093,2021-03-09 16:47:36.221093,19,64,37,0.1343049731752081,0.0702759061474195,1.9111098033154241
9744.T,1664.175537109375,243,1870.70068359375,50185.610595703125,12.41,2021-02-16 16:47:36.221093,2021-03-19 16:47:36.221093,23,78,41,0.14118706735427208,0.07014399170870182,2.012817689939891
4206.T,3580.125732421875,114,3698.251708984375,13466.361328125,3.3,2021-03-09 16:47:36.221093,2021-03-24 16:47:36.221093,11,83,21,0.15862947921124715,0.06979689136376815,2.2727298610549918
9434.T,1254.7935791015625,362,1241.1103515625,-4953.328369140625,-1.09,2021-03-19 16:47:36.221093,2021-04-13 16:47:36.221093,14,182,28,0.19840494431579922,0.04885445696137575,4.061143172109309
1721.T,2855.68408203125,165,2897.93994140625,6972.216796875,1.48,2021-01-21 16:47:36.221093,2021-06-07 16:47:36.221093,91,242,181,0.36385199112351335,0.19257171958868433,1.889436267696358
3254.T,1566.9058837890625,269,1413.1243896484375,-41367.221923828125,-9.81,2021-03-24 16:47:36.221093,2021-06-29 16:47:36.221093,64,376,127,0.5965488081521444,0.20035986160127797,2.9773868048446457
2587.T,4097.8583984375,117,3879.9970703125,-25489.775390625,-5.32,2021-06-07 16:47:36.221093,2021-07-27 16:47:36.221093,34,299,67,0.2057830524275735,0.13333324809982822,1.5433738798105423
9434.T,1266.7945556640625,301,1253.2994384765625,-4062.0302734375,-1.07,2021-06-29 16:47:36.221093,2021-08-03 16:47:36.221093,24,266,47,0.19652535533590354,0.05360824676951879,3.6659537884317874
9602.T,4564.8505859375,98,4520.81640625,-4315.349609375,-0.96,2021-04-13 16:47:36.221093,2021-08-16 16:47:36.221093,86,389,172,0.4043839937168496,0.19425192250965811,2.08175027815616
2801.T,6974.1494140625,65,7043.00537109375,4475.63720703125,0.99,2021-07-27 16:47:36.221093,2021-08-19 16:47:36.221093,17,96,33,0.15708644767880034,0.11001422009941585,1.4278740288014315
6976.T,5412.46240234375,69,5307.458984375,-7245.23583984375,-1.94,2021-08-03 16:47:36.221093,2021-08-20 16:47:36.221093,13,111,26,0.2326531004059527,0.08994705752222903,2.5865559898772235
3088.T,1532.7647705078125,298,1677.189453125,43038.555419921875,9.42,2021-08-19 16:47:36.221093,2021-09-07 16:47:36.221093,13,53,22,0.11043559562249432,0.10739602738300869,1.0283024271339718
7164.T,4790.0869140625,76,5356.9609375,43082.42578125,11.83,2021-08-20 16:47:36.221093,2021-09-07 16:47:36.221093,12,104,24,0.1538461480118432,0.04930961028486329,3.120003324363523
9531.T,2037.1185302734375,223,2041.3359375,940.4818115234375,0.21,2021-09-07 16:47:36.221093,2021-09-24 16:47:36.221093,12,55,24,0.09293762346714107,0.05291011968971942,1.7565188665638023
3003.T,1252.0084228515625,364,1037.0076904296875,-78260.2666015625,-17.17,2021-09-08 16:47:36.221093,2021-10-06 16:47:36.221093,18,413,162,0.37490949791767225,0.15606093333841575,2.4023276671342644
3391.T,13396.6708984375,34,13243.67578125,-5201.833984375,-1.14,2021-09-24 16:47:36.221093,2021-10-19 16:47:36.221093,15,69,29,0.14561027464807785,0.06067094004242188,2.400000305686138
8410.T,234.2047882080078,1611,226.82823181152344,-11883.632354736328,-3.15,2021-10-07 16:47:36.221093,2021-10-22 16:47:36.221093,10,182,19,0.17057125482893448,0.05393855567968418,3.1623252176398133
8604.T,521.5835571289062,702,479.2166748046875,-29741.551391601562,-8.12,2021-10-22 16:47:36.221093,2021-11-02 16:47:36.221093,7,111,36,0.17945476499651358,0.07159879846477604,2.506393526768451
7177.T,840.582275390625,535,831.1268920898438,-5058.630065917969,-1.12,2021-10-19 16:47:36.221093,2021-11-11 16:47:36.221093,17,78,34,0.15483736529460126,0.05588052505581655,2.7708645389416287
8053.T,1361.80712890625,329,1474.224853515625,36985.431396484375,8.26,2021-08-16 16:47:36.221093,2021-11-26 16:47:36.221093,71,417,136,0.34134075478199,0.11917770717420716,2.8641325871711696
1928.T,2173.10791015625,210,2050.672607421875,-25711.41357421875,-5.63,2021-11-11 16:47:36.221093,2021-11-29 16:47:36.221093,12,28,24,0.07111227520946593,0.05317587615799561,1.3373033102111545
3391.T,13463.607421875,24,12310.9296875,-27664.265625,-8.56,2021-11-02 16:47:36.221093,2021-11-30 16:47:36.221093,20,98,40,0.14488634938374742,0.08309659723965898,1.7435894392387759
4062.T,6914.33837890625,62,6736.541015625,-11023.4365234375,-2.57,2021-11-29 16:47:36.221093,2021-12-14 16:47:36.221093,11,51,22,0.2134295455430038,0.06999993607504239,3.048996292142322
6594.T,13125.7041015625,32,13572.7236328125,14304.625,3.41,2021-12-14 16:47:36.221093,2022-01-04 16:47:36.221093,14,61,26,0.20939312156706255,0.07260483951613712,2.8840105282585595
6594.T,13430.267578125,32,12128.5048828125,-41656.40625,-9.69,2022-01-05 16:47:36.221093,2022-01-11 16:47:36.221093,4,61,48,0.20464463113664016,0.07095835092537263,2.8840105282585595
8303.T,1914.9300537109375,254,2055.457275390625,35693.914306640625,7.34,2021-11-26 16:47:36.221093,2022-01-19 16:47:36.221093,37,174,73,0.3302699738307406,0.14987080403221337,2.2036978847444635
1861.T,2655.572265625,148,2632.750244140625,-3377.6591796875,-0.86,2022-01-11 16:47:36.221093,2022-01-26 16:47:36.221093,11,78,21,0.11447230977300481,0.04778271786491484,2.3956843580272307
8113.T,4752.59619140625,62,4363.2236328125,-24141.0986328125,-8.19,2021-12-01 16:47:36.221093,2022-01-28 16:47:36.221093,41,206,81,0.1985759224497133,0.17450785763100823,1.1379196624463541
2269.T,3423.1015625,114,3317.4794921875,-12040.916015625,-3.09,2022-01-26 16:47:36.221093,2022-02-14 16:47:36.221093,10,58,19,0.1178120261280172,0.049088363476734155,2.399999058511193
