STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL,1000000
2502.T,4515.770996,44,4238.417969,-12203.5332,-6.14,2022-10-06,2022-10-11,3,42.10795032,34.42831284,0,987796.4668
1721.T,2360.469971,84,2365.293213,405.1523438,0.2,2022-10-03,2022-10-12,6,22.84418104,15.87406379,0,988201.6191
1605.T,1414.428589,141,1422.100098,1081.682739,0.54,2022-10-04,2022-10-20,12,25.73518561,14.74058124,0,989283.3019
1802.T,920.0308838,213,922.9240112,616.236145,0.31,2022-10-18,2022-11-02,11,69.5625202,67.35434229,0,989899.538
1605.T,1428.812622,139,1577.44751,20660.24939,10.4,2022-10-26,2022-11-08,9,74.45121556,70.37856469,0,1010559.787
4004.T,2111.063721,94,2126.572021,1457.780273,0.73,2022-10-25,2022-11-09,11,63.649096,59.60360355,0,1012017.568
1803.T,722.3134155,272,727.1807861,1323.924805,0.67,2022-10-19,2022-11-10,16,49.63315775,45.41338997,0,1013341.492
1801.T,3985.698486,50,3703.783203,-14095.76416,-7.07,2022-10-05,2022-11-14,28,41.06096904,25.33663233,0,999245.7283
1808.T,1468.207031,133,1388.973511,-10538.05823,-5.4,2022-11-02,2022-11-14,8,15.65894229,11.45280533,0,988707.6701
3289.T,718.5002441,276,677.0853882,-11430.50024,-5.76,2022-11-11,2022-11-16,3,20.92592957,14.39628393,0,977277.1699
4689.T,365.600769,518,367.4725952,969.605957,0.51,2022-11-15,2022-11-24,7,40.44441889,27.30644199,0,978246.7758
4151.T,3105.814453,60,3115.627441,588.7792969,0.32,2022-11-17,2022-11-30,9,21.50536209,19.37632709,0,978835.5551
1332.T,489.306488,450,503.8403625,6540.24353,2.97,2022-11-08,2022-12-01,17,19.80947585,16.43433646,0,985375.7986
2432.T,1877.073853,101,1773.231567,-10488.0708,-5.53,2022-11-21,2022-12-05,10,39.39760345,27.86459729,0,974887.7278
3099.T,1223.36792,155,1230.296265,1073.893433,0.57,2022-11-18,2022-12-06,12,17.72857133,10.9575472,0,975961.6213
2871.T,2782.765869,70,2823.919434,2880.749512,1.48,2022-12-09,2022-12-21,8,88.68523322,85.74838201,0,978842.3708
2501.T,3545.847656,53,3358.184326,-9946.156494,-5.29,2022-11-24,2022-12-22,20,59.04762037,42.81904815,0,968896.2143
1605.T,1399.085571,142,1401.00354,272.3515625,0.14,2022-12-14,2022-12-26,7,13.85771039,8.357389404,0,969168.5659
9984.T,5871.725098,33,5575.012695,-9791.509277,-5.05,2022-12-06,2022-12-29,15,9.622212231,8.842020388,0,959377.0566
1802.T,975.0012817,203,915.2088623,-12137.86115,-6.13,2022-12-13,2023-01-06,15,56.17977709,53.91284812,0,947239.1954
2002.T,1550.838501,121,1598.691895,5790.26062,3.09,2022-12-22,2023-01-06,8,26.36473783,13.81949225,0,953029.4561
1801.T,4146.098633,46,3898.20752,-11402.99121,-5.98,2022-12-26,2023-01-12,11,83.05171388,78.12784687,0,941626.4648
4004.T,2043,92,2205,14904,7.93,2023-01-06,2023-01-31,14,16.45803924,15.06377157,0,956530.4648
1812.T,1466.024658,133,1493.884766,3705.394287,1.9,2022-12-27,2023-02-01,22,36.95803286,30.42007321,0,960235.8591
2802.T,3860.874268,48,4058.008301,9462.433594,5.11,2023-01-11,2023-02-01,12,7.138887153,4.990008895,0,969698.2927
1803.T,657.0910034,278,706.737915,13801.84143,7.56,2023-01-17,2023-02-01,8,11.22278626,8.456684371,0,983500.1342
4021.T,5666.320801,33,5831.831543,5461.854492,2.92,2023-01-10,2023-02-02,14,5.536797034,3.209389172,0,988961.9886
5831.T,1067.225586,190,1073.052124,1107.042236,0.55,2023-01-31,2023-02-08,6,59.52380951,52.44003347,0,990069.0309
3436.T,1966.152832,99,1857.303467,-10776.08716,-5.54,2023-02-07,2023-02-13,4,87.16114009,81.77628109,0,979292.9437
2413.T,3651.173828,53,3465.234375,-9854.791016,-5.09,2023-02-06,2023-02-15,7,56.94376679,45.64745529,0,969438.1527
1332.T,527.0945435,365,528.0634766,353.6605835,0.18,2023-02-20,2023-03-03,9,56.19050493,38.58373459,0,969791.8133
2768.T,2442.53125,81,2589.025635,11866.04517,6,2023-02-10,2023-03-06,16,67.58755571,58.76815809,0,981657.8585
1605.T,1441.961182,134,1460.58606,2495.733643,1.29,2023-02-14,2023-03-09,17,57.34375128,42.89408449,0,984153.5921
1801.T,4180.123047,45,4602.995605,19029.26514,10.12,2023-02-16,2023-03-09,15,50.79391498,43.46155905,0,1003182.857
1803.T,713.5521851,270,738.8623657,6833.748779,3.55,2023-02-21,2023-03-13,14,60.06808009,57.27268364,0,1010016.606
2871.T,2644.607178,76,2653.426025,670.2324219,0.33,2023-03-17,2023-03-27,6,53.67817446,50.0934994,0,1010686.838
2802.T,4440.449219,45,4558.896973,5330.148926,2.67,2023-03-15,2023-04-05,14,89.71265594,85.42530099,0,1016016.987
3659.T,3074.503906,68,3124.414795,3393.94043,1.62,2023-03-06,2023-04-06,22,31.15125022,18.40274864,0,1019410.928
2531.T,1007.50238,200,1021,2699.523926,1.34,2023-03-27,2023-04-10,7,29.61041252,21.37155654,0,1022110.452
1721.T,2409.666504,80,2415.870605,496.328125,0.26,2023-03-03,2023-04-11,24,60.33327391,58.66660126,0,1022606.78
6753.T,957,211,963,1266,0.63,2023-04-11,2023-04-19,6,72.94794189,67.97628789,0,1023872.78
8697.T,2029.228394,102,2110.832764,8323.645752,4.02,2023-04-07,2023-04-20,8,82.95698023,76.97993273,0,1032196.426
1332.T,539.6904907,373,574.2606201,12894.65826,6.41,2023-03-09,2023-04-21,28,86.77785186,78.02227695,0,1045091.084
1808.T,1536.081421,132,1567.430054,4138.019531,2.04,2023-04-12,2023-04-24,8,71.59228365,64.61776453,0,1049229.103
2501.T,3695,56,3700,280,0.14,2023-04-20,2023-04-27,5,88.04511522,84.67535265,0,1049509.103
6857.T,2930.844727,71,2627.052734,-21569.23145,-10.37,2023-04-24,2023-04-27,3,49.10566234,41.1922493,0,1027939.872
9735.T,8504.711914,24,8658.280273,3685.640625,1.81,2023-04-27,2023-05-01,1,94.5334079,93.97723408,0,1031625.513
1925.T,3125.885986,65,3387.853516,17027.8894,8.38,2023-04-14,2023-05-02,11,72.71338984,64.68791439,0,1048653.402
3289.T,677.0383301,302,715.4728394,11607.2218,5.68,2023-04-28,2023-05-11,8,92.38478506,89.73657119,0,1060260.624
1332.T,588.0744629,349,613.7287598,8953.349609,4.36,2023-05-01,2023-05-12,9,92.45735767,91.42743587,0,1069213.973
1721.T,2746.650146,77,2773.230469,2046.684814,0.97,2023-05-15,2023-05-19,4,94.33376111,92.81331833,0,1071260.658
1605.T,1445.882202,148,1506.658325,8994.866211,4.2,2023-05-17,2023-05-29,7,52.80909739,48.40492523,0,1080255.524
2413.T,3078,69,3162,5796,2.73,2023-05-16,2023-05-30,9,13.04890739,10.17398003,0,1086051.524
1963.T,1700,123,1707,861,0.41,2023-05-09,2023-06-02,17,64.23194405,48.93464534,0,1086912.524
1802.T,1125.357178,190,1136.187378,2057.738037,0.96,2023-05-19,2023-06-02,9,77.16767651,72.75784617,0,1088970.262
3099.T,1416.425415,150,1423.393066,1045.147705,0.49,2023-06-02,2023-06-05,1,25.73247773,24.18473352,0,1090015.41
6701.T,6392.901367,34,6828.69043,14816.82813,6.82,2023-05-29,2023-06-07,7,96.45881479,94.80210577,0,1104832.238
1925.T,3635.048828,58,3656.715332,1256.657227,0.6,2023-06-05,2023-06-09,4,88.51723753,86.24434978,0,1106088.896
4689.T,354.2999878,601,357.2000122,1742.914673,0.82,2023-05-12,2023-06-13,21,20.02108485,16.30408689,0,1107831.81
4751.T,965.6782837,232,1013.275208,11042.48633,4.93,2023-06-01,2023-06-13,8,6.046016183,4.333975873,0,1118874.297
1808.T,1640.90332,131,1665.884277,3272.505371,1.52,2023-06-06,2023-06-19,9,41.45379612,26.64796735,0,1122146.802
4208.T,2357.27002,95,2377.388184,1911.225586,0.85,2023-06-13,2023-06-19,4,89.68319786,87.47534222,0,1124058.027
3405.T,1325.288818,167,1360.682373,5910.723633,2.67,2023-06-09,2023-06-20,7,82.02932534,78.33315289,0,1129968.751
6471.T,880.7171631,256,895.164856,3698.609375,1.64,2023-06-14,2023-06-28,9,67.18284693,61.10557594,0,1133667.36
1332.T,651.2233887,344,651.3220825,33.95068359,0.02,2023-06-22,2023-06-28,4,80.50501199,79.61852247,0,1133701.311
1803.T,899.9460449,251,901.4268188,371.6742554,0.16,2023-06-28,2023-07-05,5,85.33938465,82.60685701,0,1134072.985
1928.T,2709.938721,82,2843.182373,10925.97949,4.92,2023-06-21,2023-07-06,10,21.88568886,16.75198598,0,1144998.965
2501.T,3781,59,3574,-12213,-5.47,2023-06-12,2023-07-14,23,14.70029749,10.41038533,0,1132785.965
1801.T,5215.898438,42,5229.728516,580.8632813,0.27,2023-07-21,2023-07-27,4,83.58048318,77.67169889,0,1133366.828
1808.T,1741.806641,131,1812.830811,9304.16626,4.08,2023-07-13,2023-07-31,12,79.87158793,77.7808495,0,1142670.994
3407.T,971.8330078,232,918.9221191,-12275.32617,-5.44,2023-07-03,2023-08-03,23,61.92712136,51.71790695,0,1130395.668
1963.T,1892,118,1983.5,10797,4.84,2023-07-19,2023-08-03,11,42.78884462,25.73705179,0,1141192.668
2801.T,7906.556152,28,7946.387695,1115.283203,0.5,2023-07-18,2023-08-08,15,10.53086779,8.188066321,0,1142307.951
1605.T,1876,120,2116,28800,12.79,2023-08-08,2023-08-10,2,89.46305849,89.12039897,0,1171107.951
4324.T,4752,50,4200,-27600,-11.62,2023-07-31,2023-08-15,11,47.96065151,32.61203712,0,1143507.951
4452.T,5352,41,5688,13776,6.28,2023-07-27,2023-08-17,15,43.18181818,25.83707814,0,1157283.951
4502.T,4287.540039,52,4352.250488,3364.943359,1.51,2023-08-07,2023-08-17,8,42.254416,35.90279519,0,1160648.895
1812.T,2270.329346,99,2270.822266,48.79907227,0.02,2023-08-15,2023-08-21,4,71.92874967,66.68614358,0,1160697.694
2501.T,3842,62,4290,27776,11.66,2023-08-10,2023-08-24,10,59.38474813,42.14359953,0,1188473.694
2002.T,1856.793457,122,1866.196167,1147.130615,0.51,2023-08-22,2023-08-28,4,92.19456754,84.52688702,0,1189620.825
3436.T,1922.5,118,1936.5,1652,0.73,2023-08-21,2023-08-30,7,11.33035169,7.443594175,0,1191272.825
1803.T,963.0291748,247,967.1754761,1024.136414,0.43,2023-08-29,2023-08-31,2,65.19989731,62.45669971,0,1192296.961
1925.T,3914.743652,58,4034.894287,6968.736816,3.07,2023-08-23,2023-09-06,10,79.59575636,76.94673666,0,1199265.698
1721.T,3023.283936,75,3054.786865,2362.719727,1.04,2023-08-30,2023-09-06,5,75.98941487,74.10117546,0,1201628.417
1605.T,2038.5,116,2202.5,19024,8.05,2023-08-28,2023-09-11,10,61.62429146,58.72924978,0,1220652.417
1808.T,1741.316772,142,1838.791382,13841.39453,5.6,2023-08-24,2023-09-12,13,22.56224135,15.44690681,0,1234493.812
4063.T,4606.897461,52,4653.37207,2416.679688,1.01,2023-08-31,2023-09-15,11,40.02257078,28.5321261,0,1236910.492
4519.T,4548,54,4265,-15282,-6.22,2023-09-12,2023-09-21,7,88.79400199,87.50781614,0,1221628.492
1721.T,3130.590332,80,3160.124268,2362.714844,0.94,2023-09-13,2023-09-21,6,82.97359245,77.57960258,0,1223991.207
2502.T,5950,40,5620,-13200,-5.55,2023-09-15,2023-09-28,9,86.83048491,81.27043181,0,1210791.207
2002.T,1962.697998,129,1852,-14280.04175,-5.64,2023-09-14,2023-10-03,12,91.811638,88.96766053,0,1196511.165
3099.T,1732.956177,133,1629,-13826.17151,-6,2023-09-06,2023-10-04,19,62.65346013,58.11048405,0,1182684.993
4911.T,5322,43,5006,-13588,-5.94,2023-10-05,2023-10-13,6,10.87630785,7.05934462,0,1169096.993
2413.T,2658.5,87,2500,-13789.5,-5.96,2023-10-06,2023-10-16,6,17.8494421,11.99523214,0,1155307.493
2502.T,5586,41,5265,-13161,-5.75,2023-10-10,2023-10-18,6,22.10166894,12.83764664,0,1142146.493
