stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
9626.HK,232.60000610351562,214,254.60000610351562,4708.0,2022-01-31 15:44:19.402792,2022-02-04 15:44:19.402792
9626.HK,254.60000610351562,214,283.20001220703125,6120.401306152344,2022-02-05 15:44:19.402792,2022-02-10 15:44:19.402792
2269.HK,58.29999923706055,1043,64.80000305175781,6779.503978729248,2022-02-11 15:44:19.402792,2022-02-17 15:44:19.402792
3690.HK,220.8000030517578,306,188.0,-10036.80093383789,2022-02-18 15:44:19.402792,2022-02-19 15:44:19.402792
3690.HK,180.5,318,164.8000030517578,-4992.599029541016,2022-02-22 15:44:19.402792,2022-03-04 15:44:19.402792
0388.HK,347.6561584472656,151,318.9371032714844,-4336.577331542969,2022-03-05 15:44:19.402792,2022-03-15 15:44:19.402792
9618.HK,158.13064575195312,305,248.47705078125,27555.653533935547,2022-03-16 15:44:19.402792,2022-03-17 15:44:19.402792
9961.HK,179.0,423,205.60000610351562,11251.80258178711,2022-03-18 15:44:19.402792,2022-03-24 15:44:19.402792
2382.HK,121.6731948852539,715,125.53426361083984,2760.6641387939453,2022-03-26 15:44:19.402792,2022-04-05 15:44:19.402792
9888.HK,145.6999969482422,616,128.1999969482422,-10780.0,2022-04-06 15:44:19.402792,2022-04-11 15:44:19.402792
0316.HK,166.12347412109375,475,177.61631774902344,5459.100723266602,2022-04-12 15:44:19.402792,2022-04-22 15:44:19.402792
9626.HK,169.89999389648438,497,203.60000610351562,16748.90606689453,2022-04-23 15:44:19.402792,2022-04-29 15:44:19.402792
0700.HK,375.6333312988281,269,339.6028137207031,-9692.209228515625,2022-04-30 15:44:19.402792,2022-05-10 15:44:19.402792
9626.HK,155.3000030517578,589,175.5,11897.798202514648,2022-05-11 15:44:19.402792,2022-05-20 15:44:19.402792
0700.HK,352.20001220703125,293,362.3999938964844,2988.5946350097656,2022-05-21 15:44:19.402792,2022-05-31 15:44:19.402792
0316.HK,213.93125915527344,497,217.0211944580078,1535.6978454589844,2022-06-11 15:44:19.402792,2022-06-21 15:44:19.402792
9999.HK,142.5127716064453,757,143.91094970703125,1058.4208221435547,2022-06-22 15:44:19.402792,2022-07-02 15:44:19.402792
0700.HK,354.3999938964844,307,335.3999938964844,-5833.0,2022-07-03 15:44:19.402792,2022-07-13 15:44:19.402792
1211.HK,268.20001220703125,384,294.20001220703125,9984.0,2022-07-14 15:44:19.402792,2022-07-15 15:44:19.402792
1211.HK,294.20001220703125,384,289.0,-1996.8046875,2022-07-16 15:44:19.402792,2022-07-26 15:44:19.402792
2015.HK,137.10000610351562,810,126.0999984741211,-8910.00617980957,2022-07-27 15:44:19.402792,2022-07-29 15:44:19.402792
2015.HK,126.0999984741211,811,126.80000305175781,567.7037124633789,2022-07-30 15:44:19.402792,2022-08-09 15:44:19.402792
0700.HK,298.0,345,315.0,5865.0,2022-08-10 15:44:19.402792,2022-08-20 15:44:19.402792
0316.HK,213.5677490234375,508,199.75401306152344,-7017.377868652344,2022-08-21 15:44:19.402792,2022-08-31 15:44:19.402792
0388.HK,317.79998779296875,319,311.0,-2169.1961059570312,2022-09-01 15:44:19.402792,2022-09-11 15:44:19.402792
0316.HK,144.6999969482422,687,146.89999389648438,1511.3979034423828,2022-09-12 15:44:19.402792,2022-09-22 15:44:19.402792
9626.HK,130.0,777,119.5999984741211,-8080.80118560791,2022-09-23 15:44:19.402792,2022-09-30 15:44:19.402792
9866.HK,121.4000015258789,765,134.0,9638.998832702637,2022-10-01 15:44:19.402792,2022-10-05 15:44:19.402792
9866.HK,134.0,765,112.0,-16830.0,2022-10-06 15:44:19.402792,2022-10-07 15:44:19.402792
9866.HK,112.0,765,103.0,-6885.0,2022-10-08 15:44:19.402792,2022-10-12 15:44:19.402792
9866.HK,103.0,765,94.75,-6311.25,2022-10-13 15:44:19.402792,2022-10-17 15:44:19.402792
0388.HK,252.1999969482422,287,228.1999969482422,-6888.0,2022-10-18 15:44:19.402792,2022-10-24 15:44:19.402792
0700.HK,206.1999969482422,318,227.39999389648438,6741.599029541016,2022-10-25 15:44:19.402792,2022-11-01 15:44:19.402792
0388.HK,226.39999389648438,319,246.1999969482422,6316.200973510742,2022-11-02 15:44:19.402792,2022-11-04 15:44:19.402792
0316.HK,121.5999984741211,647,135.5,8993.300987243652,2022-11-05 15:44:19.402792,2022-11-14 15:44:19.402792
1211.HK,184.39999389648438,475,191.39999389648438,3325.0,2022-11-22 15:44:19.402792,2022-12-02 15:44:19.402792
2382.HK,94.44999694824219,963,91.0999984741211,-3226.0485305786133,2022-12-15 15:44:19.402792,2022-12-25 15:44:19.402792
1211.HK,193.0,455,202.39999389648438,4276.997222900391,2022-12-29 15:44:19.402792,2023-01-08 15:44:19.402792
3690.HK,173.0,532,168.10000610351562,-2606.7967529296875,2023-01-13 15:44:19.402792,2023-01-23 15:44:19.402792
