stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,cup_len,handle_len,cup_depth,handle_depth,rrr
3633.HK,6.973,28682,7.177,5851.128,2.93,2020-08-27,2020-09-16,14,24,27,0.125053779,0.039007601,3.205882353
1109.HK,29.471,6786,30.988,10294.362,5.15,2020-08-20,2020-09-17,20,126,39,0.321841811,0.126463303,2.544942313
6100.HK,19.5,10422,19.48,-208.44,-0.1,2020-10-16,2020-11-10,16,238,32,0.311794872,0.122051282,2.554621849
0780.HK,14.92,13619,13.78,-15525.66,-7.64,2020-12-17,2020-12-22,3,32,35,0.180965147,0.065683646,2.755102041
1928.HK,34.6,5872,33.45,-6752.8,-3.32,2020-12-09,2020-12-24,11,77,21,0.261560694,0.086705202,3.016666667
1929.HK,8.894,22846,8.645,-5688.654,-2.8,2020-12-15,2020-12-28,8,65,16,0.1673038,0.06431302,2.601398601
1658.HK,3.583,54107,4.434,46045.057,23.75,2021-01-08,2021-01-21,9,148,37,0.429807424,0.144850684,2.967244701
6100.HK,19.44,10452,19.86,4389.84,2.16,2020-12-03,2021-02-03,42,238,83,0.312757202,0.122427984,2.554621849
0639.HK,1.301,156177,1.301,0,0,2020-11-17,2021-02-11,60,242,119,0.411990776,0.149116065,2.762886598
0086.HK,2.841,68238,2.858,1160.046,0.6,2021-01-15,2021-02-16,20,289,40,0.358676522,0.090813094,3.949612403
0083.HK,9.29,23346,11.073,41625.918,19.19,2021-01-22,2021-02-22,19,230,36,0.21883746,0.071044133,3.08030303
1361.HK,1.31,157000,1.75,69080,33.59,2021-02-19,2021-02-24,3,323,42,0.428244275,0.167938931,2.55
0086.HK,2.901,75449,3.433,40138.868,18.34,2021-02-23,2021-03-26,23,289,80,0.351258187,0.106514995,3.297734628
3618.HK,2.648,87933,2.671,2022.459,0.87,2021-03-12,2021-03-26,10,225,19,0.288141994,0.098942598,2.91221374
0123.HK,7.842,30591,7.675,-5108.697,-2.13,2021-05-11,2021-05-12,1,20,54,0.101632237,0.01606733,6.325396825
0173.HK,3.37,69094,3.154,-14924.304,-6.41,2021-03-02,2021-05-17,51,482,101,0.327596439,0.106231454,3.083798883
0728.HK,2.318,103492,2.026,-30219.664,-12.6,2021-05-10,2021-06-17,26,119,58,0.376186368,0.125107852,3.006896552
1675.HK,12.45,18348,11.267,-21705.684,-9.5,2021-06-28,2021-07-14,11,84,44,0.205381526,0.080722892,2.544278607
2638.HK,7.217,31051,7.143,-2297.774,-1.03,2021-08-20,2021-09-09,14,223,141,0.035748926,0.010115006,3.534246575
3360.HK,7.767,28852,7.75,-490.484,-0.22,2021-08-30,2021-09-10,9,117,17,0.170336037,0.065404918,2.604330709
0003.HK,11.648,19238,11.612,-692.568,-0.31,2021-07-30,2021-09-13,31,407,61,0.226991758,0.087912088,2.58203125
0659.HK,6.487,34438,6.48,-241.066,-0.11,2021-11-15,2021-11-26,9,42,17,0.132418684,0.049329428,2.684375
6823.HK,9.534,23431,9.391,-3350.633,-1.5,2021-11-08,2021-12-06,20,42,88,0.032829872,0.012166981,2.698275862
0659.HK,6.48,34463,6.348,-4549.116,-2.04,2021-11-26,2021-12-16,14,42,28,0.132561728,0.049382716,2.684375
1052.HK,4.41,50640,3.96,-22788,-10.2,2021-11-29,2021-12-20,15,269,39,0.302494331,0.098412698,3.073732719
0006.HK,43.795,5028,44.564,3866.532,1.76,2021-12-17,2022-01-03,10,121,20,0.130859687,0.042356433,3.089487871
3328.HK,3.897,57325,4.28,21955.475,9.83,2021-09-16,2022-01-12,80,141,434,0.19630485,0.068514242,2.865168539
0002.HK,73.609,2951,71.571,-6014.138,-2.77,2022-01-05,2022-01-12,5,121,39,0.089771631,0.025961499,3.457875458
6886.HK,11.773,19078,12.878,21081.19,9.39,2022-01-12,2022-01-20,6,91,28,0.143039157,0.035420029,4.038369305
6823.HK,9.391,23605,9.642,5924.855,2.67,2021-12-06,2022-02-09,43,42,116,0.033329784,0.012352252,2.698275862
0586.HK,34.922,6024,35.153,1391.544,0.66,2021-12-30,2022-02-23,36,161,71,0.267224099,0.058272722,4.585749386
6837.HK,6.337,36393,6.114,-8115.639,-3.52,2022-02-14,2022-02-24,8,63,60,0.111409184,0.026826574,4.152941176
0006.HK,44.972,5023,46.193,6133.083,2.72,2022-02-23,2022-03-31,26,161,48,0.127434848,0.041247888,3.089487871
6823.HK,9.695,23214,10.071,8728.464,3.88,2022-03-28,2022-04-29,21,55,269,0.070758123,0.019597731,3.610526316
0066.HK,39.745,5706,40.405,3765.96,1.66,2022-04-25,2022-05-13,12,75,23,0.090275506,0.033236885,2.716124148
0083.HK,10.028,22791,10.348,7293.12,3.19,2022-05-06,2022-06-17,28,151,41,0.138213004,0.039389709,3.508860759
0066.HK,40.925,5597,39.343,-8854.454,-3.87,2022-05-24,2022-06-17,17,75,51,0.087672572,0.032278558,2.716124148
2005.HK,3.541,64687,3.721,11643.66,5.08,2022-06-10,2022-06-27,11,83,21,0.351595594,0.129059588,2.72428884
0173.HK,2.708,85292,2.69,-1535.256,-0.66,2022-08-16,2022-09-09,18,238,35,0.214918759,0.071639586,3
0631.HK,8.192,28194,8.241,1381.506,0.6,2022-08-19,2022-09-20,21,151,41,0.231323242,0.068237305,3.389982111
9688.HK,36.35,6354,30.05,-40030.2,-17.33,2022-09-06,2022-09-23,12,125,24,0.616231087,0.158184319,3.895652174
0004.HK,28.183,8195,25.364,-23101.705,-10,2022-08-30,2022-09-26,18,132,48,0.260830997,0.08650605,3.015176374
1339.HK,2.272,101665,2.094,-18096.37,-7.83,2022-09-05,2022-09-29,17,47,151,0.19278169,0.075264085,2.561403509
0941.HK,49.769,4610,48.223,-7127.06,-3.11,2022-09-16,2022-09-29,9,151,22,0.111153529,0.028813117,3.857740586
6690.HK,24.645,8653,25.571,8012.678,3.76,2022-12-02,2022-12-15,9,39,17,0.266017448,0.102738892,2.589257504
0144.HK,11.08,19429,10.625,-8840.195,-4.11,2023-01-06,2023-01-26,11,110,22,0.283935018,0.085649819,3.315068493
1234.HK,3.825,55758,3.973,8252.184,3.87,2022-12-09,2023-01-31,31,63,49,0.172810458,0.056732026,3.046082949
3328.HK,4.138,52024,4.497,18676.616,8.68,2022-12-30,2023-02-01,19,123,19,0.16481392,0.064523925,2.554307116
1179.HK,34.95,6159,38.25,20324.7,9.44,2023-01-09,2023-02-01,14,164,27,0.469241774,0.115879828,4.049382716
6690.HK,25.765,8355,27.324,13025.445,6.05,2022-12-21,2023-02-06,27,39,35,0.254453716,0.098272851,2.589257504
