stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,wave_1_max,slope,wave_depth,wave_length
0700.HK,346.336,614,230.759,-70964.27800000002,-33.37,2022-07-05 09:34:06.528341,2022-10-20 09:34:06.528341,75,403.927,0.8677790697674421,110.40500000000003,86
6185.HK,45.15,2874,141.0,275472.89999999997,212.29,2022-09-27 09:34:06.528341,2022-11-02 09:34:06.528341,25,87.86,0.5182941176470588,22.015,34
3690.HK,171.1,668,175.5,2939.200000000004,2.57,2022-08-18 09:34:06.528341,2022-12-20 09:34:06.528341,86,211.6,1.0569767441860465,108.1,86
9626.HK,92.95,1984,181.6,175881.59999999998,95.37,2022-10-14 09:34:06.528341,2023-02-20 09:34:06.528341,85,238.0,1.1352941176470588,113.0,85
2313.HK,61.772,2294,85.177,53691.07000000002,37.89,2022-10-20 09:34:06.528341,2023-02-24 09:34:06.528341,85,110.738,0.23701176470588237,28.518,85
2357.HK,3.364,34854,4.127,26593.601999999995,22.68,2022-12-21 09:34:06.528341,2023-03-17 09:34:06.528341,56,3.795,0.014321428571428572,1.008,56
2618.HK,14.8,24344,14.1,-17040.800000000025,-4.73,2023-02-21 09:34:06.528341,2023-03-31 09:34:06.528341,28,18.02,0.08642857142857142,3.459999999999999,28
9868.HK,27.1,14953,40.35,198127.25,48.89,2022-11-02 09:34:06.528341,2023-04-06 09:34:06.528341,104,142.8,0.5711538461538462,70.95000000000002,104
1691.HK,7.68,78562,7.25,-33781.659999999974,-5.6,2023-04-06 09:34:06.528341,2023-05-25 09:34:06.528341,32,8.3,0.008437500000000042,1.2200000000000006,32
9987.HK,368.169,352,441.464,25799.840000000004,19.91,2022-09-28 09:34:06.528341,2023-06-30 09:34:06.528341,184,429.498,0.6786032608695652,149.01799999999997,184
1113.HK,43.1,13215,43.55,5946.749999999944,1.04,2023-05-25 09:34:06.528341,2023-07-03 09:34:06.528341,25,46.796,0.0057599999999999344,3.0690000000000026,25
2057.HK,191.27,1021,212.4,21573.729999999996,11.05,2023-02-24 09:34:06.528341,2023-07-14 09:34:06.528341,94,235.026,1.0571595744680853,112.43,94
3331.HK,18.672,30822,15.212,-106644.12000000002,-18.53,2023-07-07 09:34:06.528341,2023-08-01 09:34:06.528341,17,21.874,0.04379999999999996,3.446999999999999,25
0839.HK,6.1,25476,6.83,18597.48000000001,11.97,2023-06-30 09:34:06.528341,2023-08-02 09:34:06.528341,23,6.85,0.015521739130434753,0.8039999999999994,23
