STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL
6920.T,8963.5791015625,100,9790.078125,82649.90234375,9.22,2020-11-04 17:16:51.021806,2020-11-09 17:16:51.021806,3,44.12900241567918,37.79974070307302,597.5883677967394
2371.T,2772.808837890625,100,3189.91455078125,41710.5712890625,15.04,2020-11-05 17:16:51.021806,2020-11-10 17:16:51.021806,3,37.47864047319067,29.247115271638783,625.2043129450022
3088.T,1272.8492431640625,300,1449.253662109375,52921.32568359375,13.86,2020-11-09 17:16:51.021806,2020-11-16 17:16:51.021806,5,46.51680290147349,28.651177322063557,692.555345341447
6967.T,1758.7626953125,200,1933.667236328125,34980.908203125,9.94,2020-11-10 17:16:51.021806,2020-11-16 17:16:51.021806,4,30.253487810973855,22.980300262913698,667.0737112096093
7747.T,3233.7431640625,100,3243.60205078125,985.888671875,0.3,2020-11-02 17:16:51.021806,2020-11-18 17:16:51.021806,12,32.75860926254897,24.399833764610296,585.266704749989
9069.T,884.4296875,100,908.0145874023438,2358.489990234375,2.67,2020-11-06 17:16:51.021806,2020-11-19 17:16:51.021806,9,35.097934305359395,21.379056298843818,591.4848188452579
6902.T,1029.8306884765625,300,1031.0172119140625,355.95703125,0.12,2020-11-11 17:16:51.021806,2020-11-25 17:16:51.021806,10,59.97338158843068,47.0232135547363,526.9281909154795
4980.T,1124.9801025390625,500,1281.7784423828125,78399.169921875,13.94,2020-11-16 17:16:51.021806,2020-12-02 17:16:51.021806,12,23.55026488713421,19.3665948340524,411.38204992337967
7974.T,4497.8232421875,100,4705.275390625,20745.21484375,4.61,2020-11-19 17:16:51.021806,2020-12-04 17:16:51.021806,11,28.096772071459725,24.94154260395867,167.59213605685164
2384.T,2320.84228515625,100,2380.71630859375,5987.40234375,2.58,2020-11-24 17:16:51.021806,2020-12-07 17:16:51.021806,9,46.84415939326207,41.97719730911649,483.454439713853
3765.T,2540.35009765625,100,2547.0859375,673.583984375,0.27,2020-11-27 17:16:51.021806,2020-12-08 17:16:51.021806,7,61.20829482270274,57.514358712524725,447.575963833901
4689.T,595.734619140625,700,597.3921508789062,1160.272216796875,0.28,2020-11-20 17:16:51.021806,2020-12-09 17:16:51.021806,13,11.613834846853868,7.670330410391912,670.4882926879003
2503.T,2072.29052734375,100,2182.776611328125,11048.6083984375,5.33,2020-12-01 17:16:51.021806,2020-12-09 17:16:51.021806,6,91.38257308958161,89.83674981483344,39.12813920760587
4205.T,1234.7203369140625,200,1300.39697265625,13135.3271484375,5.32,2020-11-26 17:16:51.021806,2020-12-10 17:16:51.021806,10,50.24633335259424,34.42442341320914,502.8549204200932
7203.T,1367.5308837890625,600,1479.7392578125,67325.0244140625,8.21,2020-12-09 17:16:51.021806,2020-12-14 17:16:51.021806,3,45.26266216300452,36.663347994625624,513.9023655989336
2531.T,1129.5728759765625,200,1147.078369140625,3501.0986328125,1.55,2020-12-02 17:16:51.021806,2020-12-15 17:16:51.021806,9,76.42935247730622,74.06069266708758,319.54851717730133
4506.T,1334.71044921875,500,1264.16162109375,-35274.4140625,-5.29,2020-12-14 17:16:51.021806,2020-12-18 17:16:51.021806,4,33.71796146982838,22.12743330357427,594.8134770419452
1721.T,2860.1953125,200,2932.376953125,14436.328125,2.52,2020-12-16 17:16:51.021806,2021-01-08 17:16:51.021806,15,49.999946331705864,39.86261862943759,614.2872106904651
2670.T,1430.4246826171875,100,1498.916259765625,6849.15771484375,4.79,2020-12-23 17:16:51.021806,2021-01-08 17:16:51.021806,10,13.64503974893916,9.751858020206843,585.9663160808484
6506.T,4852.06005859375,100,5481.56982421875,62950.9765625,12.97,2020-12-24 17:16:51.021806,2021-01-13 17:16:51.021806,12,34.53328312832092,26.555874155582565,674.1029802811387
6857.T,1717.1446533203125,100,1934.8421630859375,21769.7509765625,12.68,2020-12-29 17:16:51.021806,2021-01-13 17:16:51.021806,10,44.615405251780416,30.99061169575855,626.9876932107823
5411.T,929.3825073242188,200,879.2604370117188,-10024.4140625,-5.39,2021-01-08 17:16:51.021806,2021-01-14 17:16:51.021806,4,48.538203419426246,30.999257026560706,624.3172407107782
9613.T,1328.692626953125,100,1413.2547607421875,8456.21337890625,6.36,2020-12-18 17:16:51.021806,2021-01-18 17:16:51.021806,19,33.06932799661058,27.94489771413877,570.7535279020703
2181.T,112.77157592773438,200,114.19123840332031,283.9324951171875,1.26,2021-01-06 17:16:51.021806,2021-01-18 17:16:51.021806,8,13.024703115539035,11.662934269363245,526.7452792686397
9719.T,1824.8914794921875,100,1718.82958984375,-10606.18896484375,-5.81,2020-12-25 17:16:51.021806,2021-01-20 17:16:51.021806,17,21.71427611239982,15.258888575230092,583.4116163540485
1925.T,2727.07275390625,100,2756.2197265625,2914.697265625,1.07,2020-12-28 17:16:51.021806,2021-01-20 17:16:51.021806,16,7.00624067569485,4.654230449329381,675.6520549566978
9684.T,6061.2275390625,100,5603.05615234375,-45817.138671875,-7.56,2021-01-14 17:16:51.021806,2021-01-21 17:16:51.021806,5,32.173892403471655,20.18182175556054,608.1415135236158
6141.T,1546.9263916015625,100,1568.2568359375,2133.04443359375,1.38,2021-01-07 17:16:51.021806,2021-01-28 17:16:51.021806,15,38.84121297189698,30.23960462445992,425.213635994886
2379.T,2416.8828125,100,2694.8388671875,27795.60546875,11.5,2021-01-22 17:16:51.021806,2021-01-28 17:16:51.021806,4,28.89105698994154,16.91614091330886,688.6389216007458
3116.T,1549.0150146484375,100,1742.75732421875,19374.23095703125,12.51,2021-01-21 17:16:51.021806,2021-02-03 17:16:51.021806,9,48.532063027042334,39.80595270173349,618.6020876838461
3635.T,2168.61572265625,100,2244.390625,7577.490234375,3.49,2021-01-25 17:16:51.021806,2021-02-03 17:16:51.021806,7,23.14470813740989,18.392061798064454,741.1599441219913
2702.T,5065.3837890625,100,5102.4912109375,3710.7421875,0.73,2020-12-11 17:16:51.021806,2021-02-05 17:16:51.021806,38,33.142911788989636,21.313165695836222,531.3190932372144
1959.T,2946.2265625,100,3257.318115234375,31109.1552734375,10.56,2021-01-27 17:16:51.021806,2021-02-08 17:16:51.021806,8,33.12827254124883,31.907749089334764,539.7061982662641
3107.T,1601.0556640625,100,1509.5152587890625,-9154.04052734375,-5.72,2021-02-03 17:16:51.021806,2021-02-12 17:16:51.021806,6,20.758636420035977,17.36889438033276,628.3559767525602
6890.T,1619.7760009765625,200,1783.2569580078125,32696.19140625,10.09,2021-02-05 17:16:51.021806,2021-02-15 17:16:51.021806,4,22.047230166579645,19.868022990256527,646.9579561404681
8078.T,2679.298828125,100,2513.155029296875,-16614.3798828125,-6.2,2021-02-08 17:16:51.021806,2021-02-19 17:16:51.021806,7,46.93076849482911,29.045553148609816,575.7868528432783
9104.T,681.8705444335938,100,774.4332275390625,9256.268310546875,13.57,2021-02-02 17:16:51.021806,2021-02-22 17:16:51.021806,12,21.546961663882016,15.035231843797538,497.49634114889244
