STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL,2270000,
6920.T,8963.579102,100,9790.078125,82649.90234,9.22,2020-11-04,2020-11-09,3,44.12908756,37.79977941,597.5877083,2352649.902,3.640964861
2371.T,2772.808838,100,3189.914551,41710.57129,15.04,2020-11-05,2020-11-10,3,37.47864058,29.24712424,625.2045003,2394360.474,5.478434962
3088.T,1272.849243,500,1449.253784,88202.27051,13.86,2020-11-09,2020-11-16,5,46.51680888,28.65118447,692.5550632,2482562.744,9.363997539
6967.T,1758.762573,400,1933.667236,69961.86523,9.94,2020-11-10,2020-11-16,4,30.25350191,22.98030513,667.07344,2552524.609,12.44601803
7747.T,3233.743164,200,3218.95459,-2957.714844,-0.46,2020-11-02,2020-11-17,11,32.75861994,24.39984816,585.2665502,2549566.895,12.31572223
9069.T,884.4297485,300,908.0145264,7075.43335,2.67,2020-11-06,2020-11-19,9,35.09797476,21.37907822,591.4841577,2556642.328,12.62741533
6902.T,1029.830688,100,1031.017334,118.6645508,0.12,2020-11-11,2020-11-25,10,59.97335031,47.0231976,526.9285447,2556760.992,12.63264284
4980.T,1124.980225,1300,1281.778442,203837.6831,13.94,2020-11-16,2020-12-02,12,23.55028018,19.36660401,411.3818079,2760598.676,21.61227646
2317.T,507.0480652,200,509.4064941,471.685791,0.47,2020-11-26,2020-12-03,5,72.97125124,61.33445669,158.7140734,2761070.361,21.63305557
7974.T,4497.82373,100,4705.274902,20745.11719,4.61,2020-11-19,2020-12-04,11,28.09683011,24.94158195,167.5919092,2781815.479,22.54693738
2384.T,2320.842285,100,2380.716309,5987.402344,2.58,2020-11-24,2020-12-07,9,46.84415939,41.97719731,483.4544397,2787802.881,22.8106996
4689.T,595.7345581,500,597.3921509,828.7963867,0.28,2020-11-20,2020-12-09,13,11.61382822,7.670323099,670.4879146,2788631.677,22.84721045
7203.T,1367.530762,700,1479.73938,78546.03271,8.21,2020-12-09,2020-12-14,3,45.26262584,36.66331943,513.9023541,2867177.71,26.3073881
2531.T,1129.572876,1400,1147.078369,24507.69043,1.55,2020-12-02,2020-12-15,9,76.42934881,74.060706,319.5482163,2891685.4,27.38702204
4506.T,1334.710449,700,1264.161621,-49384.17969,-5.29,2020-12-14,2020-12-18,4,33.71795405,22.12743802,594.8134655,2842301.221,25.21150752
1721.T,2860.195313,500,2833.127441,-13533.93555,-0.95,2020-12-16,2021-01-06,13,49.99994633,39.86262921,614.287821,2828767.285,24.61529891
2670.T,1430.424561,300,1498.91626,20547.50977,4.79,2020-12-23,2021-01-08,10,13.64506218,9.751867109,585.9670825,2849314.795,25.52047555
4613.T,2993.307129,100,2969.322266,-2398.486328,-0.8,2020-12-24,2021-01-08,9,39.61042258,36.03247773,648.6650415,2846916.309,25.41481536
9508.T,825.2147217,300,919.2026978,28196.39282,11.39,2020-12-11,2021-01-12,20,13.61043032,9.863531674,456.7570322,2875112.701,26.6569472
7729.T,4383.021484,300,4883.938965,150275.2441,11.43,2021-01-06,2021-01-13,5,40.63821976,39.21260624,652.5566356,3025387.946,33.27700201
5411.T,929.3825073,500,879.260437,-25061.03516,-5.39,2021-01-08,2021-01-14,4,48.53822466,30.99928104,624.3168151,3000326.91,32.17299165
9613.T,1328.692749,300,1413.254639,25368.56689,6.36,2020-12-18,2021-01-18,19,33.06926143,27.94484717,570.7534797,3025695.477,33.29054966
9684.T,6061.227051,100,5603.055664,-45817.13867,-7.56,2021-01-14,2021-01-21,5,32.17394078,20.1817967,608.1419449,2979878.339,31.27217351
4502.T,3268.189941,500,3244.634033,-11777.9541,-0.72,2021-01-13,2021-01-28,11,26.49932993,16.72026515,605.3054415,2968100.385,30.7533209
2379.T,2416.882813,200,2694.838623,55591.16211,11.5,2021-01-22,2021-01-28,4,28.89102485,16.91611502,688.6403848,3023691.547,33.20227078
3116.T,1549.015015,300,1742.757202,58122.65625,12.51,2021-01-21,2021-02-03,9,48.53206776,39.80594785,618.6015789,3081814.203,35.76274022
3635.T,2168.615723,100,2244.390625,7577.490234,3.49,2021-01-25,2021-02-03,7,23.14467013,18.39205435,741.1597478,3089391.693,36.09655036
9744.T,1610.299194,100,1646.216675,3591.748047,2.23,2021-01-27,2021-02-10,10,53.86948337,40.3590056,524.4390778,3092983.441,36.25477714
3107.T,1601.055664,400,1509.515503,-36616.06445,-5.72,2021-02-03,2021-02-12,6,20.75863346,17.36890475,628.3558734,3056367.377,34.64173466
9104.T,681.8705444,700,774.4332275,64793.87817,13.57,2021-02-02,2021-02-22,12,21.54696117,15.03522569,497.4966514,3121161.255,37.49609052
3549.T,8318.482422,200,8407.609375,17825.39063,1.07,2021-02-01,2021-02-24,15,8.867318908,8.171392431,513.0450407,3138986.646,38.28135002
6005.T,5974.774414,100,5550.072754,-42470.16602,-7.11,2021-02-15,2021-02-24,7,65.64570669,50.31621991,536.7536989,3096516.479,36.4104176
8795.T,1226.511475,100,1293.150391,6663.891602,5.43,2021-02-05,2021-02-26,13,42.20158503,27.9349941,589.4589697,3103180.371,36.70398111
5857.T,1929.015625,100,1755.052124,-17396.3501,-9.02,2021-02-16,2021-02-26,8,66.75864831,64.36324491,321.0381775,3085784.021,35.93762207
6727.T,751.3834229,700,710.7936401,-28412.8479,-5.4,2021-02-22,2021-03-03,7,6.683759566,5.237267801,538.8054755,3057371.173,34.68595476
6323.T,7490.086426,100,7078.328125,-41175.83008,-5.5,2021-03-01,2021-03-04,3,28.26565433,27.75463464,642.3396893,3016195.343,32.87204154
2587.T,3771.947021,100,3805.496582,3354.956055,0.89,2021-03-05,2021-03-15,6,55.80305357,36.81136065,534.8160038,3019550.299,33.01983696
4506.T,1829.506714,100,1977.278198,14777.14844,8.08,2021-03-09,2021-03-15,4,53.17546307,35.24678248,620.5653263,3034327.448,33.67081267
4812.T,3623.075684,400,4020.847168,159108.5938,10.98,2021-02-25,2021-03-18,15,56.53544288,48.31611007,459.6941959,3193436.041,40.68000182
3407.T,1076.704224,200,1205.347046,25728.56445,11.95,2021-03-03,2021-03-18,11,23.23732433,17.83723121,568.8796601,3219164.606,41.81341875
2371.T,3104.597656,600,2853.385986,-150727.002,-8.09,2021-03-18,2021-03-24,4,24.12453639,21.28699147,641.141629,3068437.604,35.17346272
8282.T,1335.741943,200,1386.21521,10094.65332,3.78,2021-03-11,2021-03-25,10,37.49994603,27.2472785,590.7637783,3078532.257,35.6181611
