STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,CUP LEN,HANDLE LEN,CUP DEPTH,HANDLE DEPTH,RRR
8252.T,1997.4512939453125,170,1707.9652099609375,-49212.63427734375,-14.49,2020-11-12 11:09:06.580650,2020-12-17 11:09:06.580650,25,123,33,0.3190520657766747,0.11547463916108784,2.7629622235198767
8035.T,9327.798177083332,35,13119.32421875,132703.41145833337,40.65,2020-11-06 11:09:06.580650,2021-02-03 11:09:06.580650,61,47,16,0.1150569151275928,0.07716159277995728,1.4911163829355116
4578.T,4152.3115234375,70,4271.126953125,8317.080078125,2.86,2020-12-18 11:09:06.580650,2021-02-17 11:09:06.580650,39,57,19,0.17593218655030957,0.05603919415715316,3.139448901726446
3407.T,854.4783935546875,390,1054.055908203125,77835.23071289062,23.36,2020-10-27 11:09:06.580650,2021-02-18 11:09:06.580650,78,98,42,0.24508581964189827,0.08555784339542451,2.8645628491262913
5929.T,1154.919921875,397,1283.7572021484375,51148.40026855469,11.16,2021-02-04 11:09:06.580650,2021-04-06 11:09:06.580650,38,51,19,0.12362203969671941,0.07795286746080186,1.585856219578863
4502.T,3493.281494140625,101,3306.5380859375,-18861.084228515625,-5.35,2021-03-11 11:09:06.580650,2021-04-08 11:09:06.580650,17,106,91,0.1951864438767915,0.09065939181438647,2.152964408545899
1808.T,1249.83740234375,284,1329.37841796875,22589.6484375,6.36,2021-03-10 11:09:06.580650,2021-04-21 11:09:06.580650,27,151,24,0.23799239255488663,0.06763277552146026,3.518891406125575
3738.T,1773.1051025390625,238,1759.624755859375,-3208.322509765625,-0.76,2021-04-14 11:09:06.580650,2021-05-24 11:09:06.580650,27,53,15,0.07412381660520248,0.05729247205503179,1.2937793386538372
9434.T,1242.416259765625,307,1230.227294921875,-3742.01220703125,-0.98,2021-04-21 11:09:06.580650,2021-05-24 11:09:06.580650,22,43,18,0.04934105925333412,0.035739315253696266,1.380582109732254
9435.T,20910.02734375,19,19079.236328125,-34785.029296875,-8.76,2021-05-24 11:09:06.580650,2021-06-16 11:09:06.580650,16,62,36,0.08798527159628093,0.08177782888634016,1.0759061813510389
7951.T,6085.935546875,69,6085.935546875,0.0,0.0,2021-04-16 11:09:06.580650,2021-06-18 11:09:06.580650,43,63,26,0.12016970680393113,0.08380270805368242,1.4339597084016986
8283.T,5612.92333984375,71,5086.11328125,-37403.51416015625,-9.39,2021-05-25 11:09:06.580650,2021-07-08 11:09:06.580650,30,125,55,0.1798286225759117,0.13651887777022065,1.3172436333573374
4974.T,2844.468017578125,128,2710.7578125,-17114.90625,-4.7,2021-06-16 11:09:06.580650,2021-07-08 11:09:06.580650,15,69,15,0.1183026116383018,0.0733852052598463,1.612077137611178
3003.T,1197.33154296875,296,1163.04248046875,-10149.5625,-2.86,2021-07-14 11:09:06.580650,2021-09-29 11:09:06.580650,54,85,21,0.16318745102367788,0.0729920372935296,2.2356883993720733
6849.T,3121.531005859375,113,3576.286376953125,51387.35693359375,14.57,2021-07-09 11:09:06.580650,2021-10-01 11:09:06.580650,58,61,22,0.1193844950044964,0.05846144255341813,2.0421065541687735
9434.T,1265.488525390625,332,1343.7579345703125,25985.44384765625,6.18,2021-06-24 11:09:06.580650,2021-10-04 11:09:06.580650,69,266,42,0.19672817666412343,0.05366347676306836,3.6659603240525285
6055.T,1354.2274169921875,294,1489.650146484375,39814.282470703125,10.0,2021-10-13 11:09:06.580650,2021-11-18 11:09:06.580650,25,62,28,0.16449269883077006,0.09637683101511099,1.706766004839681
4503.T,1837.8348388671875,216,1727.7623291015625,-23775.662109375,-5.99,2021-10-12 11:09:06.580650,2021-11-29 11:09:06.580650,33,71,34,0.14596653054224007,0.05740450708526612,2.542771255320211
5802.T,1456.4849853515625,274,1452.7249755859375,-1030.24267578125,-0.26,2021-10-14 11:09:06.580650,2021-11-29 11:09:06.580650,32,57,15,0.14892006792960502,0.06742041070687897,2.208827658690168
8876.T,2354.4072265625,186,2049.2060546875,-56767.41796875,-12.96,2021-11-18 11:09:06.580650,2021-11-29 11:09:06.580650,7,46,20,0.1786008512591725,0.10164605706686182,1.7570858763531825
6326.T,2433.62451171875,158,2473.65087890625,6324.166015625,1.64,2021-12-08 11:09:06.580650,2022-01-24 11:09:06.580650,32,51,32,0.12651921662914145,0.11635790103725611,1.087328110092256
1719.T,806.7100830078125,477,791.2314453125,-7383.3101806640625,-1.92,2022-01-17 11:09:06.580650,2022-02-10 11:09:06.580650,15,30,28,0.07223477279166408,0.06546281856483774,1.103447336599463
