tickers
USDAED=X
USDAUD=X
USDBDT=X
USDBRL=X
USDCAD=X
USDCHF=X
USDCNH=X
USDCNY=X
USDDKK=X
USDEUR=X
USDGBP=X
USDIDR=X
USDILS=X
USDINR=X
USDJPY=X
USDKRW=X
USDLKR=X
USDMXN=X
USDMYR=X
USDNOK=X
USDNZD=X
USDOMR=X
USDPHP=X
USDPKR=X
USDPLN=X
USDSEK=X
USDSGD=X
USDTHB=X
USDTWD=X
USDHKD=X
USDVND=X
USDZAR=X
