tickers
HKDAED=X
HKDAUD=X
HKDBDT=X
HKDBRL=X
HKDCAD=X
HKDCHF=X
HKDCNH=X
HKDCNY=X
HKDDKK=X
HKDEUR=X
HKDGBP=X
HKDIDR=X
HKDILS=X
HKDINR=X
HKDJPY=X
HKDKRW=X
HKDLKR=X
HKDMXN=X
HKDMYR=X
HKDNOK=X
HKDNZD=X
HKDOMR=X
HKDPHP=X
HKDPKR=X
HKDPLN=X
HKDSEK=X
HKDSGD=X
HKDTHB=X
HKDTWD=X
HKDUSD=X
HKDVND=X
HKDZAR=X
