tickers
AAPL
ABNB
ADBE
ADI
ADSK
AEP
ALGN
AMAT
AMGN
ANSS
ASML
AVGO
AZN
BIIB
BKNG
BKR
CDNS
CEG
CMCSA
COST
CPRT
CRWD
CSCO
CSGP
CSX
CTAS
CTSH
DDOG
DLTR
DXCM
EA
EBAY
EXC
FANG
FAST
FTNT
GEHC
GFS
GILD
GOOG
GOOGL
HON
IDXX
ILMN
INTC
ISRG
JD
KDP
KHC
LCID
LRCX
LULU
MAR
MCHP
MDLZ
MELI
MNST
MRVL
MSFT
MU
NXPI
ODFL
ON
ORLY
PANW
PAYX
PCAR
PDD
PEP
PYPL
QCOM
REGN
ROST
SGEN
SIRI
SNPS
TEAM
TMUS
TSLA
TTD
TXN
VRSK
VRTX
WBA
WBD
WDAY
XEL
ZM
ZS
