tickers
AAPL
MSFT
GOOG
AMZN
NVDA
BRK-A
META
TSLA
LLY
V
UNH
JNJ
JPM
XOM
WMT
MA
PG
AVGO
HD
CVX
ORCL
MRK
ABBV
KO
PEP
COST
BAC
ADBE
CSCO
MCD
TMO
ACN
PFE
CRM
CMCSA
DHR
NFLX
LIN
ABT
AMD
NKE
TMUS
DIS
WFC
UPS
TXN
PM
INTC
CATO
MS
BA
COP
AMGN
VZ
UNP
NEE
INTU
LOW
IBM
BMY
QCOM
DE
HON
RTX
GE
SPGI
AXP
BX
SCHW
AMAT
SBUX
BKNG
LMT
NOW
GS
ELV
MDT
SYK
ISRG
APD
BLK
T
MDLZ
GILD
TJX
CVS
MMC
ADI
VRTX
UBER
ZTS
REGN
LRCX
ETN
C
CI
ABNB
SLB
CB
BDX
