STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL,1000000
6920.T,8963.579102,22,9790.079102,18183,9.22,2020-11-04,2020-11-09,3,44.12901464,37.7997723,597.5876924,1018183
2371.T,2772.808594,72,3189.914551,30031.62891,15.04,2020-11-05,2020-11-10,3,37.47861846,29.24711236,625.2043964,1048214.629
3088.T,1272.849243,164,1449.25354,28930.30469,13.86,2020-11-09,2020-11-16,5,46.51686299,28.65119986,692.555055,1077144.934
6967.T,1758.762573,124,1933.667236,21688.17822,9.94,2020-11-10,2020-11-16,4,30.25349162,22.98030284,667.0736523,1098833.112
7747.T,3233.743164,61,3243.602295,601.4069824,0.3,2020-11-02,2020-11-18,12,32.7586178,24.39983614,585.2669986,1099434.519
9069.T,884.4296875,229,908.0145264,5400.928101,2.67,2020-11-06,2020-11-19,9,35.0978654,21.37901125,591.4841574,1104835.447
6902.T,1029.830566,214,1031.017456,253.9943848,0.12,2020-11-11,2020-11-25,10,59.97333827,47.02323271,526.9273333,1105089.441
4980.T,1124.980225,212,1281.778442,33241.22217,13.94,2020-11-16,2020-12-02,12,23.55030639,19.3666066,411.3817197,1138330.663
7974.T,4497.822754,47,4705.275391,9750.273926,4.61,2020-11-19,2020-12-04,11,28.09676512,24.9415627,167.5915771,1148080.937
2384.T,2320.842285,93,2380.716309,5568.28418,2.58,2020-11-24,2020-12-07,9,46.84415939,41.97719731,483.4544397,1153649.222
4689.T,595.7345581,363,597.3920898,601.684021,0.28,2020-11-20,2020-12-09,13,11.61381234,7.670305883,670.4879679,1154250.906
4205.T,1234.720337,179,1300.396973,11756.1178,5.32,2020-11-26,2020-12-10,10,50.24638047,34.42437796,502.8557983,1166007.023
7203.T,1367.530762,160,1479.739258,17953.35938,8.21,2020-12-09,2020-12-14,3,45.26269069,36.6634158,513.9021218,1183960.383
2531.T,1129.572754,241,1147.078369,4218.853271,1.55,2020-12-02,2020-12-15,9,76.42931822,74.06067031,319.5485937,1188179.236
4506.T,1334.710327,171,1264.161499,-12063.84961,-5.29,2020-12-14,2020-12-18,4,33.71797903,22.12746934,594.8139312,1176115.386
1721.T,2860.195313,85,2932.377197,6135.460205,2.52,2020-12-16,2021-01-08,15,49.99998422,39.86266509,614.2873129,1182250.847
2670.T,1430.424561,165,1498.91626,11301.13037,4.79,2020-12-23,2021-01-08,10,13.64504744,9.751866724,585.9665264,1193551.977
6506.T,4852.060547,48,5481.569824,30216.44531,12.97,2020-12-24,2021-01-13,12,34.53341379,26.55593081,674.1033408,1223768.422
5411.T,929.3824463,268,879.260437,-13432.69849,-5.39,2021-01-08,2021-01-14,4,48.53820357,30.99928061,624.3164349,1210335.724
9613.T,1328.692627,177,1413.254639,14967.47607,6.36,2020-12-18,2021-01-18,19,33.06931116,27.9448805,570.7539923,1225303.2
9684.T,6061.227051,40,5603.056152,-18326.83594,-7.56,2021-01-14,2021-01-21,5,32.1738967,20.18181676,608.1413987,1206976.364
2379.T,2416.882568,100,2694.838379,27795.58105,11.5,2021-01-22,2021-01-28,4,28.89101972,16.91611381,688.6406017,1234771.945
3116.T,1549.015015,156,1742.757202,30223.78125,12.51,2021-01-21,2021-02-03,9,48.53197453,39.80586211,618.6028336,1264995.726
3635.T,2168.615967,111,2244.390869,8411.01416,3.49,2021-01-25,2021-02-03,7,23.14463933,18.39203533,741.15969,1273406.74
2702.T,5065.384277,44,5102.491211,1632.705078,0.73,2020-12-11,2021-02-05,38,33.14287853,21.31308285,531.3196507,1275039.445
3107.T,1601.055542,163,1509.515259,-14921.06616,-5.72,2021-02-03,2021-02-12,6,20.75863642,17.36890275,628.3555667,1260118.379
6890.T,1619.776123,150,1783.256958,24522.12524,10.09,2021-02-05,2021-02-15,4,22.04723205,19.86801554,646.9580979,1284640.505
