STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL,1000000
8591.T,1496.528442,133,1450.630127,-6104.475952,-3.07,2018-10-30,2018-11-07,6,36.83732168,23.95892235,-12.87839933,1006104.476
6976.T,2385.372803,84,2171.491699,-17966.0127,-8.97,2018-11-01,2018-11-12,7,32.96819834,18.36292386,-14.60527448,1024070.489
4063.T,1753.164844,114,1860.505664,12236.85352,6.12,2018-10-29,2018-11-13,11,14.59626143,8.444827266,-6.151434168,1011833.635
7459.T,2188.320068,91,2244.315186,5095.555664,2.56,2018-10-31,2018-11-13,9,41.57090554,30.15231815,-11.41858739,1006738.079
3962.T,601.5500488,335,567.300293,-11473.66821,-5.69,2018-11-02,2018-11-14,8,42.23937204,30.7756511,-11.46372094,1018211.748
8088.T,3760.585938,48,3624.942871,-6510.867188,-3.61,2018-11-12,2018-11-15,3,71.26987069,62.89071425,-8.379156442,1024722.615
3962.T,655.104248,286,765.9488525,31701.55688,16.92,2018-11-15,2018-11-20,3,63.41846379,59.8098794,-3.608584388,993021.058
5947.T,2648.128418,75,2628.775879,-1451.44043,-0.73,2018-11-14,2018-11-26,8,45.39324123,40.01044654,-5.38279469,994472.4984
6448.T,1614.014404,116,1632.129883,2101.395508,1.12,2018-11-16,2018-11-26,6,16.0754621,11.33157005,-4.743892056,992371.1029
9508.T,1159.817993,166,1200.358643,6729.747803,3.5,2018-11-07,2018-11-27,14,26.43600219,23.42374108,-3.012261118,985641.3551
4189.T,2899.456299,75,2795.12793,-7824.627686,-3.6,2018-11-20,2018-11-27,5,35.22681249,29.99140599,-5.235406501,993465.9828
2384.T,1231.6521,169,1274.884155,7306.217407,3.51,2018-11-13,2018-12-04,15,30.92687456,29.21630261,-1.710571954,986159.7654
1893.T,610.4693604,317,593.3932495,-5413.127136,-2.8,2018-11-26,2018-12-04,6,50.95472162,44.97405219,-5.980669424,991572.8925
6965.T,3647.230957,55,3766.578125,6564.094238,3.27,2018-11-27,2018-12-05,6,37.27266165,28.17812616,-9.094535491,985008.7983
8015.T,3329.849121,61,3193.589355,-8311.845703,-4.09,2018-11-29,2018-12-05,4,30.42748305,23.89818676,-6.529296293,993320.644
6594.T,7103.397949,28,6819.453125,-7950.455078,-4,2018-11-28,2018-12-06,6,54.21904778,44.6057513,-9.613296486,1001271.099
7419.T,1183.551147,170,1116.064209,-11472.77954,-5.7,2018-12-04,2018-12-07,3,37.43066539,33.30215941,-4.128505975,1012743.879
3563.T,1607.856812,125,1497.466675,-13798.76709,-6.87,2018-12-05,2018-12-12,5,52.4582339,42.3820529,-10.076181,1026542.646
8088.T,3531.395508,56,3470.590088,-3405.103516,-1.72,2018-12-06,2018-12-12,4,12.13978409,11.38930034,-0.750483748,1029947.749
7741.T,6830.322754,29,6267.066895,-16334.41992,-8.25,2018-12-13,2018-12-18,3,59.91103165,48.47491493,-11.43611671,1046282.169
4816.T,3482.169922,56,3505.890625,1328.359375,0.68,2018-12-10,2018-12-19,7,39.76737702,34.03630783,-5.731069188,1044953.81
6702.T,6648.812012,29,6616.357422,-941.1831055,-0.49,2018-12-12,2018-12-19,5,58.09500536,44.13089872,-13.96410664,1045894.993
9983.T,18618.67969,10,18647.49805,288.1835938,0.15,2018-12-11,2018-12-20,7,43.48424189,39.32674603,-4.157495859,1045606.809
8088.T,3475.267578,56,3414.461914,-3405.117188,-1.75,2018-12-19,2018-12-20,1,15.2493921,14.46950284,-0.779889265,1049011.926
2809.T,2326.045654,82,2266.830566,-4855.637207,-2.55,2018-12-20,2018-12-21,1,15.07065557,13.96899946,-1.101656109,1053867.564
1719.T,565.0951538,345,526.401062,-13349.46167,-6.85,2018-12-07,2018-12-25,11,24.18314698,17.57953277,-6.603614203,1067217.025
7269.T,5096.09668,35,4830.38916,-9299.763184,-5.21,2018-12-18,2018-12-25,4,47.46365217,41.42529764,-6.038354533,1076516.789
8698.T,347.930603,545,308.7772522,-21338.5762,-11.25,2018-12-21,2018-12-25,1,15.04946033,13.02815798,-2.021302355,1097855.365
2587.T,4486.855469,40,4403.630371,-3329.003906,-1.85,2018-12-25,2019-01-08,8,64.17741247,62.56301812,-1.614394352,1101184.369
9449.T,1395.869629,128,1348.123535,-6111.5,-3.42,2018-12-27,2019-01-10,9,39.13612508,28.1569764,-10.97914869,1107295.869
1719.T,585.2484741,309,577.1871338,-2490.954163,-1.38,2018-12-31,2019-01-16,11,46.80399124,36.66828391,-10.13570733,1109786.823
9022.T,3824.625732,47,3839.484375,698.3562012,0.39,2018-12-28,2019-01-17,13,36.74437074,25.07483415,-11.66953658,1109088.467
3186.T,1182.696167,147,1245.200195,9188.092163,5.28,2019-01-10,2019-01-23,9,43.63242468,39.21352457,-4.418900112,1099900.374
9503.T,1406.16333,131,1380.604126,-3348.255737,-1.82,2019-01-23,2019-01-25,2,62.61678191,60.47566749,-2.141114422,1103248.63
2670.T,1426.147827,125,1407.86377,-2285.507202,-1.28,2019-01-16,2019-01-28,8,62.03247004,56.99178699,-5.040683052,1105534.137
4348.T,1943.055054,92,1848.271851,-8720.054688,-4.88,2019-01-17,2019-01-28,7,40.99082051,37.81515593,-3.175664588,1114254.192
4506.T,3560.303467,49,2841.752197,-35209.01221,-20.18,2019-01-09,2019-01-30,15,40.05983753,28.53953711,-11.52030042,1149463.204
8411.T,1344.744263,133,1448.931763,13856.9375,7.75,2018-12-26,2019-01-31,25,9.688979886,7.15589709,-2.533082796,1135606.267
6845.T,2077.713379,67,2243.522705,11109.22485,7.98,2019-01-30,2019-02-07,3,72.29575033,66.12195743,-6.173792899,1124497.042
3769.T,5449.422363,35,5420.333008,-1018.127441,-0.53,2019-01-31,2019-02-07,2,80.31525347,74.9485021,-5.366751365,1125515.169
